ｺｰﾄﾞ,勘定科目名, 3年  10月, 3年  11月, 3年  12月, 4年 1月, 4年 2月, 4年 3月, 4年 4月, 4年 5月, 4年 6月, 4年 7月, 4年 8月, 4年 9月,合計
4111,売上高,"20,500,000","23,500,000","26,000,000","23,000,000","22,000,000","27,000,000","23,000,000","23,500,000","21,000,000","24,500,000","25,500,000","22,000,000","281,500,000"
4112,賃貸料収入,,,,,,,,,,,,,0
4113,ＬＬＰ収益,,,,,,,,,,,,,0
4114,通信売上高,,,,,,,,,,,,,0
4115,売上値引戻り高    (△),,,,,,,,,,,,,0
,純売上高,"20,500,000","23,500,000","26,000,000","23,000,000","22,000,000","27,000,000","23,000,000","23,500,000","21,000,000","24,500,000","25,500,000","22,000,000","281,500,000"
5111,期首たな卸高,"1,300,000","1,300,000","1,300,000","1,300,000","1,300,000","1,300,000","1,300,000","1,300,000","1,300,000","1,300,000","1,300,000","1,300,000","1,300,000"
5211,商品仕入高,"9,430,000","10,810,000","11,960,000","10,580,000","10,120,000","12,420,000","10,580,000","10,810,000","9,660,000","11,270,000","11,730,000","10,120,000","129,490,000"
5212,通信商品仕入高,,,,,,,,,,,,,0
5215,ｺﾐｯｼｮﾝ清掃代,,,,,,,,,,,,,0
5216,ＬＬＰ原価,,,,,,,,,,,,,0
5213,仕入値引戻し高    (△),,,,,,,,,,,,,0
5273,他勘定振替高      (△),,,,,,,,,,,,,0
5311,期末たな卸高      (△),"1,300,000","1,300,000","1,300,000","1,300,000","1,300,000","1,300,000","1,300,000","1,300,000","1,300,000","1,300,000","1,300,000","1,300,000","1,300,000"
,当期売上原価,"9,430,000","10,810,000","11,960,000","10,580,000","10,120,000","12,420,000","10,580,000","10,810,000","9,660,000","11,270,000","11,730,000","10,120,000","129,490,000"
,売上総利益,"11,070,000","12,690,000","14,040,000","12,420,000","11,880,000","14,580,000","12,420,000","12,690,000","11,340,000","13,230,000","13,770,000","11,880,000","152,010,000"
6111,給与手当,"1,794,500","1,794,500","1,794,500","1,794,500","1,794,500","1,794,500","1,794,500","1,794,500","1,794,500","1,794,500","1,794,500","1,794,500","21,534,000"
6311,雑給,"2,341,500","2,729,500","2,807,500","2,414,500","2,275,500","2,876,500","2,637,500","2,706,000","2,445,500","2,840,000","2,719,000","2,275,500","31,068,500"
6112,旅費交通費,"90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","1,080,000"
6113,広告宣伝費,"890,000","1,010,000","1,110,000","990,000","950,000","1,150,000","990,000","1,010,000","910,000","1,050,000","1,090,000","950,000","12,100,000"
6114,販売促進費,"52,000","52,000","52,000","52,000","52,000","52,000","52,000","52,000","52,000","52,000","52,000","52,000","624,000"
6115,荷造発送費,,,,,,,,,,,,,0
6116,外注費,,,,,,,,,,,,,0
6117,支払手数料,"1,025,000","1,175,000","1,300,000","1,150,000","1,100,000","1,350,000","1,150,000","1,175,000","1,050,000","1,225,000","1,275,000","1,100,000","14,075,000"
6118,,,,,,,,,,,,,,0
6211,役員報酬,,,,,,,,,,,,,0
6232,,,,,,,,,,,,,,0
6212,事務員給与,,,,,,,,,,,,,0
6213,従業員賞与,,,,,,,,,,,,,0
6312,法定福利費,"300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","3,600,000"
6226,厚生費,"87,000","87,000","87,000","87,000","87,000","87,000","87,000","87,000","87,000","87,000","87,000","87,000","1,044,000"
6119,退職金,,,,,,,,,,,,,0
6214,減価償却費,"200,000","200,000","200,000","200,000","200,000","200,000","200,000","200,000","200,000","200,000","200,000","200,000","2,400,000"
6234,,,,,,,,,,,,,,0
6215,地代家賃,"2,205,910","2,205,910","2,205,910","2,205,910","2,205,910","2,205,910","2,205,910","2,205,910","2,205,910","2,205,910","2,205,910","2,205,910","26,470,920"
6216,修繕／車両関係費,"127,000","127,000","127,000","127,000","127,000","127,000","127,000","127,000","127,000","127,000","127,000","127,000","1,524,000"
6217,事務用消耗品費,"15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","180,000"
6218,通信交通費,"20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","240,000"
6219,水道光熱費,"981,600","616,600","960,600","616,600","941,630","616,600","989,600","616,600","985,600","616,600","974,600","616,600","9,533,230"
6221,租税公課,,,,,,,,,,,,,0
6222,寄付金,,,,,,,,,,,,,0
6223,接待交際費,,,,,,,,,,,,,0
6224,保険料,"60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","720,000"
6225,備品消耗品費,"635,000","635,000","635,000","635,000","635,000","635,000","635,000","635,000","635,000","635,000","635,000","635,000","7,620,000"
6227,管理諸費,"263,000","228,000","229,000","231,000","527,000","911,000","264,000","230,000","251,000","232,000","334,000","1,380,000","5,080,000"
6228,リース／レンタル料,,,,,,,,,,,,,0
6229,諸会費,"8,880","10,031",,,"33,000","30,000","2,419","7,925",,"10,675","9,201","4,219","116,350"
6313,,0,0,0,,,,,,,,,,0
6233,,,,,,,,,,,,,,0
6314,貸倒償却,,,,,,,,,,,,,0
6231,雑費,,,,,,,,,,,,,0
,販売費及び一般管理費計,"11,096,390","11,355,541","11,993,510","10,988,510","11,413,540","12,520,510","11,619,929","11,331,935","11,228,510","11,560,685","11,988,211","11,912,729","139,010,000"
,営業利益（損失）,"-26,390","1,334,459","2,046,490","1,431,490","466,460","2,059,490","800,071","1,358,065","111,490","1,669,315","1,781,789","-32,729","13,000,000"
7111,受取利息,,,,,,,,,,,,,
7112,為替差益,,,,,,,,,,,,,
7113,ＬＬＰ収入,,,,,,,,,,,,,
7114,受取配当金,,,,,,,,,,,,,
7118,雑収入,,,,,,,,,,,,,
,営業外収益計,,,,,,,,,,,,,
7511,支払利息,,,,,,,,,,,,,
7518,手形売却損,,,,,,,,,,,,,
7512,為替差損,,,,,,,,,,,,,
7513,現金過不足,,,,,,,,,,,,,
7514,ＬＬＰ損失,,,,,,,,,,,,,
7515,繰延資産償却,,,,,,,,,,,,,
7519,雑損失,,,,,,,,,,,,,
,営業外費用計,,,,,,,,,,,,,
,経常利益（損失）,"-26,390","1,334,459","2,046,490","1,431,490","466,460","2,059,490","800,071","1,358,065","111,490","1,669,315","1,781,789","-32,729","13,000,000"
,累計利益,,"1,308,069","3,354,559","4,786,049","5,252,509","7,311,999","8,112,070","9,470,135","9,581,625","11,250,940","13,032,729","13,000,000",
,四半期利益,,,"3,354,559",,,"3,957,440",,,"2,269,626",,,"3,418,375",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
