ｺｰﾄﾞ,勘定科目名, 3年  10月, 3年  11月, 3年  12月, 4年 1月, 4年 2月, 4年 3月, 4年 4月, 4年 5月, 4年 6月, 4年 7月, 4年 8月, 4年 9月,合計
4111,売上高,1,,,,,,,,,,,,1
4112,賃貸料収入,1,,,,,,,,,,,,1
4113,ＬＬＰ収益,1,,,,,,,,,,,,1
4114,通信売上高,1,,,,,,,,,,,,1
4115,売上値引戻り高    (△),1,,,,,,,,,,,,1
,純売上高,0,0,0,0,0,0,0,0,0,0,0,0,0
5111,期首たな卸高,3,,,,,,,,,,,,3
5211,商品仕入高,,,,,,,,,,,,,0
5212,通信商品仕入高,1,,,,,,,,,,,,1
5215,ｺﾐｯｼｮﾝ清掃代,1,,,,,,,,,,,,1
5216,ＬＬＰ原価,1,,,,,,,,,,,,1
5213,仕入値引戻し高    (△),,,,,,,,,,,,,0
5273,他勘定振替高      (△),,,,,,,,,,,,,0
5311,期末たな卸高      (△),,,,,,,,,,,,,0
,当期売上原価,3,0,0,0,0,0,0,0,0,0,0,0,3
,売上総利益,-3,0,0,0,0,0,0,0,0,0,0,0,-3
6111,給与手当,1,,,,,,,,,,,,1
6311,雑給,1,,,,,,,,,,,,1
6112,旅費交通費,1,,,,,,,,,,,,1
6113,広告宣伝費,1,,,,,,,,,,,,1
6114,販売促進費,,,,,,,,,,,,,0
6115,荷造発送費,1,,,,,,,,,,,,1
6116,外注費,1,,,,,,,,,,,,1
6117,支払手数料,,,,,,,,,,,,,0
6118,,,,,,,,,,,,,,0
6211,役員報酬,,,,,,,,,,,,,0
6232,,,,,,,,,,,,,,0
6212,事務員給与,,,,,,,,,,,,,0
6213,従業員賞与,,,,,,,,,,,,,0
6312,法定福利費,,,,,,,,,,,,,0
6226,厚生費,,,,,,,,,,,,,0
6119,退職金,,,,,,,,,,,,,0
6214,減価償却費,,,,,,,,,,,,,0
6234,,,,,,,,,,,,,,0
6215,地代家賃,,,,,,,,,,,,,0
6216,修繕／車両関係費,,,,,,,,,,,,,0
6217,事務用消耗品費,,,,,,,,,,,,,0
6218,通信交通費,,,,,,,,,,,,,0
6219,水道光熱費,,,,,,,,,,,,,0
6221,租税公課,,,,,,,,,,,,,0
6222,寄付金,,,,,,,,,,,,,0
6223,接待交際費,,,,,,,,,,,,,0
6224,保険料,,,,,,,,,,,,,0
6225,備品消耗品費,,,,,,,,,,,,,0
6227,管理諸費,,,,,,,,,,,,,0
6228,リース／レンタル料,,,,,,,,,,,,,0
6229,諸会費,,,,,,,,,,,,,0
6313,,,,,,,,,,,,,,0
6233,,,,,,,,,,,,,,0
6314,貸倒償却,,,,,,,,,,,,,0
6231,雑費,,,,,,,,,,,,,0
,販売費及び一般管理費計,6,0,0,0,0,0,0,0,0,0,0,0,6
,営業利益（損失）,-9,0,0,0,0,0,0,0,0,0,0,0,-9
7111,受取利息,,,,,,,,,,,,,
7112,為替差益,,,,,,,,,,,,,
7113,ＬＬＰ収入,,,,,,,,,,,,,
7114,受取配当金,,,,,,,,,,,,,
7118,雑収入,,,,,,,,,,,,,
,営業外収益計,,,,,,,,,,,,,
7511,支払利息,,,,,,,,,,,,,
7518,手形売却損,,,,,,,,,,,,,
7512,為替差損,,,,,,,,,,,,,
7513,現金過不足,,,,,,,,,,,,,
7514,ＬＬＰ損失,,,,,,,,,,,,,
7515,繰延資産償却,,,,,,,,,,,,,
7519,雑損失,,,,,,,,,,,,,
,営業外費用計,,,,,,,,,,,,,
,経常利益（損失）,-9,0,0,0,0,0,0,0,0,0,0,0,-9
,累計利益,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,
,四半期利益,,,-9,,,0,,,0,,,0,
