"ｺｰﾄﾞ","勘定科目名"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"
"4111","売上高","954,145,867","389,845,824","358,831,001","525,307,328","303,619,472","416,754,421","467,161,065","379,603,846","365,890,371","327,112,674","355,936,280","271,123,188"
"4112","賃貸料収入","8,161,629","3,111,270","2,854,206","3,982,587","1,567,934","5,091,146","3,668,301","2,950,840","3,069,081","2,930,779","4,442,160","4,281,815"
"4113","ＬＬＰ収益","222,779,500","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","-595,449,683","0","75,992,598","-75,992,598","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","1,067,953","1,136,087","920,681","936,594","329,842","925,070","848,978","751,864","794,574","730,408","825,511","121,687"
,"純売上高","588,569,360","391,821,007","436,757,124","452,360,723","304,857,564","420,920,497","469,980,388","381,802,822","368,164,878","329,313,045","359,552,929","275,283,316"
"5111","期首棚卸高","58,682,019","53,377,064","54,643,021","57,225,542","70,642,755","53,348,325","50,994,335","55,032,003","59,544,157","53,500,068","54,776,822","57,028,346"
"5211","商品仕入高","69,470,470","88,009,406","91,612,465","111,006,239","53,847,466","60,080,082","182,263,564","73,580,921","67,770,147","70,453,830","80,721,571","54,358,944"
"5212","通信商品仕入高","120,466,857","119,044,749","157,090,083","159,500,457","81,874,977","212,019,974","98,927,952","154,598,338","135,860,412","115,156,369","120,219,791","116,452,921"
"5215","ｺﾐｯｼｮﾝ清掃代","29,503","34,951","64,236","45,483","32,263","43,211","31,253","33,873","42,086","30,790","33,143","13,430"
"5216","ＬＬＰ原価","104,410,770","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","53,377,064","54,643,021","57,225,542","70,642,755","53,348,325","50,994,335","55,032,003","59,544,157","53,500,068","54,776,822","57,028,346","60,856,598"
,"当期売上原価","299,682,555","205,823,149","246,184,263","257,134,966","153,049,136","274,497,257","277,185,101","223,700,978","209,716,734","184,364,235","198,722,981","166,997,043"
,"売上総利益","288,886,805","185,997,858","190,572,861","195,225,757","151,808,428","146,423,240","192,795,287","158,101,844","158,448,144","144,948,810","160,829,948","108,286,273"
"6111","給与手当","41,387,606","41,585,291","41,404,038","40,696,719","40,644,560","41,222,934","40,939,967","38,932,571","39,925,928","38,007,316","37,956,231","36,738,257"
"6311","雑給","-51,391,167","38,003,952","37,555,481","38,881,134","33,383,498","27,741,575","32,572,587","29,629,764","29,848,710","28,316,212","31,170,988","28,518,891"
"6112","旅費交通費","2,919,622","2,975,635","2,709,960","2,688,275","2,457,465","2,239,533","2,681,068","2,518,380","2,432,602","2,525,391","2,655,994","2,071,914"
"6113","広告宣伝費","12,010,151","14,436,283","13,992,220","15,800,598","12,855,130","11,558,135","14,394,743","11,480,529","9,367,901","8,396,759","10,863,657","6,007,487"
"6114","販売促進費","1,898,769","1,893,961","2,507,668","2,985,529","2,567,314","3,694,771","3,114,008","3,811,818","2,254,677","2,274,401","1,341,387","2,321,278"
"6115","荷造発送費","289,101","307,662","275,253","333,092","263,465","241,803","315,413","289,209","351,524","317,734","392,745","271,372"
"6116","外注費","4,369,186","4,371,162","4,432,973","5,440,846","4,410,166","3,963,897","4,707,263","3,976,701","4,585,469","3,705,552","5,201,320","1,426,400"
"6117","支払手数料","10,824,410","11,229,653","14,222,287","12,975,090","11,039,819","10,418,005","11,397,463","13,945,250","11,078,825","10,083,178","18,116,238","8,944,369"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","-225,999","1,664,001","1,675,001","850,002","850,002","450,002","650,002","650,002","650,002","650,002","650,002","650,002"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","12,941,329","0","0","0","1,302,083","1,302,083","3,152,083","1,302,083","0"
"6312","法定福利費","11,975,853","7,017,902","6,451,788","8,690,392","7,282,645","6,967,740","6,648,015","6,995,935","15,088,174","5,743,981","6,587,466","7,038,546"
"6226","厚生費","5,696,540","3,239,685","4,943,885","1,164,796","750,810","317,852","17,682,163","6,263,287","6,693,319","6,325,786","2,198,636","616,325"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","19,238,822","13,543,303","13,692,182","13,692,182","13,692,182","13,692,182","13,692,182","13,692,182","13,692,182","13,692,182","13,692,182","13,692,182"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","24,484,526","23,892,396","24,452,419","24,739,478","24,298,799","23,723,941","23,516,097","23,403,404","23,523,084","23,386,593","24,475,174","24,014,644"
"6216","修繕／車両関係費","2,982,540","1,582,442","3,909,293","4,751,480","1,435,535","5,770,754","5,547,430","1,639,754","1,736,238","2,079,522","9,494,530","1,352,683"
"6217","事務用消耗品費","41,645","58,265","137,594","81,135","67,933","94,380","98,394","109,324","46,109","44,699","45,052","53,090"
"6218","通信交通費","761,357","310,535","1,311,657","325,891","1,024,956","897,831","1,344,788","806,899","794,717","899,603","297,779","1,271,975"
"6219","水道光熱費","11,509,895","10,920,844","9,743,695","8,577,308","10,219,681","9,348,179","9,193,950","8,690,434","9,372,657","9,392,772","10,361,674","11,332,427"
"6221","租税公課","10,274,287","27,200","80,478","36,050","283,500","11,882","89,300","458,712","1,109,826","8,900","153,000","560,490"
"6222","寄付金","13,000","20,000","30,000","9,000","31,000","0","0","69,000","70,000","44,000","30,000","70,000"
"6223","接待交際費","610,085","863,734","530,392","763,018","551,614","267,114","604,877","527,105","426,094","570,566","1,340,221","844,087"
"6224","保険料","1,854,158","987,257","860,027","933,973","804,867","801,637","811,587","782,247","757,837","757,837","777,847","757,837"
"6225","備品消耗品費","15,384,737","8,933,461","11,002,330","11,659,608","6,686,094","6,367,560","14,589,054","12,079,691","11,414,229","12,261,608","9,289,180","6,116,460"
"6227","管理諸費","4,789,453","4,546,603","5,906,866","4,679,915","3,981,407","5,424,258","3,698,891","3,885,152","5,472,569","5,219,075","4,109,152","4,877,074"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","66,800","333,300","143,800","168,800","168,200","125,800","80,300","512,140","226,800","234,800","316,800","82,400"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","17,150","0","0","0","0","0","0","0","0","0","0"
