"ｺｰﾄﾞ","勘定科目名"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"
"4111","売上高","0","0","0","5,654,676","5,494,722","5,015,059","5,065,259","4,707,231","5,099,603","5,249,681","5,788,167","4,954,630"
"4112","会員券売上高","0","0","0","236,548","204,818","470,363","226,368","165,638","228,090","157,363","215,094","130,274"
"4113","ゴルフ用品・雑貨売上高","0","0","0","57,767","65,648","51,162","42,979","54,579","60,052","73,924","68,493","47,266"
"4114","手数料収入","0","0","0","109,016","195,044","159,620","165,432","155,184","203,520","172,321","301,663","204,897"
"4115","ポイント値引・入会金返金(△)","0","0","0","964,032","851,456","822,640","784,015","683,411","800,170","778,797","891,049","704,915"
,"純売上高","0","0","0","5,093,975","5,108,776","4,873,564","4,716,023","4,399,221","4,791,095","4,874,492","5,482,368","4,632,152"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","0","0","0","49,641","9,506","79,866","10,848","102,331","382","1,909","1,145","71,028"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","49,641","9,506","79,866","10,848","102,331","382","1,909","1,145","71,028"
,"売上総利益","0","0","0","5,044,334","5,099,270","4,793,698","4,705,175","4,296,890","4,790,713","4,872,583","5,481,223","4,561,124"
"6111","プロ報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6311","雑給","0","0","0","623,390","556,376","608,857","680,076","585,553","642,206","610,880","679,554","601,634"
"6112","旅費交通費","0","0","0","30,903","40,337","30,450","30,605","26,807","39,991","38,118","30,822","28,693"
"6113","広告宣伝費","0","0","0","186,536","175,400","214,855","166,127","151,400","301,445","364,400","237,445","173,100"
"6114","教育訓練費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","接客サービス費","0","0","0","266,135","252,737","271,934","194,522","192,656","273,745","263,642","241,190","201,792"
"6116","コンペ参加諸費","0","0","0","13,622","37,849","33,205","17,782","17,323","38,254","29,063","10,636","40,042"
"6117","プレイ器具費","0","0","0","46,850","111,000","37,281","75,960","13,991","0","43,364","34,200","278,250"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","283,500","283,500","315,000","315,000","315,000","315,000","315,000","315,000","315,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","社員給与","0","0","0","952,114","902,537","921,364","912,773","863,691","949,227","898,614","1,073,450","932,905"
"6213","従業員賞与","0","0","0","89,000","79,280","89,000","89,000","89,000","89,000","89,000","89,000","-274,759"
"6312","法定福利費","0","0","0","169,079","184,973","21,374","135,711","135,873","135,944","135,390","135,389","112,701"
"6226","厚生費","0","0","0","4,310","16,573","50,332","7,359","3,680","21,774","3,680","3,680","3,680"
"6119","退職手当等","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","370,000","370,000","370,000","370,000","370,000","370,000","370,000","370,000","370,000"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃・リース料","0","0","0","5,455","5,455","5,455","5,455","5,455","5,455","5,455","867,438","5,455"
"6216","修繕費","0","0","0","45,730","74,000","169,960","172,730","124,000","611,665","3,230","224,380","183,182"
"6217","事務用消耗品費","0","0","0","40,272","19,132","22,381","33,626","13,303","18,855","1,743","10,608","58,149"
"6218","通信交通費","0","0","0","24,803","12,656","20,122","23,357","26,197","23,328","35,708","24,181","23,329"
"6219","水道光熱費","0","0","0","129,507","168,447","136,548","241,851","269,587","344,319","264,662","224,916","150,339"
"6221","租税公課","0","0","0","3,000","0","117,600","0","114,000","17,800","9,020","145,400","0"
"6222","会議費","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","1,900","10,000","0"
"6224","保険料","0","0","0","60,700","32,910","0","44,310","0","10,005","0","0","0"
"6225","備品消耗品費","0","0","0","42,822","8,521","75,314","51,055","60,795","63,439","21,023","18,009","78,532"
"6227","管理諸費","0","0","0","74,300","499,800","333,477","102,800","144,510","45,900","45,900","95,900","45,900"
