"ｺｰﾄﾞ","勘定科目名"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"
"4111","売上高","39,878,311","46,642,607","36,093,282","34,133,891","45,429,760","34,420,053","39,768,128","34,557,430","36,067,693","30,576,203","36,947,634","43,206,357"
"4112","賃貸料収入","250,000","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","40,128,311","46,642,607","36,093,282","34,133,891","45,429,760","34,420,053","39,768,128","34,557,430","36,067,693","30,576,203","36,947,634","43,206,357"
"5111","期首棚卸高","2,620,364","2,536,946","2,715,223","2,427,974","2,835,143","2,864,733","3,046,682","3,073,982","2,668,250","2,177,273","2,590,437","2,942,461"
"5211","商品仕入高","0","0","0","0","0","1,875","182,000","0","0","65,800","150,000","35,800"
"5212","通信商品仕入高","26,389,431","31,835,464","24,163,678","21,611,994","29,182,770","23,656,120","27,224,194","22,022,170","23,655,226","19,190,775","24,541,056","28,435,019"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","2,536,946","2,715,223","2,427,974","2,835,143","2,864,733","3,046,682","3,073,982","2,668,250","2,177,273","2,590,437","2,942,461","2,988,814"
,"当期売上原価","26,472,849","31,657,187","24,450,927","21,204,825","29,153,180","23,476,046","27,378,894","22,427,902","24,146,203","18,843,411","24,339,032","28,424,466"
,"売上総利益","13,655,462","14,985,420","11,642,355","12,929,066","16,276,580","10,944,007","12,389,234","12,129,528","11,921,490","11,732,792","12,608,602","14,781,891"
"6111","給与手当","4,794,482","4,204,284","4,547,921","4,534,458","4,513,734","5,593,333","5,121,211","4,396,057","4,594,523","4,348,371","4,331,252","4,603,347"
"6311","雑給","283,300","259,025","193,625","206,600","269,675","276,550","252,425","300,875","244,925","175,850","243,575","309,200"
"6112","旅費交通費","51,125","51,466","51,783","55,174","64,636","68,185","64,947","64,285","80,286","57,223","75,841","78,640"
"6113","広告宣伝費","63,091","88,668","201,591","160,000","534,455","51,273","54,455","52,636","206,727","52,182","57,182","71,273"
"6114","販売促進費","12,513","24,684","48,089","7,300","40,459","12,781","199,904","8,104","10,300","5,346","956,607","305,000"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","2,269,497","3,137,937","2,202,799","2,118,067","2,698,488","594,304","655,175","530,131","2,511,949","2,626,883","2,342,222","1,361,677"
"6117","支払手数料","1,231,680","1,780,148","1,176,047","1,049,532","904,668","1,049,855","1,097,939","1,625,613","1,225,217","1,516,340","1,037,282","922,499"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","-440,000","0","0","0","520,000","-126,250","1,807,833","0","0","0","0","433,333"
"6312","法定福利費","606,084","606,084","631,302","648,654","634,456","634,492","867,207","809,959","619,435","592,386","620,600","620,600"
"6226","厚生費","5,000","10,908","0","0","0","0","0","0","2,050","3,600","1,640","2,200"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","292,802","292,802","292,802","292,802","292,802","292,802","292,802","292,802","292,802","292,802","-1,046,780","253,630"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","2,617,636","2,617,636","2,617,636","2,617,636","2,617,636","2,618,545","2,617,636","2,617,636","2,617,636","2,617,636","2,617,636","2,617,636"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","0","0","0","25,000"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","317,985","13,635","287,828","140,487","143,758","15,110","328,151","162,888","18,487","338,749","163,514","172,273"
"6219","水道光熱費","93,411","91,324","96,105","96,027","93,287","109,400","108,608","114,623","113,584","121,508","124,318","123,419"
"6221","租税公課","0","6,000","10,000","0","10,000","10,000","10,000","0","7,800","10,000","0","5,000"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","9,070"
"6224","保険料","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000"
"6225","備品消耗品費","187,829","24,945","32,251","60,079","156,397","99,162","118,906","106,827","192,530","76,196","179,161","85,131"
"6227","管理諸費","17,394","35,394","14,894","34,894","54,394","19,994","14,894","14,894","31,400","14,894","31,944","26,444"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","12,413,829","13,254,940","12,414,673","12,031,710","13,558,845","11,329,536","13,622,093","11,107,330","12,779,651","12,859,966","11,745,994","12,035,372"
,"営業利益（損失）","1,241,633","1,730,480","-772,318","897,356","2,717,735","-385,529","-1,232,859","1,022,198","-858,161","-1,127,174","862,608","2,746,519"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","87,000","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","87,000","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","1,167,429","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","1,167,429","0"
,"経常利益（損失）","1,241,633","1,730,480","-685,318","897,356","2,717,735","-385,529","-1,232,859","1,022,198","-858,161","-1,127,174","-304,821","2,746,519"
