"ｺｰﾄﾞ","勘定科目名"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"
"4111","売上高","45,429,760","34,420,053","39,768,128","34,557,430","36,067,693","30,576,203","36,947,634","43,206,357","41,312,589","42,849,202","47,677,228","41,037,317"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","45,429,760","34,420,053","39,768,128","34,557,430","36,067,693","30,576,203","36,947,634","43,206,357","41,312,589","42,849,202","47,677,228","41,037,317"
"5111","期首棚卸高","2,835,143","2,864,733","3,046,682","3,073,982","2,668,250","2,177,273","2,590,437","2,942,461","2,988,814","3,200,679","3,481,215","2,822,095"
"5211","商品仕入高","0","1,875","182,000","0","0","65,800","150,000","35,800","37,800","150,000","0","192,875"
"5212","通信商品仕入高","29,182,770","23,656,120","27,224,194","22,022,170","23,655,226","19,190,775","24,541,056","28,435,019","26,186,502","28,902,555","29,464,005","23,701,944"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","2,864,733","3,046,682","3,073,982","2,668,250","2,177,273","2,590,437","2,942,461","2,988,814","3,200,679","3,481,215","2,822,095","3,125,712"
,"当期売上原価","29,153,180","23,476,046","27,378,894","22,427,902","24,146,203","18,843,411","24,339,032","28,424,466","26,012,437","28,772,019","30,123,125","23,591,202"
,"売上総利益","16,276,580","10,944,007","12,389,234","12,129,528","11,921,490","11,732,792","12,608,602","14,781,891","15,300,152","14,077,183","17,554,103","17,446,115"
"6111","給与手当","4,513,734","5,593,333","5,121,211","4,396,057","4,594,523","4,348,371","4,331,252","4,603,347","4,648,690","4,494,336","5,791,033","4,506,895"
"6311","雑給","269,675","276,550","252,425","300,875","244,925","175,850","243,575","309,200","290,000","254,075","236,300","217,475"
"6112","旅費交通費","64,636","68,185","64,947","64,285","80,286","57,223","75,841","78,640","80,390","73,025","69,326","72,891"
"6113","広告宣伝費","534,455","51,273","54,455","52,636","206,727","52,182","57,182","71,273","126,727","248,091","214,091","224,545"
"6114","販売促進費","40,459","12,781","199,904","8,104","10,300","5,346","956,607","305,000","1,205,000","107,307","1,005,000","1,214,036"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","2,405","509"
"6116","外注費","2,698,488","594,304","655,175","530,131","2,511,949","2,626,883","2,342,222","1,361,677","1,512,839","1,952,982","2,267,802","2,102,408"
"6117","支払手数料","904,668","1,049,855","1,097,939","1,625,613","1,225,217","1,516,340","1,037,282","922,499","902,293","995,013","1,119,798","1,160,516"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
