"ｺｰﾄﾞ","勘定科目名"," 5年  9月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"," 6年  6月"," 6年  7月"," 6年  8月"
"4111","売上高","41,408,766","54,759,669","49,010,417","52,232,822","44,501,048","49,125,561","71,322,725","50,729,143","43,801,546","51,570,129","51,321,523","51,300,725"
"4112","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","41,408,766","54,759,669","49,010,417","52,232,822","44,501,048","49,125,561","71,322,725","50,729,143","43,801,546","51,570,129","51,321,523","51,300,725"
"5111","期首棚卸高","-297,355","3,558,420","3,620,832","3,757,829","3,992,045","3,658,445","4,114,417","3,775,602","15,388,664","19,952,910","17,785,244","22,645,292"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5212","通信商品仕入高","28,626,021","37,002,897","33,012,485","35,713,735","27,409,054","30,461,784","45,156,990","41,954,184","31,924,688","31,346,213","36,774,019","32,877,386"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","3,558,420","3,620,832","3,757,829","3,992,045","3,658,445","4,114,417","3,775,602","15,388,664","19,952,910","17,785,244","22,645,292","23,604,074"
,"当期売上原価","24,770,246","36,940,485","32,875,488","35,479,519","27,742,654","30,005,812","45,495,805","30,341,122","27,360,442","33,513,879","31,913,971","31,918,604"
,"売上総利益","16,638,520","17,819,184","16,134,929","16,753,303","16,758,394","19,119,749","25,826,920","20,388,021","16,441,104","18,056,250","19,407,552","19,382,121"
"6111","給与手当","4,787,139","5,915,499","4,607,228","4,428,873","4,353,288","4,618,854","4,341,314","4,177,535","3,910,632","3,778,180","4,672,594","4,359,331"
"6311","雑給","285,537","293,272","295,067","253,077","269,720","285,597","216,650","121,000","351,475","302,725","305,200","308,912"
"6112","旅費交通費","81,955","78,156","94,987","80,967","97,631","75,379","53,417","49,471","73,319","51,171","59,034","56,767"
"6113","広告宣伝費","147,000","200,500","40,000","40,000","42,782","40,000","333,092","238,000","40,000","40,000","40,000","40,000"
"6114","販売促進費","2,470,491","670,214","1,133,308","578,430","1,023,708","1,500,000","1,006,737","800,000","808,210","523,287","1,219,100","1,412,551"
"6115","荷造発送費","9,037","15,737","0","555","0","2,295","0","1,888","0","927","927","2,337"
"6116","外注費","1,356,030","2,377,991","2,522,509","2,909,778","2,190,687","1,907,181","2,980,448","2,076,947","2,452,475","3,316,358","4,154,758","4,904,482"
"6117","支払手数料","1,332,959","780,639","1,841,441","1,578,072","1,352,653","1,426,276","2,819,436","1,467,422","1,652,328","1,504,249","1,716,341","1,725,372"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","404,167","-895,833","404,167","404,167","404,167","187,500","403,500","175,000","175,000","175,000","175,000","175,000"
"6312","法定福利費","666,552","674,639","653,477","642,984","908,543","1,058,090","375,985","689,586","751,052","748,662","723,554","904,992"
"6226","厚生費","109,815","69,289","2,782","2,727","54,673","6,050","0","0","0","100,822","52,879","66,575"
"6119",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","-185,157","239,390","239,390","239,390","239,390","239,390","239,390","239,390","239,390","239,390","239,390","239,390"
"6234","リース料","0","0","16,400","16,400","16,400","16,400","16,400","16,400","0","0","0","10,000"
"6215","地代家賃","2,617,636","2,617,909","2,617,909","2,617,909","2,617,909","2,617,909","2,617,909","2,617,909","2,617,909","2,617,909","2,617,909","2,617,909"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","0","0","0","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","25,658","254,777","149,276","5,040","328,125","159,752","21,962","316,977","292,181","124,985","348,516","158,467"
"6219","水道光熱費","320,509","308,909","245,722","179,715","246,081","242,771","236,457","244,696","245,185","246,811","244,340","247,915"
"6221","租税公課","11,800","20,600","0","7,800","10,600","7,000","10,000","12,000","123,000","10,000","10,600","10,000"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","26,785","0","0","0","25,665","0","0","24,620","0"
"6224","保険料","0","0","0","0","0","0","0","0","0","0","0","0"
"6225","備品消耗品費","229,257","309,083","75,973","178,044","81,225","295,303","133,587","158,457","138,993","21,850","248,425","132,554"
"6227","管理諸費","0","7,200","0","0","0","0","0","0","0","0","0","10,000"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","14,670,385","13,937,971","14,939,636","14,190,713","14,237,582","14,685,747","15,806,284","13,428,343","13,871,149","13,802,326","16,853,187","17,382,554"
,"営業利益（損失）","1,968,135","3,881,213","1,195,293","2,562,590","2,520,812","4,434,002","10,020,636","6,959,678","2,569,955","4,253,924","2,554,365","1,999,567"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","716"
"7112",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","45,000","45,000","45,000","0","30,000","30,000","30,000","0","0","30,000","30,000","30,000"
,"営業外収益計","45,000","45,000","45,000","0","30,000","30,000","30,000","0","0","30,000","30,000","30,716"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","486,427","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","3,109","0","0","0","0","0","0","0","0","0"
,"営業外費用計","486,427","0","3,109","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","1,526,708","3,926,213","1,237,184","2,562,590","2,550,812","4,464,002","10,050,636","6,959,678","2,569,955","4,283,924","2,584,365","2,030,283"
