"ｺｰﾄﾞ","勘定科目名"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"
"4111","売上高","32,266,880","42,008,799","46,643,029","44,767,135","42,904,163","56,381,464","46,255,205","39,599,654","34,683,432","37,757,237","34,544,570","32,468,550"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","32,266,880","42,008,799","46,643,029","44,767,135","42,904,163","56,381,464","46,255,205","39,599,654","34,683,432","37,757,237","34,544,570","32,468,550"
"5111","期首棚卸高","2,670,585","3,014,039","3,086,309","3,234,192","3,024,863","2,793,451","2,128,653","2,213,249","2,265,884","2,602,350","2,898,004","2,145,703"
"5211","商品仕入高","184,100","47,047","12,278","150,000","0","0","0","0","0","0","0","122,234"
"5212","通信商品仕入高","20,716,080","29,272,919","33,081,530","30,701,956","28,661,404","40,796,338","31,606,469","28,550,356","24,174,598","24,053,983","21,621,654","19,273,224"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","3,014,039","3,086,309","3,234,192","3,024,863","2,793,451","2,128,653","2,213,249","2,265,884","2,602,350","2,898,004","2,145,703","2,575,514"
,"当期売上原価","20,556,726","29,247,696","32,945,925","31,061,285","28,892,816","41,461,136","31,521,873","28,497,721","23,838,132","23,758,329","22,373,955","18,965,647"
,"売上総利益","11,710,154","12,761,103","13,697,104","13,705,850","14,011,347","14,920,328","14,733,332","11,101,933","10,845,300","13,998,908","12,170,615","13,502,903"
"6111","給与手当","4,179,515","4,268,666","4,357,803","4,378,497","4,231,464","4,550,091","4,324,663","3,934,684","3,616,612","3,817,207","4,181,876","4,150,811"
