"ｺｰﾄﾞ","勘定科目名"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"
"4111","売上高","42,008,799","46,643,029","44,767,135","42,904,163","56,381,464","46,255,205","39,599,654","34,683,432","37,757,237","34,544,570","32,468,550","38,344,425"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","42,008,799","46,643,029","44,767,135","42,904,163","56,381,464","46,255,205","39,599,654","34,683,432","37,757,237","34,544,570","32,468,550","38,344,425"
"5111","期首棚卸高","3,014,039","3,086,309","3,234,192","3,024,863","2,793,451","2,128,653","2,213,249","2,265,884","2,602,350","2,898,004","2,145,703","0"
"5211","商品仕入高","47,047","12,278","150,000","0","0","0","0","0","0","0","122,234","228,615"
"5212","通信商品仕入高","29,272,919","33,081,530","30,701,956","28,661,404","40,796,338","31,606,469","28,550,356","24,174,598","24,053,983","21,621,654","19,273,224","24,902,262"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","3,086,309","3,234,192","3,024,863","2,793,451","2,128,653","2,213,249","2,265,884","2,602,350","2,898,004","2,145,703","2,575,514","44,850"
,"当期売上原価","29,247,696","32,945,925","31,061,285","28,892,816","41,461,136","31,521,873","28,497,721","23,838,132","23,758,329","22,373,955","18,965,647","25,086,027"
,"売上総利益","12,761,103","13,697,104","13,705,850","14,011,347","14,920,328","14,733,332","11,101,933","10,845,300","13,998,908","12,170,615","13,502,903","13,258,398"
"6111","給与手当","4,268,666","4,357,803","4,378,497","4,231,464","4,550,091","4,324,663","3,934,684","3,616,612","3,817,207","4,181,876","4,150,811","4,200,492"
"6311","雑給","288,600","324,000","263,250","297,450","337,650","308,725","332,025","360,875","286,600","187,225","260,600","304,550"
"6112","旅費交通費","84,307","88,830","77,412","95,976","63,970","29,158","55,053","52,153","50,615","60,640","60,065","53,509"
"6113","広告宣伝費","58,955","53,545","62,614","301,727","535,400","63,545","105,272","195,455","63,091","59,000","63,432","92,014"
"6114","販売促進費","5,035","68,110","5,000","5,000","465,811","471,890","5,000","9,713","5,000","6,007","5,000","5,000"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","3,769,209","4,016,350","3,482,893","2,728,824","3,361,062","2,348,826","3,410,514","3,192,352","2,628,445","900,000","993,654","3,754,427"
"6117","支払手数料","1,130,765","356,342","1,023,517","1,300,729","1,225,431","1,151,513","1,428,144","1,155,317","1,670,332","1,020,996","1,131,998","1,123,768"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","2,591,241","0","0","0","433,333","433,333","433,333","433,333","0","-743,332","0"
"6312","法定福利費","632,768","1,039,047","655,965","669,207","680,249","674,643","632,613","528,861","584,137","584,137","593,365","606,084"
"6226","厚生費","16,362","0","0","0","0","0","0","0","0","0","10,982","0"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","677,982","677,982","677,982","677,982","677,982","677,982","677,982","677,982","677,982","677,982","-489,332","292,802"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","3,163,636","2,011,636","2,611,636","2,611,636","2,611,636","2,611,636","2,611,636","2,611,636","2,611,636","2,563,636","2,611,636","2,611,636"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","0","0","0","0"
"6217","事務用消耗品費","42,798","0","0","54,710","6,181","0","0","0","0","6,440","0","0"
"6218","通信交通費","239,403","0","142,806","112,810","242,099","147,912","165,094","172,715","19,095","293,806","162,307","13,103"
"6219","水道光熱費","85,851","81,796","84,942","81,029","76,842","85,959","87,475","93,809","87,870","89,248","88,265","87,603"
"6221","租税公課","10,000","10,000","173,600","10,000","0","10,600","10,000","0","10,000","0","10,000","10,000"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","20,000","10,000"
"6225","備品消耗品費","77,392","158,867","91,546","74,352","248,568","194,754","166,668","140,411","117,130","163,027","122,433","172,727"
"6227","管理諸費","17,394","8,400","17,394","808,400","14,894","17,394","53,894","70,894","19,894","14,894","14,894","17,394"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","14,579,123","15,853,949","13,759,054","14,071,296","15,107,866","13,562,533","14,119,387","13,322,118","13,092,367","10,818,914","9,066,778","13,355,109"
,"営業利益（損失）","-1,818,020","-2,156,845","-53,204","-59,949","-187,538","1,170,799","-3,017,454","-2,476,818","906,541","1,351,701","4,436,125","-96,711"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","1,167,429","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","1,167,429","0"
