"ｺｰﾄﾞ","勘定科目名"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"
"4111","売上高","10,377,796","9,851,754","10,993,868","11,007,634","12,023,268","10,030,533","10,048,354","9,818,772","8,170,680","11,497,882","10,818,543","9,213,609"
"4112","会員券売上高","425,643","414,276","537,277","574,637","502,732","401,277","475,917","484,366","525,372","1,075,637","599,462","529,097"
"4113","ゴルフ用品・雑貨売上高","111,184","109,069","158,501","146,048","131,583","113,341","166,417","105,053","74,619","133,520","178,855","134,853"
"4114","手数料収入","293,451","289,021","368,557","350,789","769,445","417,778","360,943","455,862","425,289","843,231","432,983","329,126"
"4115","ポイント値引・入会金返金(△)","1,589,006","1,402,665","1,607,518","1,504,798","1,563,227","1,309,097","1,408,718","1,395,369","1,222,935","1,632,559","1,598,467","1,342,615"
,"純売上高","9,619,068","9,261,455","10,450,685","10,574,310","11,863,801","9,653,832","9,642,913","9,468,684","7,973,025","11,917,711","10,431,376","8,864,070"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","368,101","0","0","0"
"5211","商品仕入高","27,173","173,881","36,246","53,147","12,187","85,607","200,671","135,305","257,562","31,217","256,609","90,894"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","573,025","0","0","0"
,"当期売上原価","27,173","173,881","36,246","53,147","12,187","85,607","200,671","135,305","52,638","31,217","256,609","90,894"
,"売上総利益","9,591,895","9,087,574","10,414,439","10,521,163","11,851,614","9,568,225","9,442,242","9,333,379","7,920,387","11,886,494","10,174,767","8,773,176"
"6111","プロ報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6311","雑給","1,386,826","1,213,963","1,317,769","1,258,620","1,377,879","1,274,449","1,424,316","1,213,033","1,138,162","1,257,049","1,247,269","1,259,892"
"6112","旅費交通費","76,344","68,586","87,983","85,575","77,166","74,316","80,325","77,950","79,557","75,845","85,255","75,061"
"6113","広告宣伝費","328,700","300,200","423,745","500,700","367,745","303,400","466,200","482,773","775,300","792,940","309,700","372,550"
"6114","教育訓練費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","接客サービス費","345,422","579,313","386,198","508,193","712,138","327,085","375,462","489,893","602,149","826,831","771,272","499,190"
"6116","コンペ参加諸費","38,680","37,776","69,017","65,751","20,045","92,634","42,136","38,058","93,345","6,959","99,754","43,359"
"6117","プレイ器具費","220,960","18,991","5,000","48,364","39,200","293,250","673,804","15,855","101,460","61,209","96,440","1,885,100"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","630,000","630,000","630,000","630,000","630,000","630,000","630,000","630,000","630,000","630,000","630,000","630,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","社員給与","1,981,705","1,997,236","2,127,272","2,060,205","2,288,723","2,038,752","2,274,245","2,234,177","2,298,319","2,315,703","2,118,298","2,079,091"
"6213","従業員賞与","188,000","188,000","188,000","188,000","188,000","-338,813","188,000","188,000","188,000","188,000","-596,794","188,000"
"6312","法定福利費","320,137","320,453","320,282","318,959","319,013","232,169","771,350","320,529","245,006","399,544","399,531","349,441"
"6226","厚生費","13,059","9,380","32,019","9,380","9,380","9,380","9,380","9,380","95,887","21,449","21,379","62,775"
"6119","退職手当等","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","583,291","575,000","575,000","575,000"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃・リース料","664,372","664,372","769,950","664,372","1,526,355","664,372","664,372","664,372","743,942","664,372","664,372","1,805,124"
"6216","修繕費","180,230","124,000","697,530","36,230","261,030","183,182","710,390","86,440","2,181,286","484,025","30,560","80,570"
"6217","事務用消耗品費","39,055","36,885","37,573","14,693","37,317","68,985","44,555","37,050","31,361","75,574","45,924","45,527"
"6218","通信交通費","39,980","42,819","39,349","51,695","33,818","32,086","39,195","32,088","35,915","50,795","29,966","37,224"
"6219","水道光熱費","443,023","438,116","544,178","405,177","369,194","268,484","302,507","348,269","453,331","311,376","384,286","418,613"
"6221","租税公課","0","185,000","35,600","9,420","216,900","0","0","210,000","-6,000","0","120,100","154,000"
"6222","会議費","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","1,900","12,446","0","5,957","0","6,363","0","2,514","20,358"
"6224","保険料","114,460","48,430","20,010","54,675","0","0","0","0","600,876","347,350","69,210","112,930"
"6225","備品消耗品費","97,170","112,477","99,790","55,794","51,496","789,848","453,382","140,313","358,149","31,442","118,112","76,639"
"6227","管理諸費","172,800","289,020","91,800","91,800","191,800","91,800","91,800","91,800","171,800","91,800","702,320","93,709"
"6228","寄附金","5,455","0","20,000","1,000","5,000","0","5,000","0","40,000","5,000","0","18,182"
"6229","その他の一般管理費","48,500","32,000","32,000","15,500","48,500","32,000","15,500","48,500","32,000","32,000","32,000","15,500"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","112,374","90,127","104,436","115,062","141,912","105,072","132,419","91,305","108,170","99,037","165,137","122,807"
