"ｺｰﾄﾞ","勘定科目名"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"
"4111","売上高","10,030,533","10,048,354","9,818,772","8,170,680","11,497,882","10,818,543","9,213,609","9,891,130","9,262,865","10,471,465","10,567,897","10,831,480"
"4112","会員券売上高","401,277","475,917","484,366","525,372","1,075,637","599,462","529,097","388,367","496,369","634,276","410,551","474,546"
"4113","ゴルフ用品・雑貨売上高","113,341","166,417","105,053","74,619","133,520","178,855","134,853","126,072","100,890","119,666","85,136","111,312"
"4114","手数料収入","417,778","360,943","455,862","425,289","843,231","432,983","329,126","351,643","251,507","285,991","326,862","846,410"
"4115","ポイント値引・入会金返金(△)","1,309,097","1,408,718","1,395,369","1,222,935","1,632,559","1,598,467","1,342,615","1,439,742","1,400,321","1,498,646","1,480,252","1,434,082"
,"純売上高","9,653,832","9,642,913","9,468,684","7,973,025","11,917,711","10,431,376","8,864,070","9,317,470","8,711,310","10,012,752","9,910,194","10,829,666"
"5111","期首棚卸高","0","0","0","368,101","0","0","0","0","0","0","0","0"
"5211","商品仕入高","85,607","200,671","135,305","257,562","31,217","256,609","90,894","17,572","73,996","27,960","72,061","46,568"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","573,025","0","0","0","0","0","0","0","0"
,"当期売上原価","85,607","200,671","135,305","52,638","31,217","256,609","90,894","17,572","73,996","27,960","72,061","46,568"
,"売上総利益","9,568,225","9,442,242","9,333,379","7,920,387","11,886,494","10,174,767","8,773,176","9,299,898","8,637,314","9,984,792","9,838,133","10,783,098"
"6111","プロ報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6311","雑給","1,274,449","1,424,316","1,213,033","1,138,162","1,257,049","1,247,269","1,259,892","1,226,671","1,126,678","1,177,834","1,179,425","1,456,092"
"6112","旅費交通費","74,316","80,325","77,950","79,557","75,845","85,255","75,061","71,651","62,119","70,931","79,355","73,275"
"6113","広告宣伝費","303,400","466,200","482,773","775,300","792,940","309,700","372,550","490,223","363,550","808,895","543,459","302,550"
"6114","教育訓練費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","接客サービス費","327,085","375,462","489,893","602,149","826,831","771,272","499,190","346,032","740,643","341,085","423,111","801,018"
"6116","コンペ参加諸費","92,634","42,136","38,058","93,345","6,959","99,754","43,359","51,650","99,957","41,492","47,260","22,414"
"6117","プレイ器具費","293,250","673,804","15,855","101,460","61,209","96,440","1,885,100","5,000","61,170","100,432","23,460","5,000"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","630,000","630,000","630,000","630,000","630,000","630,000","630,000","570,000","570,000","570,000","570,000","570,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","社員給与","2,038,752","2,274,245","2,234,177","2,298,319","2,315,703","2,118,298","2,079,091","2,092,177","2,100,228","2,226,796","2,127,263","2,234,146"
"6213","従業員賞与","-338,813","188,000","188,000","188,000","188,000","-596,794","188,000","188,000","188,000","188,000","188,000","-497,113"
"6312","法定福利費","232,169","771,350","320,529","245,006","399,544","399,531","349,441","399,406","399,847","399,772","400,026","399,699"
"6226","厚生費","9,380","9,380","9,380","95,887","21,449","21,379","62,775","9,380","9,380","59,620","9,380","9,380"
"6119","退職手当等","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","500,000","500,000","500,000","583,291","575,000","575,000","575,000","697,000","697,000","697,000","697,000","697,000"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃・リース料","664,372","664,372","664,372","743,942","664,372","664,372","1,805,124","664,372","664,372","664,372","647,706","1,546,053"
"6216","修繕費","183,182","710,390","86,440","2,181,286","484,025","30,560","80,570","30,000","54,200","794,455","0","76,964"
"6217","事務用消耗品費","68,985","44,555","37,050","31,361","75,574","45,924","45,527","20,899","49,606","55,671","39,497","43,096"
"6218","通信交通費","32,086","39,195","32,088","35,915","50,795","29,966","37,224","43,457","32,142","28,934","41,882","31,682"
"6219","水道光熱費","268,484","302,507","348,269","453,331","311,376","384,286","418,613","598,216","732,485","668,031","426,439","388,798"
"6221","租税公課","0","0","210,000","-6,000","0","120,100","154,000","11,650","211,450","0","0","285,800"
"6222","会議費","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","5,957","0","6,363","0","2,514","20,358","0","46,827","37,780","12,127","80,290"
"6224","保険料","0","0","0","600,876","347,350","69,210","112,930","99,800","145,870","-20,330","82,893","0"
"6225","備品消耗品費","789,848","453,382","140,313","358,149","31,442","118,112","76,639","92,516","26,736","56,174","58,119","44,346"
"6227","管理諸費","91,800","91,800","91,800","171,800","91,800","702,320","93,709","171,800","281,720","91,800","91,800","191,800"
"6228","寄附金","0","5,000","0","40,000","5,000","0","18,182","5,000","21,818","20,000","0","10,000"
"6229","その他の一般管理費","32,000","15,500","48,500","32,000","32,000","32,000","15,500","48,500","32,000","32,000","15,500","48,500"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","105,072","132,419","91,305","108,170","99,037","165,137","122,807","261,857","247,900","303,328","323,122","186,258"
,"販売費及び一般管理費計","7,672,451","9,900,295","7,949,785","11,587,669","9,343,300","8,121,605","11,020,642","8,195,257","8,965,698","9,414,072","8,026,824","9,007,048"
,"営業利益（損失）","1,895,774","-458,053","1,383,594","-3,667,282","2,543,194","2,053,162","-2,247,466","1,104,641","-328,384","570,720","1,811,309","1,776,050"
"7111","受取利息","0","0","76","256","0","0","0","0","55","115","0","0"
"7112","受入家賃","0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","22","0","0","26","54,545","0","0","0","0"
,"営業外収益計","0","0","76","278","0","0","26","54,545","55","115","0","0"
"7511","支払利息割引料","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7513",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7514",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","2,830","0","0","0","400,000","3,430","700","0","0"
,"営業外費用計","0","0","0","2,830","0","0","0","400,000","3,430","700","0","0"
,"経常利益（損失）","1,895,774","-458,053","1,383,670","-3,669,834","2,543,194","2,053,162","-2,247,440","759,186","-331,759","570,135","1,811,309","1,776,050"
