"ｺｰﾄﾞ","勘定科目名"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年  9月"," 5年 10月"
"4111","売上高","10,818,543","9,213,609","9,891,130","9,262,865","10,471,465","10,567,897","10,831,480","9,663,289","9,243,269","8,625,793","9,731,090","10,629,018"
"4112","会員券売上高","599,462","529,097","388,367","496,369","634,276","410,551","474,546","717,731","446,008","744,914","513,000","562,000"
"4113","ゴルフ用品・雑貨売上高","178,855","134,853","126,072","100,890","119,666","85,136","111,312","127,393","137,845","123,489","111,816","111,610"
"4114","手数料収入","432,983","329,126","351,643","251,507","285,991","326,862","846,410","352,915","388,493","356,092","401,879","1,047,172"
"4115","ポイント値引・入会金返金(△)","1,598,467","1,342,615","1,439,742","1,400,321","1,498,646","1,480,252","1,434,082","1,350,633","1,273,502","1,265,093","1,190,419","1,563,101"
,"純売上高","10,431,376","8,864,070","9,317,470","8,711,310","10,012,752","9,910,194","10,829,666","9,510,695","8,942,113","8,585,195","9,567,366","10,786,699"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","0","573,025","0"
"5211","商品仕入高","256,609","90,894","17,572","73,996","27,960","72,061","46,568","116,185","28,604","117,777","90,663","15,870"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","0","551,662","0"
,"当期売上原価","256,609","90,894","17,572","73,996","27,960","72,061","46,568","116,185","28,604","117,777","112,026","15,870"
,"売上総利益","10,174,767","8,773,176","9,299,898","8,637,314","9,984,792","9,838,133","10,783,098","9,394,510","8,913,509","8,467,418","9,455,340","10,770,829"
"6111","プロ報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6311","雑給","1,247,269","1,259,892","1,226,671","1,126,678","1,177,834","1,179,425","1,456,092","1,368,684","1,470,828","1,263,677","1,308,676","1,456,666"
"6112","旅費交通費","85,255","75,061","71,651","62,119","70,931","79,355","73,275","69,687","80,562","72,246","69,176","84,071"
"6113","広告宣伝費","309,700","372,550","490,223","363,550","808,895","543,459","302,550","324,534","302,550","568,465","709,350","343,362"
"6114","教育訓練費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","接客サービス費","771,272","499,190","346,032","740,643","341,085","423,111","801,018","323,902","442,534","421,104","352,747","839,559"
"6116","コンペ参加諸費","99,754","43,359","51,650","99,957","41,492","47,260","22,414","54,121","139,013","26,283","105,437","0"
"6117","プレイ器具費","96,440","1,885,100","5,000","61,170","100,432","23,460","5,000","76,500","5,000","495,000","85,430","25,100"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","630,000","630,000","570,000","570,000","570,000","570,000","570,000","570,000","570,000","570,000","570,000","770,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
