"ｺｰﾄﾞ","勘定科目名"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年  9月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"
"4111","売上高","10,831,480","9,663,289","9,243,269","8,625,793","9,731,090","10,629,018","10,236,503","8,705,427","9,492,089","9,055,707","10,151,583","10,046,955"
"4112","会員券売上高","474,546","717,731","446,008","744,914","513,000","562,000","866,000","527,000","379,000","478,000","786,000","565,000"
"4113","ゴルフ用品・雑貨売上高","111,312","127,393","137,845","123,489","111,816","111,610","112,915","102,741","112,201","82,518","126,118","126,247"
"4114","手数料収入","846,410","352,915","388,493","356,092","401,879","1,047,172","413,619","401,298","272,348","174,590","353,262","353,389"
"4115","ポイント値引・入会金返金(△)","1,434,082","1,350,633","1,273,502","1,265,093","1,190,419","1,563,101","1,470,726","1,250,985","1,498,215","1,372,263","1,505,870","1,530,773"
,"純売上高","10,829,666","9,510,695","8,942,113","8,585,195","9,567,366","10,786,699","10,158,311","8,485,481","8,757,423","8,418,552","9,911,093","9,560,818"
"5111","期首棚卸高","0","0","0","0","573,025","0","0","0","0","0","0","0"
"5211","商品仕入高","46,568","116,185","28,604","117,777","90,663","15,870","78,085","234,814","79,221","55,564","9,778","127,361"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","551,662","0","0","0","0","0","0","0"
,"当期売上原価","46,568","116,185","28,604","117,777","112,026","15,870","78,085","234,814","79,221","55,564","9,778","127,361"
,"売上総利益","10,783,098","9,394,510","8,913,509","8,467,418","9,455,340","10,770,829","10,080,226","8,250,667","8,678,202","8,362,988","9,901,315","9,433,457"
"6111","プロ報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6311","雑給","1,456,092","1,368,684","1,470,828","1,263,677","1,308,676","1,456,666","1,380,628","1,331,757","1,378,076","1,148,237","1,358,329","1,316,711"
"6112","旅費交通費","73,275","69,687","80,562","72,246","69,176","84,071","73,399","68,891","79,010","68,215","74,051","80,117"
"6113","広告宣伝費","302,550","324,534","302,550","568,465","709,350","343,362","412,913","444,386","318,423","550,255","655,791","427,454"
"6114","教育訓練費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","接客サービス費","801,018","323,902","442,534","421,104","352,747","839,559","808,832","291,849","338,432","459,307","308,637","297,732"
"6116","コンペ参加諸費","22,414","54,121","139,013","26,283","105,437","0","41,795","63,412","83,853","30,502","38,776","32,939"
"6117","プレイ器具費","5,000","76,500","5,000","495,000","85,430","25,100","278,750","235,000","5,000","5,000","20,610","39,200"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","570,000","570,000","570,000","570,000","570,000","770,000","570,000","462,000","462,000","462,000","462,000","462,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","社員給与","2,234,146","2,187,062","2,216,476","2,153,023","2,313,023","2,154,421","2,090,103","2,068,681","2,104,775","2,191,582","2,247,421","2,198,310"
"6213","従業員賞与","-497,113","188,000","188,000","188,000","-164,000","188,000","129,921","188,000","188,000","188,000","188,000","188,000"
"6312","法定福利費","399,699","335,041","694,917","399,856","648,874","608,614","487,258","352,008","641,232","456,345","455,818","454,974"
"6226","厚生費","9,380","5,700","9,380","9,380","101,313","9,380","24,836","19,918","-2,020","3,680","7,359","3,985"
"6119","退職手当等","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","697,000","697,000","697,000","697,000","791,013","552,467","552,467","552,467","552,467","552,467","552,467","552,467"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃・リース料","1,546,053","665,888","665,888","665,888","727,069","832,783","832,783","832,783","832,783","832,783","832,783","832,783"
"6216","修繕費","76,964","140,300","41,510","159,879","61,666","105,000","273,760","91,500","72,727","5,100","82,240","225,690"
"6217","事務用消耗品費","43,096","43,814","54,471","67,168","31,020","70,245","50,681","47,552","61,627","12,094","66,947","8,210"
"6218","通信交通費","31,682","29,476","36,071","35,471","34,594","53,960","31,108","37,674","27,966","34,687","41,392","40,748"
"6219","水道光熱費","388,798","269,228","327,886","236,506","259,695","287,954","315,112","266,990","411,489","331,407","402,688","306,309"
"6221","租税公課","285,800","0","236,000","48,500","113,400","80,716","79,066","79,516","79,066","80,116","79,066","80,716"
"6222","会議費","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","80,290","6,973","16,348","0","101,436","3,196","67,382","42,411","64,200","53,236","48,837","20,134"
"6224","保険料","0","0","0","17,650","872,946","99,010","38,310","212,003","133,710","160,230","38,310","107,250"
"6225","備品消耗品費","44,346","59,549","77,225","61,292","78,822","57,661","91,598","122,432","75,184","39,867","48,121","98,214"
"6227","管理諸費","191,800","91,800","91,800","151,800","171,800","341,800","899,800","341,800","421,800","527,320","341,800","341,800"
"6228","寄附金","10,000","0","10,000","0","5,000","45,000","0","0","0","0","0","0"
"6229","その他の一般管理費","48,500","32,000","32,000","32,000","15,500","48,500","32,000","15,500","48,500","32,000","15,500","48,500"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","4,472","0","0","0","0","0","0","0"
"6231","雑費","186,258","210,360","215,538","168,176","198,080","192,558","102,692","121,775","96,431","77,586","163,703","123,226"
,"販売費及び一般管理費計","9,007,048","7,749,619","8,620,997","8,508,364","9,566,539","9,250,023","9,665,194","8,290,305","8,474,731","8,302,016","8,530,646","8,287,469"
,"営業利益（損失）","1,776,050","1,644,891","292,512","-40,946","-111,199","1,520,806","415,032","-39,638","203,471","60,972","1,370,669","1,145,988"
"7111","受取利息","0","0","0","51","138","0","0","0","0","84","112","2"
"7112","受入家賃","0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","533,000","0","325","19,173","0","0","572,100","0","13,636","0","0"
,"営業外収益計","0","533,000","0","376","19,311","0","0","572,100","0","13,720","112","2"
"7511","支払利息割引料","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7513",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7514",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","400,000","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","400,000","0","0","0"
