"ｺｰﾄﾞ","勘定科目名"," 5年  7月"," 5年  8月"," 5年  9月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"," 6年  6月"
"4111","売上高","9,243,269","8,625,793","9,731,090","10,629,018","10,236,503","8,705,427","9,492,089","9,055,707","10,151,583","10,046,955","10,190,709","9,348,405"
"4112","会員券売上高","446,008","744,914","513,000","562,000","866,000","527,000","379,000","478,000","786,000","565,000","649,000","535,000"
"4113","ゴルフ用品・雑貨売上高","137,845","123,489","111,816","111,610","112,915","102,741","112,201","82,518","126,118","126,247","117,835","80,267"
"4114","手数料収入","388,493","356,092","401,879","1,047,172","413,619","401,298","272,348","174,590","353,262","353,389","943,030","336,547"
"4115","ポイント値引・入会金返金(△)","1,273,502","1,265,093","1,190,419","1,563,101","1,470,726","1,250,985","1,498,215","1,372,263","1,505,870","1,530,773","1,409,178","1,203,845"
,"純売上高","8,942,113","8,585,195","9,567,366","10,786,699","10,158,311","8,485,481","8,757,423","8,418,552","9,911,093","9,560,818","10,491,396","9,096,374"
"5111","期首棚卸高","0","0","573,025","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","28,604","117,777","90,663","15,870","78,085","234,814","79,221","55,564","9,778","127,361","114,479","76,210"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","551,662","0","0","0","0","0","0","0","0","0"
,"当期売上原価","28,604","117,777","112,026","15,870","78,085","234,814","79,221","55,564","9,778","127,361","114,479","76,210"
,"売上総利益","8,913,509","8,467,418","9,455,340","10,770,829","10,080,226","8,250,667","8,678,202","8,362,988","9,901,315","9,433,457","10,376,917","9,020,164"
"6111","プロ報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6311","雑給","1,470,828","1,263,677","1,308,676","1,456,666","1,380,628","1,331,757","1,378,076","1,148,237","1,358,329","1,316,711","1,283,532","1,237,434"
"6112","旅費交通費","80,562","72,246","69,176","84,071","73,399","68,891","79,010","68,215","74,051","80,117","71,868","68,574"
"6113","広告宣伝費","302,550","568,465","709,350","343,362","412,913","444,386","318,423","550,255","655,791","427,454","377,080","331,200"
"6114","教育訓練費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","接客サービス費","442,534","421,104","352,747","839,559","808,832","291,849","338,432","459,307","308,637","297,732","1,063,137","455,413"
"6116","コンペ参加諸費","139,013","26,283","105,437","0","41,795","63,412","83,853","30,502","38,776","32,939","0","17,877"
"6117","プレイ器具費","5,000","495,000","85,430","25,100","278,750","235,000","5,000","5,000","20,610","39,200","9,410","127,064"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","570,000","570,000","570,000","770,000","570,000","462,000","462,000","462,000","462,000","462,000","462,000","462,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","社員給与","2,216,476","2,153,023","2,313,023","2,154,421","2,090,103","2,068,681","2,104,775","2,191,582","2,247,421","2,198,310","2,238,052","2,121,242"
"6213","従業員賞与","188,000","188,000","-164,000","188,000","129,921","188,000","188,000","188,000","188,000","188,000","-122,098","188,000"
"6312","法定福利費","694,917","399,856","648,874","608,614","487,258","352,008","641,232","456,345","455,818","454,974","433,378","315,098"
"6226","厚生費","9,380","9,380","101,313","9,380","24,836","19,918","-2,020","3,680","7,359","3,985","3,985","7,665"
"6119","退職手当等","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","697,000","697,000","791,013","552,467","552,467","552,467","552,467","552,467","552,467","552,467","552,467","552,467"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃・リース料","665,888","665,888","727,069","832,783","832,783","832,783","832,783","832,783","832,783","832,783","893,967","832,783"
"6216","修繕費","41,510","159,879","61,666","105,000","273,760","91,500","72,727","5,100","82,240","225,690","0","45,690"
"6217","事務用消耗品費","54,471","67,168","31,020","70,245","50,681","47,552","61,627","12,094","66,947","8,210","57,180","56,660"
"6218","通信交通費","36,071","35,471","34,594","53,960","31,108","37,674","27,966","34,687","41,392","40,748","33,574","27,301"
"6219","水道光熱費","327,886","236,506","259,695","287,954","315,112","266,990","411,489","331,407","402,688","306,309","321,824","238,181"
"6221","租税公課","236,000","48,500","113,400","80,716","79,066","79,516","79,066","80,116","79,066","80,716","79,516","79,066"
"6222","会議費","0","0","0","0","0","0","0","0","0","0","0","0"
