"ｺｰﾄﾞ","勘定科目名"," 5年  9月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"," 6年  6月"," 6年  7月"," 6年  8月"
"4111","売上高","9,731,090","10,629,018","10,236,503","8,705,427","9,492,089","9,055,707","10,151,583","10,046,955","10,190,709","9,348,405","8,083,470","7,828,872"
"4112","会員券売上高","513,000","562,000","866,000","527,000","379,000","478,000","786,000","565,000","649,000","535,000","462,000","459,000"
"4113","ゴルフ用品・雑貨売上高","111,816","111,610","112,915","102,741","112,201","82,518","126,118","126,247","117,835","80,267","115,756","97,601"
"4114","手数料収入","401,879","1,047,172","413,619","401,298","272,348","174,590","353,262","353,389","943,030","336,547","366,073","363,688"
"4115","ポイント値引・入会金返金(△)","1,190,419","1,563,101","1,470,726","1,250,985","1,498,215","1,372,263","1,505,870","1,530,773","1,409,178","1,203,845","1,052,514","988,307"
,"純売上高","9,567,366","10,786,699","10,158,311","8,485,481","8,757,423","8,418,552","9,911,093","9,560,818","10,491,396","9,096,374","7,974,785","7,760,854"
"5111","期首棚卸高","573,025","0","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","90,663","15,870","78,085","234,814","79,221","55,564","9,778","127,361","114,479","76,210","19,859","80,564"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","551,662","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","112,026","15,870","78,085","234,814","79,221","55,564","9,778","127,361","114,479","76,210","19,859","80,564"
,"売上総利益","9,455,340","10,770,829","10,080,226","8,250,667","8,678,202","8,362,988","9,901,315","9,433,457","10,376,917","9,020,164","7,954,926","7,680,290"
"6111","プロ報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6311","雑給","1,308,676","1,456,666","1,380,628","1,331,757","1,378,076","1,148,237","1,358,329","1,316,711","1,283,532","1,237,434","1,301,251","1,249,663"
"6112","旅費交通費","69,176","84,071","73,399","68,891","79,010","68,215","74,051","80,117","71,868","68,574","71,382","66,631"
"6113","広告宣伝費","709,350","343,362","412,913","444,386","318,423","550,255","655,791","427,454","377,080","331,200","299,080","306,400"
"6114","教育訓練費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","接客サービス費","352,747","839,559","808,832","291,849","338,432","459,307","308,637","297,732","1,063,137","455,413","323,826","299,270"
"6116","コンペ参加諸費","105,437","0","41,795","63,412","83,853","30,502","38,776","32,939","0","17,877","50,808","35,622"
"6117","プレイ器具費","85,430","25,100","278,750","235,000","5,000","5,000","20,610","39,200","9,410","127,064","20,880","5,000"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","570,000","770,000","570,000","462,000","462,000","462,000","462,000","462,000","462,000","462,000","462,000","462,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","社員給与","2,313,023","2,154,421","2,090,103","2,068,681","2,104,775","2,191,582","2,247,421","2,198,310","2,238,052","2,121,242","2,143,274","2,073,915"
"6213","従業員賞与","-164,000","188,000","129,921","188,000","188,000","188,000","188,000","188,000","-122,098","188,000","188,000","188,000"
"6312","法定福利費","648,874","608,614","487,258","352,008","641,232","456,345","455,818","454,974","433,378","315,098","863,489","668,477"
"6226","厚生費","101,313","9,380","24,836","19,918","-2,020","3,680","7,359","3,985","3,985","7,665","44,350","13,314"
"6119","退職手当等","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","791,013","552,467","552,467","552,467","552,467","552,467","552,467","552,467","552,467","552,467","552,467","552,467"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃・リース料","727,069","832,783","832,783","832,783","832,783","832,783","832,783","832,783","893,967","832,783","832,783","832,783"
"6216","修繕費","61,666","105,000","273,760","91,500","72,727","5,100","82,240","225,690","0","45,690","17,000","40,000"
"6217","事務用消耗品費","31,020","70,245","50,681","47,552","61,627","12,094","66,947","8,210","57,180","56,660","76,541","51,083"
"6218","通信交通費","34,594","53,960","31,108","37,674","27,966","34,687","41,392","40,748","33,574","27,301","16,247","19,630"
"6219","水道光熱費","259,695","287,954","315,112","266,990","411,489","331,407","402,688","306,309","321,824","238,181","368,506","328,222"
"6221","租税公課","113,400","80,716","79,066","79,516","79,066","80,116","79,066","80,716","79,516","79,066","87,066","80,116"
"6222","会議費","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","101,436","3,196","67,382","42,411","64,200","53,236","48,837","20,134","25,645","1,000","42,072","21,927"
"6224","保険料","872,946","99,010","38,310","212,003","133,710","160,230","38,310","107,250","38,310","38,310","38,310","57,370"
"6225","備品消耗品費","78,822","57,661","91,598","122,432","75,184","39,867","48,121","98,214","42,833","111,403","65,872","38,547"
"6227","管理諸費","171,800","341,800","899,800","341,800","421,800","527,320","341,800","341,800","441,800","341,800","341,800","341,800"
"6228","寄附金","5,000","45,000","0","0","0","0","0","0","10,000","5,000","5,000","0"
"6229","その他の一般管理費","15,500","48,500","32,000","15,500","48,500","32,000","15,500","48,500","32,000","15,500","48,500","15,500"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","4,472","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","198,080","192,558","102,692","121,775","96,431","77,586","163,703","123,226","120,396","142,029","95,824","82,938"
,"販売費及び一般管理費計","9,566,539","9,250,023","9,665,194","8,290,305","8,474,731","8,302,016","8,530,646","8,287,469","8,469,856","7,818,757","8,356,328","7,830,675"
,"営業利益（損失）","-111,199","1,520,806","415,032","-39,638","203,471","60,972","1,370,669","1,145,988","1,907,061","1,201,407","-401,402","-150,385"
"7111","受取利息","138","0","0","0","0","84","112","2","0","0","0","849"
"7112","受入家賃","0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","19,173","0","0","572,100","0","13,636","0","0","0","0","0","43"
,"営業外収益計","19,311","0","0","572,100","0","13,720","112","2","0","0","0","892"
"7511","支払利息割引料","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7513",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7514",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","400,000","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","400,000","0","0","0","0","0","0","0"
,"経常利益（損失）","-91,888","1,520,806","415,032","532,462","-196,529","74,692","1,370,781","1,145,990","1,907,061","1,201,407","-401,402","-149,493"
