"ｺｰﾄﾞ","勘定科目名"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"
"4111","売上高","10,993,868","11,007,634","12,023,268","10,030,533","10,048,354","9,818,772","8,170,680","11,497,882","10,818,543","9,213,609","9,891,130","9,262,865"
"4112","会員券売上高","537,277","574,637","502,732","401,277","475,917","484,366","525,372","1,075,637","599,462","529,097","388,367","496,369"
"4113","ゴルフ用品・雑貨売上高","158,501","146,048","131,583","113,341","166,417","105,053","74,619","133,520","178,855","134,853","126,072","100,890"
"4114","手数料収入","368,557","350,789","769,445","417,778","360,943","455,862","425,289","843,231","432,983","329,126","351,643","243,097"
"4115","ポイント値引・入会金返金(△)","1,607,518","1,504,798","1,563,227","1,309,097","1,408,718","1,395,369","1,222,935","1,632,559","1,598,467","1,342,615","1,439,742","1,447,148"
,"純売上高","10,450,685","10,574,310","11,863,801","9,653,832","9,642,913","9,468,684","7,973,025","11,917,711","10,431,376","8,864,070","9,317,470","8,656,073"
"5111","期首棚卸高","0","0","0","0","0","0","368,101","0","0","0","0","0"
"5211","商品仕入高","36,246","53,147","12,187","85,607","200,671","135,305","257,562","31,217","256,609","90,894","17,572","73,996"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","573,025","0","0","0","0","0"
,"当期売上原価","36,246","53,147","12,187","85,607","200,671","135,305","52,638","31,217","256,609","90,894","17,572","73,996"
,"売上総利益","10,414,439","10,521,163","11,851,614","9,568,225","9,442,242","9,333,379","7,920,387","11,886,494","10,174,767","8,773,176","9,299,898","8,582,077"
"6111","プロ報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6311","雑給","1,317,769","1,258,620","1,377,879","1,274,449","1,424,316","1,213,033","1,138,162","1,257,049","1,247,269","1,259,892","1,226,671","1,126,678"
"6112","旅費交通費","87,983","85,575","77,166","74,316","80,325","77,950","79,557","75,845","85,255","75,061","71,651","62,119"
"6113","広告宣伝費","423,745","500,700","367,745","303,400","466,200","482,773","775,300","792,940","309,700","372,550","490,223","311,550"
"6114","教育訓練費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","接客サービス費","386,198","508,193","712,138","327,085","375,462","489,893","602,149","826,831","771,272","499,190","346,032","792,117"
"6116","コンペ参加諸費","69,017","65,751","20,045","92,634","42,136","38,058","93,345","6,959","99,754","43,359","51,650","99,957"
"6117","プレイ器具費","5,000","48,364","39,200","293,250","673,804","15,855","101,460","61,209","96,440","1,885,100","5,000","39,739"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","630,000","630,000","630,000","630,000","630,000","630,000","630,000","630,000","630,000","630,000","570,000","570,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","社員給与","2,127,272","2,060,205","2,288,723","2,038,752","2,274,245","2,234,177","2,298,319","2,315,703","2,118,298","2,079,091","2,092,177","2,100,228"
"6213","従業員賞与","188,000","188,000","188,000","-338,813","188,000","188,000","188,000","188,000","-596,794","188,000","188,000","188,000"
"6312","法定福利費","320,282","318,959","319,013","232,169","771,350","320,529","245,006","399,544","399,531","349,441","399,406","399,847"
"6226","厚生費","32,019","9,380","9,380","9,380","9,380","9,380","95,887","21,449","21,379","62,775","9,380","12,497"
"6119","退職手当等","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","500,000","500,000","500,000","500,000","500,000","500,000","583,291","575,000","575,000","575,000","697,000","697,000"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃・リース料","769,950","664,372","1,526,355","664,372","664,372","664,372","743,942","664,372","664,372","1,805,124","664,372","664,372"
"6216","修繕費","697,530","36,230","261,030","183,182","710,390","86,440","2,181,286","484,025","30,560","80,570","30,000","54,200"
"6217","事務用消耗品費","37,573","14,693","37,317","68,985","44,555","37,050","31,361","75,574","45,924","45,527","20,899","49,606"
"6218","通信交通費","39,349","51,695","33,818","32,086","39,195","32,088","35,915","50,795","29,966","37,224","43,457","32,142"
"6219","水道光熱費","544,178","405,177","369,194","268,484","302,507","348,269","453,331","311,376","384,286","418,613","598,216","732,485"
"6221","租税公課","35,600","9,420","216,900","0","0","210,000","-6,000","0","120,100","154,000","11,650","211,450"
"6222","会議費","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","1,900","12,446","0","5,957","0","6,363","0","2,514","20,358","0","0"
"6224","保険料","20,010","54,675","0","0","0","0","600,876","347,350","69,210","112,930","99,800","145,870"
"6225","備品消耗品費","99,790","55,794","51,496","789,848","453,382","140,313","358,149","31,442","118,112","76,639","92,516","26,736"
"6227","管理諸費","91,800","91,800","191,800","91,800","91,800","91,800","171,800","91,800","702,320","93,709","171,800","281,720"
"6228","寄附金","20,000","1,000","5,000","0","5,000","0","40,000","5,000","0","18,182","5,000","0"
