"ｺｰﾄﾞ","勘定科目名"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"
"4111","授業料等収入","830,227","508,955","360,773","296,173","29,923,833","23,373,900","616,000","450,522","698,091","1,209,599","19,933,100","11,579,331"
"4112","寮費等収入","60,000","70,000","50,000","90,000","6,800,000","-4,194,100","6,002,000","90,000","2,535,500","4,994,500","4,296,500","2,610,500"
"4113","職業紹介売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","特定技能売上高","100,000","146,364","100,000","100,909","146,364","200,909","0","50,909","50,000","75,000","75,000","75,000"
"4116","児発放デイ売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","990,227","725,319","510,773","487,082","36,870,197","19,380,709","6,618,000","591,431","3,283,591","6,279,099","24,304,600","14,264,831"
"5111","期首棚卸高","1,128,600","1,128,600","1,128,600","1,128,600","1,128,600","1,128,600","0","0","0","0","0","0"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5212","教材費等","12,045","32,700","4,205","56,817","1,809,300","780,810","57,364","2,500","1,849,660","60,600","221,219","323,220"
"5215","書類作成手数料","0","0","0","90,000","120,000","6,631,407","200,000","99,560","0","0","261,818","270,000"
"5216","他売上原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","1,128,600","1,128,600","1,128,600","1,128,600","1,128,600","333,900","0","0","0","0","0","0"
,"当期売上原価","12,045","32,700","4,205","146,817","1,929,300","8,206,917","257,364","102,060","1,849,660","60,600","483,037","593,220"
,"売上総利益","978,182","692,619","506,568","340,265","34,940,897","11,173,792","6,360,636","489,371","1,433,931","6,218,499","23,821,563","13,671,611"
"6111","給与手当","1,343,738","1,366,135","1,641,119","1,303,643","1,409,781","1,711,259","2,106,473","1,727,633","1,881,978","1,881,978","2,122,851","2,416,544"
"6311","雑給","0","0","0","0","0","0","0","0","0","0","0","0"
"6112","旅費交通費","105,289","108,579","107,934","85,182","165,496","449,767","133,518","92,468","110,409","103,600","220,175","428,225"
"6113","広告宣伝費","10,300","10,300","10,300","10,300","10,300","10,300","420,300","10,300","10,300","10,300","10,300","10,300"
"6114","販売促進費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","発送配達費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116",,"0","0","0","0","0","0","0","0","0","0","0","0"
