"ｺｰﾄﾞ","勘定科目名"," 5年  6月"," 5年  7月"," 5年  8月"," 5年  9月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"
"4111","授業料等収入","318,500","1,924,328","22,139,524","2,612,350","28,024,702","875,096","1,520,192","4,447,658","11,280,097","879,646","60,844,237","23,298,904"
"4112","寮費等収入","9,260,000","840,000","11,112,800","1,134,450","5,915,000","148,960","121,040","120,000","7,580,000","20,000","13,242,000","-9,585,000"
"4113","職業紹介売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","特定技能売上高","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","304,407","245,000","175,000","25,000"
"4116","児発放デイ売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","9,628,500","2,814,328","33,302,324","3,796,800","33,989,702","1,074,056","1,691,232","4,617,658","19,164,504","1,144,646","74,261,237","13,738,904"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","0","0","530,000"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5212","教材費等","0","141,295","249,825","9,075","1,577,255","688,536","45,555","0","247,472","13,600","5,602,440","2,829,670"
"5215","書類作成手数料","0","0","0","0","772,727","1,572,956","234,500","240,000","154,500","0","1,382,545","6,062,546"
"5216","他売上原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","0","0","1,241,300"
,"当期売上原価","0","141,295","249,825","9,075","2,349,982","2,261,492","280,055","240,000","401,972","13,600","6,984,985","8,180,916"
,"売上総利益","9,628,500","2,673,033","33,052,499","3,787,725","31,639,720","-1,187,436","1,411,177","4,377,658","18,762,532","1,131,046","67,276,252","5,557,988"
"6111","給与手当","2,740,200","2,616,362","2,414,167","2,959,985","3,364,780","3,476,573","3,098,940","3,244,792","3,339,081","3,261,531","3,619,320","3,819,213"
"6311","雑給","0","0","0","0","0","0","0","0","0","0","0","0"
"6112","旅費交通費","146,649","223,761","225,353","437,283","401,128","185,575","204,950","180,695","157,069","205,624","186,660","275,229"
"6113","広告宣伝費","10,300","10,300","10,300","10,300","10,300","10,300","10,300","10,300","10,300","10,300","10,300","10,300"
"6114","販売促進費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","発送配達費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","46,891","128,877","71,941","97,161","568,734","623,030","1,129,637","585,485","561,321","740,184","1,266,274","1,212,842"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","600,000","700,000","700,000","700,000","700,000","700,000","700,000","700,000","700,000","700,000","700,000","700,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6210","処遇改善手当","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","441,667","441,667","441,667","441,667","441,667","441,667","441,667","441,667","441,667","441,667","441,667","216,163"
"6209","退職手当","0","0","0","0","0","0","0","0","0","0","0","0"
"6312","法定福利費","0","307,499","328,487","357,782","495,672","386,655","383,468","578,670","610,680","417,435","392,126","480,640"
"6226","厚生費","0","59,375","0","0","40,435","35,909","125,164","0","0","17,045","18,575","36,477"
"6119",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","123,223","123,223","123,223","123,223","123,223","123,223","123,223","123,223","123,223","123,223","123,223","2,583,491"
"6234","リース料","0","39,760","39,760","39,760","39,760","39,760","59,040","323,240","152,940","152,940","971,122","1,529,840"
"6215","地代家賃","1,194,909","1,194,909","1,194,909","1,208,909","1,670,127","1,999,873","1,789,000","1,789,300","1,799,300","2,123,000","1,747,364","1,981,000"
"6216","修繕費","0","0","0","0","0","0","0","0","0","0","0","815,480"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","0","81,560","107,663","259,307","358,931","156,139","145,713","158,769","187,800","151,775","349,550","628,258"
"6219","水道光熱費","0","41,715","55,748","68,065","65,940","48,424","49,909","48,278","49,149","65,978","134,645","40,079"
"6221","租税公課","200","0","1,200","1,949,224","171,200","1,800","38,700","27,400","0","0","338,200","419,206"
"6222","寄付金","0","0","0","0","0","0","20,000","0","0","0","0","0"
"6223","接待交際費","2,500","15,864","17,125","31,486","12,050","0","1,500","4,036","12,580","0","0","40,867"
"6224","保険料","25,297","779,867","11,087","5,917","5,917","79,567","295,107","389,637","5,917","5,917","5,917","-221,575"
"6225","備品消耗品費","18,755","226,881","300,761","243,142","864,178","453,086","286,939","274,825","46,954","142,551","2,337,533","2,120,669"
"6227","管理諸費","37,000","581,321","67,886","253,591","1,120,176","50,000","50,000","80,764","127,614","339,120","151,841","213,956"
"6228","諸会費","12,000","0","0","14,000","0","0","0","3,000","0","0","64,000","131,000"
"6229","清掃・衛生費","0","0","181,818","172,000","50,000","60,000","60,000","60,000","60,000","60,000","60,000","149,333"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","5,399,591","7,572,941","6,293,095","9,372,802","10,504,218","8,871,581","9,013,257","9,024,081","8,385,595","8,958,290","12,918,317","17,182,468"
,"営業利益（損失）","4,228,909","-4,899,908","26,759,404","-5,585,077","21,135,502","-10,059,017","-7,602,080","-4,646,423","10,376,937","-7,827,244","54,357,935","-11,624,480"
"7111","受取利息","0","0","343","43","0","0","0","1","223","275","0","0"
"7112","受取手数料","0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","300","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","455,818","197,677","323,136","279,639","218,189","238,376","2,187,099","511,187","1,463,961","5,788","17,351","784,790"
,"営業外収益計","456,118","197,677","323,479","279,682","218,189","238,376","2,187,099","511,188","1,464,184","6,063","17,351","784,790"
"7511","支払利息","18,311","17,922","16,968","240,287","109,690","89,652","0","170,621","86,623","0","167,455","472,700"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7513",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7514","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","50,000"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","18,311","17,922","16,968","240,287","109,690","89,652","0","170,621","86,623","0","167,455","522,700"
,"経常利益（損失）","4,666,716","-4,720,153","27,065,915","-5,545,682","21,244,001","-9,910,293","-5,414,981","-4,305,856","11,754,498","-7,821,181","54,207,831","-11,362,390"
