"ｺｰﾄﾞ","勘定科目名"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年  9月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"
"4111","授業料等収入","12,727","165,454","25,454","12,727","25,454","-89,091","0","0","0","0","0","0"
"4112","寮費等収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","職業紹介売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","特定技能売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4116","児発放デイ売上高","4,023,510","4,055,206","3,783,477","3,736,212","3,626,773","3,518,111","3,954,390","4,024,618","4,013,251","3,697,138","3,688,995","4,358,223"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","4,036,237","4,220,660","3,808,931","3,748,939","3,652,227","3,429,020","3,954,390","4,024,618","4,013,251","3,697,138","3,688,995","4,358,223"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","12,160","13,397","10,108","13,722","17,616","12,158","11,904","19,493","8,841","7,564","17,455","12,402"
"5212","教材費等","4,359","0","0","0","0","0","0","0","0","0","0","0"
"5215","書類作成手数料","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","他売上原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","16,519","13,397","10,108","13,722","17,616","12,158","11,904","19,493","8,841","7,564","17,455","12,402"
,"売上総利益","4,019,718","4,207,263","3,798,823","3,735,217","3,634,611","3,416,862","3,942,486","4,005,125","4,004,410","3,689,574","3,671,540","4,345,821"
"6111","給与手当","2,183,618","2,069,486","1,809,525","1,798,580","1,525,004","2,289,123","2,036,638","2,094,903","1,628,161","1,824,379","1,855,895","1,880,958"
"6311","雑給","0","0","0","0","0","0","0","0","0","0","0","0"
"6112","旅費交通費","87,210","189,730","24,090","91,227","106,605","133,285","131,010","123,356","132,546","120,856","118,360","105,994"
"6113","広告宣伝費","0","0","0","0","0","0","0","0","0","0","0","0"
"6114","販売促進費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","発送配達費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","30,770","764,745","500","44,220","37,320","34,991","30,184","68,914","31,584","12,107","41,263","34,403"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6210","処遇改善手当","374,024","311,325","314,074","286,104","304,478","284,658","272,187","305,782","291,396","322,452","283,301","284,655"
"6213","従業員賞与","277,667","-2,745,937","281,446","281,446","281,446","281,446","281,446","281,446","281,446","281,446","281,446","281,446"
"6209","退職手当","0","155,040","0","0","0","0","0","0","0","0","0","0"
"6312","法定福利費","354,705","327,042","0","307,498","309,353","269,865","403,549","396,463","308,908","454,809","446,397","280,214"
"6226","厚生費","8,985","15,909","0","0","0","0","7,964","5,223","118,275","5,855","2,513","14,415"
"6119",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","277,000","391,572","136,880","136,880","136,880","136,880","136,880","136,880","136,880","136,880","136,880","136,880"
"6234","リース料","0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","39,757","14,545","42,545","28,545","21,545","21,545","21,545","14,545","14,545","35,545","21,545"
"6216","修繕費","0","0","0","0","0","0","1,357,273","0","0","0","0","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","15,329","28,346","0","14,166","15,343","15,975","34,307","0","30,015","0","30,379","14,855"
"6219","水道光熱費","82,612","137,033","0","64,985","64,009","87,734","171,139","0","144,557","0","80,571","90,227"
"6221","租税公課","0","218,100","0","0","0","0","0","0","0","0","0","47,200"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","1,000","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","0","178,280","-140,880","0","340,070","0","0","0","48,210","17,650","0","17,650"
"6225","備品消耗品費","88,581","524,989","7,578","86,862","65,143","13,396","17,495","12,905","97,483","463,141","226,325","184,821"
"6227","管理諸費","43,200","0","0","0","0","0","0","13,636","30,600","-600","114,000","10,300"
"6228","諸会費","0","6,000","0","0","0","0","0","0","0","0","0","0"
"6229","清掃・衛生費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","3,824,701","2,611,417","2,447,758","3,154,513","3,214,196","3,568,898","4,901,617","3,461,053","3,294,606","3,653,520","3,652,875","3,405,563"
,"営業利益（損失）","195,017","1,595,846","1,351,065","580,704","420,415","-152,036","-959,131","544,072","709,804","36,054","18,665","940,258"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","受取手数料","0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","7,427","13,501","0","5,069","6,649","8,607","5,829","3,693","8,653","6,569","5,607","473,060"
,"営業外収益計","7,427","13,501","0","5,069","6,649","8,607","5,829","3,693","8,653","6,569","5,607","473,060"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7513",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7514","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","202,444","1,609,347","1,351,065","585,773","427,064","-143,429","-953,302","547,765","718,457","42,623","24,272","1,413,318"
