"ｺｰﾄﾞ","勘定科目名"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"
"4111","授業料等収入","0","0","0","0","33,000","429,000","33,000","33,000","33,000","33,000","33,000","33,000"
"4112","寮費等収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","職業紹介売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","特定技能売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4116","児発放デイ売上高","207,557","283,041","545,569","698,741","2,706,944","3,190,838","3,256,545","2,968,926","3,336,294","3,888,991","4,160,574","4,051,336"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","207,557","283,041","545,569","698,741","2,739,944","3,619,838","3,289,545","3,001,926","3,369,294","3,921,991","4,193,574","4,084,336"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","14,157","2,225","3,527","1,060","21,176","8,568","14,384","21,113","14,886","14,524","16,297","9,535"
"5212","教材費等","0","0","0","0","0","1,663","0","0","0","0","0","0"
"5215","書類作成手数料","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","他売上原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","14,157","2,225","3,527","1,060","21,176","10,231","14,384","21,113","14,886","14,524","16,297","9,535"
,"売上総利益","193,400","280,816","542,042","697,681","2,718,768","3,609,607","3,275,161","2,980,813","3,354,408","3,907,467","4,177,277","4,074,801"
"6111","給与手当","759,400","1,111,400","1,128,450","1,331,758","1,638,549","1,665,280","1,691,074","1,650,956","1,724,660","1,724,660","1,979,820","1,907,302"
"6311","雑給","0","0","0","0","0","0","0","0","0","0","0","0"
"6112","旅費交通費","7,066","14,227","13,453","44,776","107,036","123,399","108,072","197,851","66,991","130,382","145,675","116,225"
"6113","広告宣伝費","0","0","0","3,500","0","0","0","0","0","0","0","0"
"6114","販売促進費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","発送配達費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","1,321,177","44,336","106,804","627,264","287,869","89,143","94,796","84,952","49,991","53,228","51,180","40,220"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6210","処遇改善手当","0","18,211","21,294","39,699","54,551","189,673","233,587","248,568","255,888","258,410","292,788","323,681"
"6213","従業員賞与","0","0","0","0","0","135,000","0","421,579","277,667","277,667","277,667","277,667"
"6209",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6312","法定福利費","0","165,474","0","0","0","0","0","0","521,478","157,825","249,427","289,840"
"6226","厚生費","10,987","0","0","10,800","0","0","0","60,000","0","0","0","0"
"6119",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","0","0","1,528,761","277,000","277,000","277,000","277,000","277,000","277,000"
"6234","リース料","0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","3,636","21,818","0","0","0","0","32,728","16,364","16,364","16,364","16,364"
