"ｺｰﾄﾞ","勘定科目名"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"
"4111","売上高","204,355,427","120,296,994","87,652,799","213,570,292","224,208,044","300,385,993","215,691,603","128,281,031","210,428,206","210,426,478","231,389,879","202,779,910"
"4112","賃貸料収入","0","0","1,600,000","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","825,511","121,687","0","795,262","704,114","1,039,590","730,800","274,030","88,824","137,528","147,811","126,433"
,"純売上高","203,529,916","120,175,307","89,252,799","212,775,030","223,503,930","299,346,403","214,960,803","128,007,001","210,339,382","210,288,950","231,242,068","202,653,477"
"5111","期首棚卸高","42,578,610","44,923,686","50,063,762","53,963,946","55,755,402","56,055,853","77,980,719","62,690,728","58,202,905","57,611,345","59,315,983","51,591,689"
"5211","商品仕入高","80,721,571","54,358,944","39,617,619","82,220,659","82,693,079","133,418,337","61,844,418","47,103,015","78,736,684","81,005,645","76,191,470","70,710,034"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","44,923,686","50,063,762","53,963,946","55,755,402","56,055,853","77,980,719","62,690,728","58,202,905","57,611,345","59,315,983","51,591,689","46,428,664"
,"当期売上原価","78,376,495","49,218,868","35,717,435","80,429,203","82,392,628","111,493,471","77,134,409","51,590,838","79,328,244","79,301,007","83,915,764","75,873,059"
,"売上総利益","125,153,421","70,956,439","53,535,364","132,345,827","141,111,302","187,852,932","137,826,394","76,416,163","131,011,138","130,987,943","147,326,304","126,780,418"
"6111","給与手当","24,918,366","23,316,900","23,621,094","25,384,186","25,237,453","26,808,691","24,924,003","24,213,828","24,104,714","23,938,905","24,112,627","25,077,747"
"6311","雑給","30,070,970","27,343,845","26,042,613","31,112,626","31,911,350","38,254,460","34,326,382","29,413,063","34,772,924","33,806,652","37,115,857","33,992,717"
"6112","旅費交通費","1,657,836","1,331,864","1,308,829","1,848,817","1,683,317","1,922,177","2,135,373","1,532,634","1,902,971","1,719,198","1,958,884","1,782,702"
"6113","広告宣伝費","9,765,714","5,322,084","7,752,887","9,537,387","8,241,316","11,170,189","10,226,824","6,729,567","9,653,048","10,087,665","10,056,094","9,747,905"
"6114","販売促進費","802,832","1,747,955","1,334,449","1,956,401","2,319,096","2,365,097","1,429,204","1,174,117","1,388,102","1,826,405","1,569,797","1,286,938"
"6115","荷造発送費","378,548","258,682","230,990","362,275","317,109","379,661","301,250","263,244","316,061","324,098","332,056","330,394"
