"ｺｰﾄﾞ","勘定科目名"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"
"4111","売上高","6,242,812","9,875,536","7,037,552","7,179,633","6,379,315","7,631,764","7,491,966","8,799,282","9,787,282","5,889,348","7,554,317","7,687,374"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","6,242,812","9,875,536","7,037,552","7,179,633","6,379,315","7,631,764","7,491,966","8,799,282","9,787,282","5,889,348","7,554,317","7,687,374"
"5111","期首棚卸高","8,165,995","8,545,106","7,225,279","9,286,078","6,947,448","6,827,328","6,667,433","6,717,764","7,034,469","8,222,148","8,826,100","10,493,947"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5212","通信商品仕入高","6,048,984","7,021,970","7,362,662","2,979,975","4,201,844","5,471,874","5,197,612","6,312,467","8,897,224","4,538,036","7,134,205","3,731,348"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","8,545,106","7,225,279","9,286,078","6,947,448","6,827,328","6,667,433","6,717,764","7,034,469","8,222,148","8,826,100","10,493,947","8,543,055"
,"当期売上原価","5,669,873","8,341,797","5,301,863","5,318,605","4,321,964","5,631,769","5,147,281","5,995,762","7,709,545","3,934,084","5,466,358","5,682,240"
,"売上総利益","572,939","1,533,739","1,735,689","1,861,028","2,057,351","1,999,995","2,344,685","2,803,520","2,077,737","1,955,264","2,087,959","2,005,134"
"6111","給与手当","503,932","528,790","579,044","548,994","549,278","1,229,525","1,163,566","1,162,104","1,196,715","1,241,837","1,153,294","832,922"
"6311","雑給","0","0","0","0","0","0","0","0","0","0","0","85,500"
"6112","旅費交通費","32,594","29,410","35,630","27,983","42,318","34,847","51,747","31,574","94,890","77,788","75,455","64,900"
"6113","広告宣伝費","26,500","0","0","909","0","909","21,818","0","0","43,400","50,454","15,000"
"6114","販売促進費","26,509","0","0","0","0","90,909","0","0","94,247","45,455","0","90,909"
"6115","荷造発送費","1,830","540","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","400,000","80,000","0","0"
"6117","支払手数料","188,237","192,584","16,400","222,489","305,251","224,389","319,533","224,245","588,917","149,433","344,426","601,576"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","162,500","285,792","0","0","0","0","120,833","0","-13,922","120,833"
"6312","法定福利費","78,354","76,651","76,574","91,700","93,470","78,195","78,195","81,164","119,761","119,761","136,709","145,006"
"6226","厚生費","0","0","0","0","24,135","0","0","0","0","0","0","0"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","22,855","22,855","22,855","22,855","22,855","22,855","22,855","22,875","22,855","22,855","22,855","22,855"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","205,455","205,455","205,455","205,455","205,455","205,455","205,455","205,455","205,455","205,455","205,455","205,455"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","35,400","0","0","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","19,914","15,422","5,249","36,277","20,142","5,750","26,138","12,527","18,596","13,556","2,947","29,162"
"6219","水道光熱費","33,261","33,790","28,656","24,660","16,032","20,348","26,675","31,935","24,455","20,140","15,877","25,443"
"6221","租税公課","0","2,000","2,000","0","0","0","0","2,000","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000"
"6225","備品消耗品費","15,280","56,341","8,098","20,732","33,915","7,914","21,296","20,404","51,511","22,638","21,224","10,663"
"6227","管理諸費","8,000","8,073","8,000","8,000","8,000","9,364","8,000","8,000","8,964","9,818","8,000","31,000"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","10,000","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","1,167,721","1,176,911","1,165,461","1,500,846","1,325,851","1,935,460","1,950,278","1,807,283","2,987,599","2,057,136","2,027,774","2,286,224"
,"営業利益（損失）","-594,782","356,828","570,228","360,182","731,500","64,535","394,407","996,237","-909,862","-101,872","60,185","-281,090"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","-20","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","-20","0","0","0","0"
,"経常利益（損失）","-594,782","356,828","570,228","360,182","731,500","64,535","394,407","996,257","-909,862","-101,872","60,185","-281,090"
