"ｺｰﾄﾞ","勘定科目名"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年  9月"
"4111","売上高","0","0","0","0","0","0","0","7,936,987","7,908,669","8,479,446","8,096,773","12,978,911"
"4112","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","0","0","0","0","7,936,987","7,908,669","8,479,446","8,096,773","12,978,911"
"5111","期首棚卸高","0","0","0","0","0","0","0","10,063,366","11,959,189","10,669,385","10,143,206","9,443,187"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5212","通信商品仕入高","0","0","0","0","0","0","0","8,474,828","4,725,337","5,501,535","4,761,369","8,878,421"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","11,959,189","10,669,385","10,143,206","9,443,187","9,693,346"
,"当期売上原価","0","0","0","0","0","0","0","6,579,005","6,015,141","6,027,714","5,461,388","8,628,262"
,"売上総利益","0","0","0","0","0","0","0","1,357,982","1,893,528","2,451,732","2,635,385","4,350,649"
"6111","給与手当","0","0","0","0","0","0","0","930,156","895,519","1,089,611","939,469","946,855"
"6311","雑給","0","0","0","0","0","0","0","213,375","217,500","218,625","221,250","221,625"
"6112","旅費交通費","0","0","0","0","0","0","0","48,296","37,139","74,673","50,804","42,271"
"6113","広告宣伝費","0","0","0","0","0","0","0","0","0","31,000","0","97,400"
"6114","販売促進費","0","0","0","0","0","0","0","136,364","0","45,455","90,909","0"
"6115","荷造発送費","0","0","0","0","0","0","0","1,620","764","0","840","840"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","514,000"
"6117","支払手数料","0","0","0","0","0","0","0","263,892","33,935","222,502","209,364","49,480"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","120,833","120,833","120,833","120,833","120,833"
"6312","法定福利費","0","0","0","0","0","0","0","151,138","151,138","141,935","168,514","176,637"
"6226","厚生費","0","0","0","0","0","0","0","0","0","0","-5,456","0"
"6119",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","0","0","0","0","22,855","22,855","22,855","22,855","22,855"
"6234","リース料","0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","0","0","0","0","205,455","220,000","212,728","212,728","212,728"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","0","0","0","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","0","0","0","0","0","0","0","36,035","21,484","20,155","24,733","6,313"
"6219","水道光熱費","0","0","0","0","0","0","0","20,591","14,517","20,284","24,741","29,361"
"6221","租税公課","0","0","0","0","0","0","0","0","0","2,000","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","0","0","0","0","0","0","0","0","0","0","0","0"
"6225","備品消耗品費","0","0","0","0","0","0","0","15,914","29,597","5,416","7,478","1,630"
"6227","管理諸費","0","0","0","0","0","0","0","8,000","8,000","9,630","8,000","10,640"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","0","0","0","0","0","0","0","2,174,524","1,773,281","2,237,702","2,097,062","2,453,468"
,"営業利益（損失）","0","0","0","0","0","0","0","-816,542","120,247","214,030","538,323","1,897,181"
