"ｺｰﾄﾞ","勘定科目名"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年  9月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"
"4111","売上高","0","7,936,987","7,908,669","8,479,446","8,096,773","12,978,911","10,608,956","10,171,674","9,965,691","11,119,619","11,433,710","14,651,026"
"4112","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","7,936,987","7,908,669","8,479,446","8,096,773","12,978,911","10,608,956","10,171,674","9,965,691","11,119,619","11,433,710","14,651,026"
"5111","期首棚卸高","0","10,063,366","11,959,189","10,669,385","10,143,206","-620,179","9,693,346","11,163,921","11,666,623","15,022,603","13,790,043","14,412,264"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5212","通信商品仕入高","0","8,474,828","4,725,337","5,501,535","4,761,369","20,333,012","9,740,470","7,839,725","10,852,423","7,036,399","9,100,395","10,441,640"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","11,959,189","10,669,385","10,143,206","9,443,187","9,693,346","11,163,921","11,666,623","15,022,603","13,790,043","14,412,264","13,119,174"
,"当期売上原価","0","6,579,005","6,015,141","6,027,714","5,461,388","10,019,487","8,269,895","7,337,023","7,496,443","8,268,959","8,478,174","11,734,730"
,"売上総利益","0","1,357,982","1,893,528","2,451,732","2,635,385","2,959,424","2,339,061","2,834,651","2,469,248","2,850,660","2,955,536","2,916,296"
"6111","給与手当","0","930,156","895,519","1,089,611","939,469","946,855","1,067,498","954,002","954,157","924,678","1,243,099","1,126,341"
"6311","雑給","0","213,375","217,500","218,625","221,250","221,625","233,625","195,000","353,650","238,400","246,800","249,200"
"6112","旅費交通費","0","48,296","37,139","74,673","50,804","42,271","42,962","50,274","66,066","54,742","39,263","58,467"
"6113","広告宣伝費","0","0","0","31,000","0","97,400","0","15,000","32,400","100,099","54,582","83,137"
"6114","販売促進費","0","136,364","0","45,455","90,909","0","136,364","181,818","185,318","454,545","0","545,454"
"6115","荷造発送費","0","1,620","764","0","840","840","0","0","640","0","0","0"
"6116","外注費","0","0","0","0","0","514,000","0","226,000","200,200","595,000","358,000","250,000"
"6117","支払手数料","0","263,892","33,935","222,502","209,364","323,757","129,219","431,223","363,138","519,033","435,319","348,896"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","120,833","120,833","120,833","120,833","120,833","30,833","120,833","120,833","120,833","70,834","70,834"
"6312","法定福利費","0","151,138","151,138","141,935","168,514","181,637","180,883","174,231","170,589","227,051","257,802","98,578"
"6226","厚生費","0","0","0","0","-5,456","0","-1,818","12,695","2,727","7,561","0","0"
"6119",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","22,855","22,855","22,855","22,855","24,157","22,856","22,856","22,856","22,856","22,856","22,856"
"6234","リース料","0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","205,455","220,000","212,728","212,728","212,728","213,455","212,001","203,637","210,637","203,637","203,637"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","0","0","0","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","0","36,035","21,484","20,155","24,733","15,988","37,363","21,631","-975","45,950","17,780","8,700"
"6219","水道光熱費","0","20,591","14,517","20,284","24,741","53,944","24,583","21,209","14,925","22,615","29,004","33,852"
"6221","租税公課","0","0","0","2,000","0","0","0","0","0","0","800","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","0","0","0","0","0","0","0","0","0","0","0","0"
"6225","備品消耗品費","0","15,914","29,597","5,416","7,478","1,630","1,800","27,112","3,092","16,742","14,061","12,293"
"6227","管理諸費","0","8,000","8,000","9,630","8,000","10,640","13,900","12,270","12,270","12,270","62,270","74,074"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","0","2,174,524","1,773,281","2,237,702","2,097,062","2,768,305","2,133,523","2,678,155","2,705,523","3,573,012","3,056,107","3,186,319"
,"営業利益（損失）","0","-816,542","120,247","214,030","538,323","191,119","205,538","156,496","-236,275","-722,352","-100,571","-270,023"
"7111","受取利息","0","0","0","0","0","46","0","0","0","0","0","50"
"7112",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","46","0","0","0","0","0","50"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
