"ｺｰﾄﾞ","勘定科目名"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"
"4111","売上高","25,698,563","25,454,552","24,678,348","26,583,618","28,855,721","23,046,914","26,957,755","24,855,514","25,095,654","34,473,069","26,388,541","20,108,845"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","25,698,563","25,454,552","24,678,348","26,583,618","28,855,721","23,046,914","26,957,755","24,855,514","25,095,654","34,473,069","26,388,541","20,108,845"
"5111","期首棚卸高","3,622,027","4,053,205","4,077,043","3,735,672","11,815,402","20,164,737","16,494,579","21,420,952","25,695,988","24,664,289","17,270,019","25,018,049"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5212","通信商品仕入高","20,436,257","19,962,188","19,306,999","31,615,428","31,256,640","15,448,839","27,661,732","23,682,668","18,360,090","22,651,291","27,748,282","10,126,876"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","4,053,205","4,077,043","3,735,672","11,815,402","20,164,737","16,494,579","21,420,952","25,695,988","24,664,289","17,270,019","25,018,049","17,089,486"
,"当期売上原価","20,005,079","19,938,350","19,648,370","23,535,698","22,907,305","19,118,997","22,735,359","19,407,632","19,391,789","30,045,561","20,000,252","18,055,439"
,"売上総利益","5,693,484","5,516,202","5,029,978","3,047,920","5,948,416","3,927,917","4,222,396","5,447,882","5,703,865","4,427,508","6,388,289","2,053,406"
"6111","給与手当","2,989,854","2,806,642","2,844,586","2,721,652","2,713,679","3,036,499","2,490,583","2,361,336","2,417,687","2,581,748","2,567,795","2,445,256"
"6311","雑給","0","0","0","0","0","0","0","0","0","0","0","0"
"6112","旅費交通費","109,446","104,453","78,208","79,752","82,759","82,192","64,139","82,257","55,508","66,924","49,468","52,150"
"6113","広告宣伝費","52,545","24,818","13,909","80,000","96,524","55,600","36,636","13,000","80,159","40,727","22,091","15,727"
"6114","販売促進費","5,000","5,000","5,000","9,545","45,000","271,545","311,050","51,364","69,327","280,479","227,303","60,093"
"6115","荷造発送費","0","840","0","0","0","0","7,280","840","3,760","1,040","840","3,360"
"6116","外注費","0","0","0","400,000","0","500,000","553,273","760,000","914,364","888,364","996,364","1,061,364"
"6117","支払手数料","675,839","1,141,492","543,874","717,697","569,107","543,229","597,212","738,677","731,964","645,476","42,387","790,636"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","437,500","437,500","0","-1,350,000","0","-400,000","0","0","0","0","283,333","609,750"
"6312","法定福利費","408,066","408,066","408,066","390,478","399,261","399,261","399,261","399,261","417,552","409,830","409,299","495,529"
"6226","厚生費","0","6,800","0","13,600","0","6,000","5,000","5,000","5,000","0","0","0"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","64,404","64,404","64,404","64,457","61,185","61,185","61,185","61,185","61,185","61,185","61,185","61,185"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","404,545","404,545","404,545","404,545","404,545","404,545","404,545","404,545","404,545","404,545","404,545","404,545"
"6216","修繕／車両関係費","0","0","0","0","20,000","0","0","0","0","0","0","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","16,736","5,331","27,047","16,411","5,331","27,098","5,331","27,266","16,382","16,122","5,331","27,913"
"6219","水道光熱費","43,900","51,384","58,025","89,045","74,501","66,197","54,670","59,419","74,586","98,882","95,546","69,659"
"6221","租税公課","4,000","0","0","4,000","0","0","0","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","5,000","5,000","5,000","10,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000"
"6225","備品消耗品費","42,567","37,267","78,214","37,248","73,703","51,440","30,670","15,702","21,276","9,475","66,655","62,280"
"6227","管理諸費","10,220","10,220","10,220","11,830","10,220","10,220","10,220","10,220","10,220","11,830","10,220","10,220"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","40,000","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","5,269,622","5,513,762","4,541,098","3,700,260","4,560,815","5,160,011","5,036,055","4,995,072","5,288,515","5,521,627","5,247,362","6,174,667"
,"営業利益（損失）","423,862","2,440","488,880","-652,340","1,387,601","-1,232,094","-813,659","452,810","415,350","-1,094,119","1,140,927","-4,121,261"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","20","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","20","0","0","0","0","0","0","0","0"
,"経常利益（損失）","423,862","2,440","488,880","-652,360","1,387,601","-1,232,094","-813,659","452,810","415,350","-1,094,119","1,140,927","-4,121,261"
