"ｺｰﾄﾞ","勘定科目名"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"
"4111","売上高","25,974,591","36,850,119","35,892,803","29,255,161","25,698,563","25,454,552","24,678,348","26,583,618","28,855,721","23,046,914","26,957,755","24,763,875"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","25,974,591","36,850,119","35,892,803","29,255,161","25,698,563","25,454,552","24,678,348","26,583,618","28,855,721","23,046,914","26,957,755","24,763,875"
"5111","期首棚卸高","3,112,800","3,352,767","4,348,370","4,659,621","3,622,027","4,053,205","4,077,043","3,735,672","11,815,402","20,164,737","16,494,579","21,420,952"
"5211","商品仕入高","31,400","332,000","0","0","0","0","0","0","0","0","0","0"
"5212","通信商品仕入高","19,720,270","30,946,955","27,212,037","22,035,691","20,436,257","19,962,188","19,306,999","31,615,428","31,256,640","15,448,839","27,661,732","23,682,668"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","3,352,767","4,348,370","4,659,621","3,622,027","4,053,205","4,077,043","3,735,672","11,815,402","20,164,737","16,494,579","21,420,952","25,695,988"
,"当期売上原価","19,511,703","30,283,352","26,900,786","23,073,285","20,005,079","19,938,350","19,648,370","23,535,698","22,907,305","19,118,997","22,735,359","19,407,632"
,"売上総利益","6,462,888","6,566,767","8,992,017","6,181,876","5,693,484","5,516,202","5,029,978","3,047,920","5,948,416","3,927,917","4,222,396","5,356,243"
"6111","給与手当","2,621,422","2,839,365","2,840,021","3,009,033","2,989,854","2,806,642","2,844,586","2,721,652","2,713,679","3,036,499","2,490,583","2,361,336"
"6311","雑給","0","0","0","0","0","0","0","0","0","0","0","0"
"6112","旅費交通費","69,696","83,863","85,203","103,490","109,446","104,453","78,208","79,752","82,759","82,192","64,139","82,257"
"6113","広告宣伝費","19,364","17,545","16,636","14,818","52,545","24,818","13,909","80,000","96,524","55,600","36,636","13,000"
"6114","販売促進費","23,247","5,000","5,000","5,000","5,000","5,000","5,000","9,545","45,000","271,545","311,050","51,364"
"6115","荷造発送費","840","1,040","1,045","1,680","0","840","0","0","0","0","7,280","840"
"6116","外注費","347,273","258,182","0","0","0","0","0","400,000","0","500,000","553,273","760,000"
