"ｺｰﾄﾞ","勘定科目名"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"
"4111","売上高","20,108,845","18,482,576","24,148,105","24,400,060","27,058,153","28,207,499","24,446,752","25,145,788","27,602,208","22,939,611","36,432,599","0"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","20,108,845","18,482,576","24,148,105","24,400,060","27,058,153","28,207,499","24,446,752","25,145,788","27,602,208","22,939,611","36,432,599","0"
"5111","期首棚卸高","25,018,049","17,089,486","18,033,049","22,045,804","18,013,939","16,301,066","18,453,338","19,081,499","18,957,855","17,545,336","19,160,626","20,884,555"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5212","通信商品仕入高","10,126,876","16,870,623","20,859,926","14,290,601","19,317,870","22,256,720","19,159,458","19,514,399","19,049,947","19,629,415","28,664,333","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","17,089,486","18,033,049","22,045,804","18,013,939","16,301,066","18,453,338","19,081,499","18,957,855","17,545,336","19,160,626","20,884,555","20,884,555"
,"当期売上原価","18,055,439","15,927,060","16,847,171","18,322,466","21,030,743","20,104,448","18,531,297","19,638,043","20,462,466","18,014,125","26,940,404","0"
,"売上総利益","2,053,406","2,555,516","7,300,934","6,077,594","6,027,410","8,103,051","5,915,455","5,507,745","7,139,742","4,925,486","9,492,195","0"
"6111","給与手当","2,445,256","2,677,775","2,123,733","1,993,060","2,057,520","2,819,471","2,276,225","2,033,752","2,645,958","2,278,288","2,886,710","0"
"6311","雑給","0","0","0","0","0","0","0","147,500","274,450","245,250","320,350","0"
"6112","旅費交通費","52,150","53,676","54,238","51,161","67,579","69,424","78,398","103,637","78,252","106,866","130,355","0"
"6113","広告宣伝費","15,727","13,909","13,000","33,455","81,545","39,818","36,183","77,546","66,546","43,432","30,636","0"
"6114","販売促進費","60,093","352,209","496,033","348,025","455,379","845,187","451,682","910,715","5,000","555,622","744,875","596,674"
"6115","荷造発送費","3,360","1,040","1,040","1,900","0","0","3,020","1,040","1,680","1,040","840","0"
"6116","外注費","1,061,364","0","1,161,364","1,833,364","1,302,727","1,426,364","976,364","1,250,000","726,035","360,000","415,091","0"
"6117","支払手数料","790,636","1,405,427","906,715","987,336","874,445","719,160","699,819","880,696","711,894","846,861","852,582","29,088"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
