ｺｰﾄﾞ,勘定科目名, 4年  6月, 4年  7月, 4年  8月, 4年  9月, 4年 10月, 4年 11月, 4年 12月, 5年  1月, 5年  2月, 5年  3月, 5年  4月, 5年  5月
4111,売上高,"18,482,576","24,148,105","24,400,060","27,058,153","28,207,499","24,446,752","25,145,788","27,602,208","22,939,611","36,432,599","28,208,000","24,947,201"
4112,売上高,0,0,0,0,0,0,0,0,0,0,0,0
4113,売上高,0,0,0,0,0,0,0,0,0,0,0,0
4114,売上高,0,0,0,0,0,0,0,0,0,0,0,0
4115,売上値引戻り高    (△),0,0,0,0,0,0,0,0,0,0,0,0
,純売上高,"18,482,576","24,148,105","24,400,060","27,058,153","28,207,499","24,446,752","25,145,788","27,602,208","22,939,611","36,432,599","28,208,000","24,947,201"
5111,期首棚卸高,"17,089,486","18,033,049","22,045,804","18,013,939","16,301,066","18,453,338","19,081,499","18,957,855","17,545,336","19,160,626","20,884,555","21,369,494"
5211,商品仕入高,0,0,0,0,0,0,0,0,0,0,0,0
5212,通信商品仕入高,"16,870,623","20,859,926","14,290,601","19,317,870","22,256,720","19,159,458","19,514,399","19,049,947","19,629,415","28,664,333","22,101,078","16,682,629"
5215,,0,0,0,0,0,0,0,0,0,0,0,0
5216,,0,0,0,0,0,0,0,0,0,0,0,0
5213,仕入値引戻し高    (△),0,0,0,0,0,0,0,0,0,0,0,0
5273,他勘定振替高      (△),0,0,0,0,0,0,0,0,0,0,0,0
5311,期末棚卸高        (△),"18,033,049","22,045,804","18,013,939","16,301,066","18,453,338","19,081,499","18,957,855","17,545,336","19,160,626","20,884,555","21,369,494","24,609,994"
,当期売上原価,"15,927,060","16,847,171","18,322,466","21,030,743","20,104,448","18,531,297","19,638,043","20,462,466","18,014,125","26,940,404","21,616,139","13,442,129"
,売上総利益,"2,555,516","7,300,934","6,077,594","6,027,410","8,103,051","5,915,455","5,507,745","7,139,742","4,925,486","9,492,195","6,591,861","11,505,072"
6111,給与手当,"2,677,775","2,123,733","1,993,060","2,057,520","2,819,471","2,276,225","2,033,752","2,645,958","2,278,288","2,886,710","2,609,626","2,346,570"
6311,雑給,0,0,0,0,0,0,"147,500","274,450","245,250","320,350","337,550","262,707"
6112,旅費交通費,"53,676","54,238","51,161","67,579","69,424","78,398","103,637","78,252","106,866","130,355","93,386","99,437"
6113,広告宣伝費,"13,909","13,000","33,455","81,545","39,818","36,183","77,546","66,546","43,432","30,636","34,727","60,418"
6114,販売促進費,"352,209","496,033","348,025","455,379","845,187","451,682","910,715","5,000","555,622","744,875","638,291","974,263"
6115,荷造発送費,"1,040","1,040","1,900",0,0,"3,020","1,040","1,680","1,040",840,"1,118",367
6116,外注費,0,"1,161,364","1,833,364","1,302,727","1,426,364","976,364","1,250,000","726,035","360,000","415,091","437,091","2,079,091"
6117,支払手数料,"1,405,427","906,715","987,336","874,445","719,160","699,819","880,696","711,894","846,861","852,582","1,775,471","718,613"
6118,,0,0,0,0,0,0,0,0,0,0,0,0
6211,役員報酬,0,0,0,0,0,0,0,0,0,0,0,0
6232,,0,0,0,0,0,0,0,0,0,0,0,0
6212,事務員給与,0,0,0,0,"245,833","366,666","-47,953","245,833",0,0,"216,667",0
6213,従業員賞与,"503,365","461,773","425,653","414,433","442,483","406,018","420,516","422,822","422,822","422,822","424,127","216,667"
6312,法定福利費,0,0,0,0,0,0,"8,182",0,0,"28,924",0,"351,197"
6226,厚生費,0,0,0,0,0,0,0,0,0,0,0,0
6119,,"61,185","61,185","61,185","61,233","61,058","61,058","61,058","61,058","61,058","61,058","-135,075",0
6214,減価償却費,0,0,0,0,0,0,0,0,0,0,0,0
6234,リース料,"404,545","404,545","404,545","404,545","404,545","404,545","404,545","404,545","404,545","404,545","404,545",0
6215,地代家賃,0,0,0,0,"20,000",0,0,0,0,0,0,"404,545"
6216,修繕／車両関係費,0,0,0,0,0,0,0,0,0,0,0,0
6217,事務用消耗品費,"16,756","5,255","26,900","16,113","16,871","15,867","5,331","41,910","107,356","107,571","238,478","13,000"
6218,通信交通費,"55,961","62,550","77,755","102,204","101,822","87,488","63,796","76,307","102,746","178,700","48,525","33,919"
6219,水道光熱費,0,"2,000",0,"2,000",0,"2,600","4,000",0,0,0,"4,000","4,196"
6221,租税公課,0,0,0,0,0,0,0,0,0,0,0,0
6222,寄付金,0,0,0,0,0,"1,600",0,0,0,0,0,0
6223,接待交際費,"5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000",0
6224,保険料,"39,133","35,555","25,128","24,318","24,933","40,331","44,000","44,440","39,016","55,175","53,662",0
6225,備品消耗品費,"11,620","10,460","12,190","10,460","10,460","10,460","10,460","10,460","10,460","12,190","10,460","13,137"
6227,管理諸費,0,0,0,0,0,0,0,0,0,0,0,"7,000"
6228,リース／レンタル料,0,0,0,0,0,0,"40,000",0,0,0,0,0
6229,,0,0,0,0,0,0,0,0,0,0,0,0
6313,,0,0,0,0,0,0,0,0,0,0,0,0
6233,,0,0,0,0,0,0,0,0,0,0,0,0
6314,貸倒償却,0,0,0,0,0,0,0,0,0,0,0,0
6231,雑費,0,0,0,0,0,0,0,0,0,0,0,0
,販売費及び一般管理費計,"5,601,601","5,804,446","6,286,657","5,879,501","7,252,429","5,923,324","6,423,821","5,822,190","5,590,362","6,657,424","7,197,649","7,585,127"
,営業利益（損失）,"-3,046,085","1,496,488","-209,063","147,909","850,622","-7,869","-916,076","1,317,552","-664,876","2,834,771","-605,788","3,919,945"
7111,受取利息,0,0,0,0,0,0,0,0,0,0,0,0
7112,,0,0,0,0,0,0,0,0,0,0,0,0
7113,,0,0,0,0,0,0,0,0,0,0,0,0
7114,受取配当金,0,0,0,0,0,0,0,0,0,0,0,0
7118,雑収入,0,0,0,0,0,0,0,"2,423",0,0,"2,998",0
,営業外収益計,0,0,0,0,0,0,0,"2,423",0,0,"2,998",0
7511,支払利息,0,0,0,0,0,0,0,0,0,0,0,0
7518,手形売却損,0,0,0,0,0,0,0,0,0,0,0,0
7512,,0,0,0,0,0,0,0,0,0,0,0,0
7513,現金過不足,0,0,0,0,0,0,0,0,0,0,0,0
7514,貸倒償却,0,0,0,0,0,0,0,0,0,0,0,0
7515,繰延資産償却,0,0,0,0,0,0,0,0,0,0,0,0
7519,雑損失,0,0,0,0,0,0,0,0,0,0,0,0
,営業外費用計,0,0,0,0,0,0,0,0,0,0,0,0
,経常利益（損失）,"-3,046,085","1,496,488","-209,063","147,909","850,622","-7,869","-916,076","1,319,975","-664,876","2,834,771","-602,790","3,919,945"
