"ｺｰﾄﾞ","勘定科目名"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年  9月"," 5年 10月"," 5年 11月"," 5年 12月"
"4111","売上高","0","0","0","0","24,947,192","23,801,532","27,421,131","24,817,454","29,981,631","27,393,553","27,613,140","29,808,569"
"4112","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","0","24,947,192","23,801,532","27,421,131","24,817,454","29,981,631","27,393,553","27,613,140","29,808,569"
"5111","期首棚卸高","0","0","0","0","21,369,494","24,609,994","18,595,721","17,254,910","-7,556,329","20,493,048","17,497,912","19,052,486"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5212","通信商品仕入高","0","0","0","0","16,682,629","14,483,455","18,319,480","13,615,680","50,016,374","18,027,912","21,809,284","25,119,407"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","24,609,994","18,595,721","17,254,910","13,813,165","20,493,048","17,497,912","19,052,486","22,953,855"
,"当期売上原価","0","0","0","0","13,442,129","20,497,728","19,660,291","17,057,425","21,966,997","21,023,048","20,254,710","21,218,038"
,"売上総利益","0","0","0","0","11,505,063","3,303,804","7,760,840","7,760,029","8,014,634","6,370,505","7,358,430","8,590,531"
"6111","給与手当","0","0","0","0","2,346,570","2,232,624","2,778,854","2,338,947","2,490,785","2,540,915","2,400,478","2,344,127"
"6311","雑給","0","0","0","0","262,707","273,550","169,550","142,400","251,132","138,295","174,573","170,520"
"6112","旅費交通費","0","0","0","0","99,437","75,143","108,047","87,873","101,265","102,153","81,827","74,587"
