"ｺｰﾄﾞ","勘定科目名"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"
"4111","売上高","0","0","0","0","0","0","0","0","0","14,860,388","13,038,540","11,847,013"
"4112","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","0","0","0","0","0","0","14,860,388","13,038,540","11,847,013"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","4,348,933","4,413,716","3,896,973"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","10,034,265","8,045,254","7,858,701"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","4,413,716","3,896,973","3,606,737"
,"当期売上原価","0","0","0","0","0","0","0","0","0","9,969,482","8,561,997","8,148,937"
,"売上総利益","0","0","0","0","0","0","0","0","0","4,890,906","4,476,543","3,698,076"
"6111","給与手当","0","0","0","0","0","0","0","0","0","2,232,675","2,219,168","2,069,555"
"6311","雑給","0","0","0","0","0","0","0","0","0","436,595","442,180","433,632"
"6112","旅費交通費","0","0","0","0","0","0","0","0","0","51,967","46,733","60,135"
"6113","広告宣伝費","0","0","0","0","0","0","0","0","0","27,273","27,273","27,273"
"6114","販売促進費","0","0","0","0","0","0","0","0","0","183,745","110,265","94,263"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","1,260","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","114,000","84,000"
"6117","支払手数料","0","0","0","0","0","0","0","0","0","540,187","69,710","340,431"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","0","0","279,167","322,917","322,917"
"6312","法定福利費","0","0","0","0","0","0","0","0","0","405,558","405,558","614,828"
"6226","厚生費","0","0","0","0","0","0","0","0","0","0","2,300","16,908"
"6119",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","0","0","0","0","0","0","51,252","51,252","51,252"
"6234","リース料","0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","0","0","0","0","0","0","600,000","600,000","600,000"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","0","0","0","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","22,990","0"
"6218","通信交通費","0","0","0","0","0","0","0","0","0","0","33,287","32,667"
"6219","水道光熱費","0","0","0","0","0","0","0","0","0","77,555","84,081","0"
"6221","租税公課","0","0","0","0","0","0","0","0","0","2,000","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","0","0","0","0","0","0","0","0","0","0","0","0"
"6225","備品消耗品費","0","0","0","0","0","0","0","0","0","11,439","20,800","21,259"
"6227","管理諸費","0","0","0","0","0","0","0","0","0","11,367","18,727","11,564"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","0","0","0","0","0","0","0","0","0","4,912,040","4,591,241","4,780,684"
,"営業利益（損失）","0","0","0","0","0","0","0","0","0","-21,134","-114,698","-1,082,608"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","0","0","0","0","0","0","0","0","0","-21,134","-114,698","-1,082,608"
