"ｺｰﾄﾞ","勘定科目名"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"
"4111","売上高","19,238,360","14,638,698","14,883,821","15,095,919","18,509,959","21,592,119","18,935,708","16,503,536","18,620,672","18,913,745","23,010,443","17,279,406"
"4112","賃貸料収入","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","19,488,360","14,888,698","15,133,821","15,345,919","18,759,959","21,842,119","19,185,708","16,753,536","18,870,672","19,163,745","23,260,443","17,529,406"
"5111","期首棚卸高","3,627,458","3,368,858","3,416,817","3,372,426","3,158,836","3,615,522","3,844,866","3,832,339","4,448,525","4,011,279","4,034,566","4,106,998"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5212","通信商品仕入高","13,731,839","9,997,917","10,403,560","9,973,138","14,662,463","16,547,020","13,831,303","12,308,106","13,441,887","13,293,037","17,572,337","12,709,886"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","3,368,858","3,416,817","3,372,426","3,158,836","3,615,522","3,844,866","3,832,339","4,448,525","4,011,279","4,034,566","4,106,998","4,348,933"
,"当期売上原価","13,990,439","9,949,958","10,447,951","10,186,728","14,205,777","16,317,676","13,843,830","11,691,920","13,879,133","13,269,750","17,499,905","12,467,951"
,"売上総利益","5,497,921","4,938,740","4,685,870","5,159,191","4,554,182","5,524,443","5,341,878","5,061,616","4,991,539","5,893,995","5,760,538","5,061,455"
"6111","給与手当","2,166,928","2,228,334","2,148,440","2,009,608","1,963,821","2,080,314","1,752,858","2,279,835","1,786,191","2,049,307","2,108,702","2,314,656"
"6311","雑給","387,735","360,763","388,230","690,046","692,355","702,330","701,456","425,048","436,736","430,248","449,123","418,878"
"6112","旅費交通費","44,380","40,320","42,064","53,066","42,608","62,077","57,888","55,397","60,698","48,580","52,271","62,423"
"6113","広告宣伝費","101,500","34,000","34,000","34,000","124,227","100,364","37,636","82,168","83,636","24,545","75,454","42,727"
"6114","販売促進費","96,141","72,561","13,463","125,034","110,984","101,098","152,754","346,091","87,968","228,144","238,900","228,184"
"6115","荷造発送費","1,700","640","0","840","0","0","1,260","0","0","0","840","0"
"6116","外注費","53,491","104,618","0","372,800","0","0","0","153,169","0","0","0","0"
"6117","支払手数料","495,741","504,141","415,226","458,768","543,611","522,376","432,765","481,708","237,785","378,545","438,409","726,005"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","1,204,333","0","-210,000","0","0","279,167","279,167","-39,460","230,612","230,612","395,833","279,167"
"6312","法定福利費","489,951","498,181","369,012","405,477","419,421","413,811","371,736","396,979","385,761","385,761","385,761","405,558"
"6226","厚生費","0","0","0","0","4,982","4,545","27,782","0","0","0","27,887","0"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","211,804","211,804","211,804","211,804","211,896","65,386","65,386","65,386","65,386","65,386","65,386","65,386"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000"
"6216","修繕／車両関係費","0","0","5,000","5,000","5,000","45,000","50,000","5,000","5,000","5,000","50,000","14,450"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","2,212","2,212","2,212","2,212","2,212","2,212","82,087","13,812","92,344","75,174","77,964","13,111"
"6219","水道光熱費","103,307","91,966","92,883","128,635","153,985","153,556","116,091","95,368","125,224","169,963","249,662","87,546"
"6221","租税公課","2,000","0","2,000","0","0","2,000","0","2,000","0","2,000","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000"
"6225","備品消耗品費","26,892","49,408","30,752","27,044","26,303","13,586","29,790","42,100","18,945","13,309","31,045","32,532"
"6227","管理諸費","25,376","18,367","25,221","30,116","18,727","18,727","25,736","11,367","30,780","25,221","18,727","18,727"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","10,000","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","5,500","0","0","0","0","0","0","0","0","0","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","6,023,991","4,822,315","4,175,307","5,159,450","4,935,132","5,171,549","4,789,392","5,020,968","4,252,066","4,736,795","5,270,964","5,314,350"
,"営業利益（損失）","-526,070","116,425","510,563","-259","-380,950","352,894","552,486","40,648","739,473","1,157,200","489,574","-252,895"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","-526,070","116,425","510,563","-259","-380,950","352,894","552,486","40,648","739,473","1,157,200","489,574","-252,895"
