"ｺｰﾄﾞ","勘定科目名","31年  1月","31年  2月","31年  3月","31年  4月"," 1年  5月"," 1年  6月"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"
"4111","売上高","1,820,856","2,089,300","2,223,232","1,642,053","2,576,031","1,509,803","1,521,061","2,351,579","2,050,772","1,741,155","1,997,857","2,341,451"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","250,000"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","25,714,658","19,356,210","19,280,770","18,803,150","15,633,446","18,808,788","21,187,429","16,996,048","17,502,847","22,490,963"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","1,820,856","2,089,300","27,937,890","20,998,263","21,856,801","20,312,953","17,154,507","21,160,367","23,238,201","18,737,203","19,500,704","25,082,414"
"5111","期首たな卸高","0","0","4,469,850","4,501,332","4,619,975","4,973,862","4,188,066","4,049,224","4,022,061","3,784,592","4,134,294","3,897,956"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5212","通信商品仕入高","0","0","23,658,735","16,442,547","17,001,234","15,447,949","12,695,279","16,138,559","18,643,685","14,206,472","14,328,216","18,620,796"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","0","0","4,501,332","4,619,975","4,973,862","4,188,066","4,049,224","4,022,061","3,784,592","4,134,294","3,897,956","6,491,391"
,"当期売上原価","0","0","23,627,253","16,323,904","16,647,347","16,233,745","12,834,121","16,165,722","18,881,154","13,856,770","14,564,554","16,027,361"
,"売上総利益","1,820,856","2,089,300","4,310,637","4,674,359","5,209,454","4,079,208","4,320,386","4,994,645","4,357,047","4,880,433","4,936,150","9,055,053"
"6111","給与手当","2,351,181","2,367,809","1,953,177","2,071,567","2,186,826","2,390,362","2,473,414","2,399,923","2,428,701","2,379,525","2,288,022","2,448,023"
"6311","雑給","0","0","0","0","0","0","0","0","0","0","0","0"
"6112","旅費交通費","63,091","56,847","66,939","43,804","45,189","89,897","52,877","62,222","59,273","77,249","59,147","55,528"
"6113","広告宣伝費","91,129","114,419","118,309","96,078","147,491","88,759","70,500","168,204","90,685","66,000","35,818","715,163"
"6114","販売促進費","31,109","48,010","10,000","14,600","14,600","162,748","23,600","10,000","11,900","23,700","10,000","35,671"
"6115","荷造発送費","0","840","0","457","1,700","0","4,839","2,050","640","1,920","1,700","0"
"6116","外注費","185,333","527,054","1,125,129","507,533","447,333","372,667","392,667","388,972","439,630","280,000","740,600","1,580,000"
"6117","支払手数料","44,131","55,276","70,902","43,157","90,735","74,998","55,218","58,896","108,052","50,566","55,355","298,780"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","162,691","162,691","162,691","-325,382","162,691","162,691","-325,382","162,691","162,691"
"6312","法定福利費","325,611","325,611","325,379","258,059","288,914","288,914","312,756","312,756","298,732","298,732","298,732","270,682"
"6226","厚生費","0","0","171,150","11,150","0","11,647","0","0","120,000","0","19,091","30,000"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","95,938","95,938","95,938","95,938","95,938","95,938","95,938","95,938","95,987","85,503","85,503","85,503"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","348,519","348,519","348,519","348,519","348,519","348,519","348,519","348,519","354,630","348,182","330,000","0"
"6216","修繕／車両関係費","0","50,000","0","0","0","0","0","0","0","0","0","754,600"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","12,842","12,020","14,585","14,828","13,953","11,479","14,383","11,134","11,072","14,314","10,967","16,591"
"6219","水道光熱費","76,841","90,775","90,740","77,844","77,490","59,138","79,832","82,520","101,531","97,416","76,563","75,672"
"6221","租税公課","0","2,000","0","2,000","0","2,000","0","0","2,000","0","1,000","1,000"
"6222","寄付金","0","0","0","0","0","0","0","0","8,000","0","0","30,000"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","4,550","4,550","4,550","4,550","4,550","4,550","4,550","4,550","4,550","5,000","5,000","5,000"
"6225","備品消耗品費","36,096","133,961","48,467","18,748","25,709","69,918","37,703","48,135","47,384","31,456","2,659,539","194,841"
"6227","管理諸費","26,632","29,682","32,589","14,841","7,589","30,626","30,052","7,589","26,135","27,689","27,498","32,797"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","12,000","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","3,693,003","4,263,311","4,476,373","3,798,364","3,959,227","4,264,851","3,671,466","4,164,099","4,371,593","3,461,870","6,867,226","6,792,542"
,"営業利益（損失）","-1,872,147","-2,174,011","-165,736","875,995","1,250,227","-185,643","648,920","830,546","-14,546","1,418,563","-1,931,076","2,262,511"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","-1,872,147","-2,174,011","-165,736","875,995","1,250,227","-185,643","648,920","830,546","-14,546","1,418,563","-1,931,076","2,262,511"
