"ｺｰﾄﾞ","勘定科目名"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"
"4111","売上高","2,485,242","2,065,095","2,598,697","17,797,711","21,627,843","24,035,778","21,417,638","20,785,402","141,981,721","18,403,818","25,270,702","19,443,986"
"4112","賃貸料収入","0","0","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","22,287,170","19,952,618","23,831,819","0","0","0","0","0","-123,061,465","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","24,772,412","22,017,713","26,680,516","18,047,711","21,877,843","24,285,778","21,667,638","21,035,402","19,170,256","18,653,818","25,520,702","19,693,986"
"5111","期首たな卸高","6,491,391","5,724,204","6,218,389","5,174,403","5,259,278","5,043,332","4,800,397","4,827,599","4,283,155","4,228,629","4,856,433","4,261,570"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5212","通信商品仕入高","18,242,360","17,533,955","20,967,579","11,397,457","13,055,953","13,584,746","14,633,748","13,624,470","12,977,598","13,605,422","19,729,798","14,322,401"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","5,724,204","6,218,389","5,174,403","5,259,278","5,043,332","4,800,397","4,827,599","4,283,155","4,228,629","4,856,433","4,261,570","4,349,475"
,"当期売上原価","19,009,547","17,039,770","22,011,565","11,312,582","13,271,899","13,827,681","14,606,546","14,168,914","13,032,124","12,977,618","20,324,661","14,234,496"
,"売上総利益","5,762,865","4,977,943","4,668,951","6,735,129","8,605,944","10,458,097","7,061,092","6,866,488","6,138,132","5,676,200","5,196,041","5,459,490"
"6111","給与手当","2,204,052","2,472,836","2,319,405","2,238,917","2,136,154","2,322,350","2,335,779","2,513,199","2,351,899","2,403,566","2,420,036","2,556,867"
"6311","雑給","308,975","263,169","341,819","341,544","319,637","385,106","466,450","666,415","681,262","678,428","665,610","404,825"
"6112","旅費交通費","124,014","70,176","74,907","62,823","61,691","63,734","66,191","80,193","82,676","82,375","74,029","83,372"
"6113","広告宣伝費","167,818","185,818","94,000","79,000","34,000","67,636","155,500","82,250","79,477","184,500","94,027","109,909"
"6114","販売促進費","26,174","119,815","37,438","19,200","9,600","19,000","110,418","41,484","15,091","19,161","9,900","37,412"
"6115","荷造発送費","0","4,860","0","1,676","1,060","2,540","418","2,120","640","0","1,260","0"
"6116","外注費","487,273","-480,000","940,000","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","75,899","48,652","64,844","63,450","39,036","86,597","446,371","535,364","387,200","322,282","456,477","66,898"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","225,468","225,468","225,468","-1,164,477","0","0","0","0","0","0","0","1,843,828"
"6312","法定福利費","357,637","350,258","0","377,361","377,361","350,175","349,411","399,785","409,381","413,473","413,473","671,627"
"6226","厚生費","0","0","100,000","0","0","0","0","0","0","0","0","547"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","85,503","85,503","85,503","85,503","85,503","85,503","85,503","85,503","1,815,840","214,008","214,008","214,008"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","600,000","600,000","600,000","600,000","600,000","600,000","600,000","0","600,000","600,000","0","1,200,000"
"6216","修繕／車両関係費","0","0","4,706,868","0","0","0","0","0","342,400","0","0","0"
"6217","事務用消耗品費","0","157","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","15,694","2,212","3,602","2,212","2,374","2,212","2,212","2,212","2,212","2,321","2,212","15,537"
"6219","水道光熱費","130,760","143,732","128,947","227,905","0","80,982","119,263","130,964","172,546","159,934","102,684","98,210"
"6221","租税公課","2,000","0","0","2,000","0","0","0","0","0","0","2,000","1,000"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000"
"6225","備品消耗品費","30,242","40,711","56,954","-7,066,802","26,432","25,461","39,234","25,902","502,056","27,541","39,905","57,595"
"6227","管理諸費","24,362","17,589","52,229","39,827","18,367","18,367","188,367","25,376","22,567","24,861","25,376","24,861"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","10,000","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","4,870,871","4,155,956","9,836,984","-4,084,861","3,716,215","4,114,663","4,970,117","4,605,767","7,470,247","5,137,450","4,525,997","7,391,496"
,"営業利益（損失）","891,994","821,987","-5,168,033","10,819,990","4,889,729","6,343,434","2,090,975","2,260,721","-1,332,115","538,750","670,044","-1,932,006"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","1,045,000","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","1,045,000","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","891,994","821,987","-5,168,033","10,819,990","4,889,729","6,343,434","2,090,975","2,260,721","-1,332,115","538,750","1,715,044","-1,932,006"
