"ｺｰﾄﾞ","勘定科目名"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"
"4111","売上高","10,217,627","11,207,331","9,032,946","8,444,142","8,948,274","12,765,828","9,470,164","8,472,693","7,782,012","2,296,404","3,747,368","6,018,925"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","10,217,627","11,207,331","9,032,946","8,444,142","8,948,274","12,765,828","9,470,164","8,472,693","7,782,012","2,296,404","3,747,368","6,018,925"
"5111","期首たな卸高","1,057,003","1,159,032","1,239,793","1,332,444","1,272,662","1,466,889","1,813,576","1,382,200","1,150,714","1,032,572","914,854","853,784"
"5211","商品仕入高","3,515,139","3,644,161","3,106,501","2,760,592","3,139,871","4,541,903","2,708,388","2,682,642","2,423,397","921,915","1,422,096","2,052,764"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","1,159,032","1,239,793","1,332,444","1,272,662","1,466,889","1,813,576","1,382,200","1,150,714","1,032,572","914,854","853,784","946,440"
,"当期売上原価","3,413,110","3,563,400","3,013,850","2,820,374","2,945,644","4,195,216","3,139,764","2,914,128","2,541,539","1,039,633","1,483,166","1,960,108"
,"売上総利益","6,804,517","7,643,931","6,019,096","5,623,768","6,002,630","8,570,612","6,330,400","5,558,565","5,240,473","1,256,771","2,264,202","4,058,817"
"6111","給与手当","826,848","839,848","766,180","816,840","584,000","610,000","641,000","636,000","611,000","611,000","611,000","611,000"
"6311","雑給","1,587,760","1,689,699","1,487,131","1,394,710","1,651,587","2,159,914","1,538,083","1,581,115","1,296,239","920,926","1,125,795","1,018,365"
"6112","旅費交通費","40,582","47,338","46,731","40,438","45,969","41,116","50,544","56,123","41,792","19,386","14,242","20,545"
"6113","広告宣伝費","649,003","753,708","623,519","746,408","603,305","954,386","690,617","715,132","725,114","312,823","242,626","382,109"
"6114","販売促進費","62,154","59,754","81,704","76,924","57,670","99,493","64,007","84,210","71,588","23,687","37,625","39,777"
"6115","荷造発送費","0","0","0","0","0","0","0","388","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","273,304","347,516","289,728","315,188","263,090","403,310","295,539","352,574","289,775","144,998","162,830","224,459"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","54,000","54,000","54,000","54,000","54,000","31,500","54,000","54,000","54,000","0","0","0"
"6312","法定福利費","141,835","141,835","140,432","119,385","88,530","137,033","88,530","86,930","88,478","88,478","88,478","86,546"
"6226","厚生費","78,112","77,863","235,163","44,960","44,613","124,056","134,250","-7,091","17,500","0","0","0"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","326,977","326,977","-27,299","248,392","248,392","248,392","248,392","248,392","248,392","248,392","248,392","248,392"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","740,741","740,741","740,741","727,273","727,273","636,364","636,364","636,364","636,364","445,455","445,455","445,455"
"6216","修繕／車両関係費","91,500","102,148","191,120","11,000","203,500","160,973","95,291","143,291","11,000","0","0","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","18,561","2,203","18,590","10,930","2,203","10,259","18,629","2,203","18,381","10,220","2,203","18,134"
"6219","水道光熱費","314,964","469,267","389,449","407,246","242,351","302,679","241,598","354,266","240,967","312,116","190,159","294,482"
"6221","租税公課","2,000","2,000","0","2,000","2,000","4,000","0","2,000","0","0","0","0"
"6222","寄付金","0","5,000","0","0","0","0","5,000","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","20,000","20,000","20,000","22,560","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000"
"6225","備品消耗品費","193,998","210,530","240,929","166,215","269,142","343,451","148,604","99,694","296,664","182,402","73,703","116,809"
"6227","管理諸費","145,431","399,928","354,728","150,741","126,831","145,040","124,331","174,231","114,203","67,901","17,151","52,952"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","5,567,770","6,290,355","5,652,846","5,355,210","5,234,456","6,431,966","5,094,779","5,239,822","4,781,457","3,407,784","3,279,659","3,579,025"
,"営業利益（損失）","1,236,747","1,353,576","366,250","268,558","768,174","2,138,646","1,235,621","318,743","459,016","-2,151,013","-1,015,457","479,792"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","400","0","0","0","0","0","0","-1","1","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","839,840","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","840,240","0","0","0","0","0","0","-1","1","0"
,"経常利益（損失）","1,236,747","1,353,576","-473,990","268,558","768,174","2,138,646","1,235,621","318,743","459,016","-2,151,012","-1,015,458","479,792"
