"ｺｰﾄﾞ","勘定科目名"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"
"4111","売上高","2,296,404","3,747,368","6,018,925","6,903,637","6,862,855","6,393,339","8,760,717","7,937,764","5,860,044","4,747,467","4,522,040","7,207,685"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","2,296,404","3,747,368","6,018,925","6,903,637","6,862,855","6,393,339","8,760,717","7,937,764","5,860,044","4,747,467","4,522,040","7,207,685"
"5111","期首たな卸高","1,032,572","914,854","853,784","946,440","956,263","953,077","984,527","990,473","986,742","1,295,178","992,436","840,427"
"5211","商品仕入高","921,915","1,422,096","2,052,764","2,224,879","2,306,562","2,108,454","3,058,252","2,569,375","2,276,024","1,318,192","1,368,649","2,365,028"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","914,854","853,784","946,440","956,263","953,077","984,527","990,473","986,742","1,295,178","992,436","840,427","830,657"
,"当期売上原価","1,039,633","1,483,166","1,960,108","2,215,056","2,309,748","2,077,004","3,052,306","2,573,106","1,967,588","1,620,934","1,520,658","2,374,798"
,"売上総利益","1,256,771","2,264,202","4,058,817","4,688,581","4,553,107","4,316,335","5,708,411","5,364,658","3,892,456","3,126,533","3,001,382","4,832,887"
"6111","給与手当","611,000","611,000","611,000","761,500","791,000","1,026,000","796,000","813,000","783,000","783,000","783,000","803,000"
"6311","雑給","920,926","1,125,795","1,018,365","1,123,253","1,170,419","1,267,413","1,416,215","1,340,422","1,288,346","1,015,067","921,107","1,067,364"
"6112","旅費交通費","19,386","14,242","20,545","37,669","32,584","26,579","38,245","37,837","26,619","41,853","39,021","29,947"
"6113","広告宣伝費","312,823","242,626","382,109","447,596","482,883","463,541","782,494","871,030","728,408","466,848","390,068","714,378"
"6114","販売促進費","23,687","37,625","39,777","41,669","55,893","42,210","70,491","101,940","86,782","83,979","111,646","81,571"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","144,998","162,830","224,459","289,350","248,054","240,016","336,240","271,649","224,515","220,007","217,804","281,949"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","0","212,500","0","0","0"
"6312","法定福利費","88,478","88,478","86,546","131,324","133,325","138,725","138,725","138,725","163,250","136,291","117,703","123,274"
"6226","厚生費","0","0","0","29,202","75,159","51,515","6,682","37,711","12,746","8,330","6,180","32,480"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","248,392","248,392","248,392","248,392","248,392","397,171","252,126","252,126","252,126","252,126","252,126","252,126"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","445,455","445,455","445,455","636,364","636,364","636,364","636,364","636,364","636,364","636,364","636,364","536,364"
"6216","修繕／車両関係費","0","0","0","0","0","29,000","11,909","22,000","16,500","0","0","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","19"
"6218","通信交通費","10,220","2,203","18,134","10,220","10,818","10,228","2,203","18,209","2,675","10,142","10,142","18,428"
"6219","水道光熱費","312,116","190,159","294,482","239,904","341,345","316,652","330,649","200,541","253,515","212,033","267,180","194,290"
"6221","租税公課","0","0","0","2,000","8,000","0","0","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","10,000","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000"
"6225","備品消耗品費","182,402","73,703","116,809","276,885","257,093","252,588","246,636","229,677","270,787","114,983","155,024","138,867"
"6227","管理諸費","67,901","17,151","52,952","180,582","149,739","135,600","122,279","118,432","169,260","127,252","205,236","114,052"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","5,000","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","3,407,784","3,279,659","3,579,025","4,475,910","4,666,068","5,053,602","5,207,258","5,109,663","5,147,393","4,138,275","4,132,601","4,408,109"
,"営業利益（損失）","-2,151,013","-1,015,457","479,792","212,671","-112,961","-737,267","501,153","254,995","-1,254,937","-1,011,742","-1,131,219","424,778"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","-1","1","0","-54","0","321","-321","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","-1","1","0","-54","0","321","-321","0","0","0","0","0"
,"経常利益（損失）","-2,151,012","-1,015,458","479,792","212,725","-112,961","-737,588","501,474","254,995","-1,254,937","-1,011,742","-1,131,219","424,778"
