"ｺｰﾄﾞ","勘定科目名"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"
"4111","売上高","7,000,246","5,758,955","7,105,626","6,134,268","5,714,753","7,112,996","6,710,347","9,451,124","7,615,648","5,645,781","8,038,832","7,002,388"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","7,000,246","5,758,955","7,105,626","6,134,268","5,714,753","7,112,996","6,710,347","9,451,124","7,615,648","5,645,781","8,038,832","7,002,388"
"5111","期首棚卸高","929,502","822,902","888,370","740,271","835,250","1,459,903","1,513,800","1,543,367","1,863,802","1,426,400","1,447,819","1,507,426"
"5211","商品仕入高","2,077,622","1,858,441","2,118,936","2,059,051","2,208,858","2,326,073","2,349,170","3,269,662","2,038,750","1,923,050","2,673,902","2,342,024"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","822,902","888,370","740,271","835,250","1,459,903","1,513,800","1,543,367","1,863,802","1,426,400","1,447,819","1,507,426","2,022,570"
,"当期売上原価","2,184,222","1,792,973","2,267,035","1,964,072","1,584,205","2,272,176","2,319,603","2,949,227","2,476,152","1,901,631","2,614,295","1,826,880"
,"売上総利益","4,816,024","3,965,982","4,838,591","4,170,196","4,130,548","4,840,820","4,390,744","6,501,897","5,139,496","3,744,150","5,424,537","5,175,508"
"6111","給与手当","590,000","590,000","590,000","580,435","685,650","380,000","370,000","432,782","380,000","370,000","380,000","616,500"
"6311","雑給","1,277,433","1,073,365","1,219,989","1,333,621","1,135,912","1,292,298","1,291,864","1,696,433","1,591,132","1,491,524","1,805,197","1,061,873"
"6112","旅費交通費","58,464","40,631","55,690","41,961","71,970","41,786","39,831","47,650","39,457","32,840","35,860","52,485"
"6113","広告宣伝費","445,172","483,218","460,331","598,435","538,590","553,574","481,441","733,877","549,692","573,611","587,343","504,884"
