"ｺｰﾄﾞ","勘定科目名"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"
"4111","売上高","5,777,254","7,087,391","1,384,991","0","6,155,001","7,000,139","8,404,492","5,476,278","0","2,437,891","6,203,931","7,000,246"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","5,777,254","7,087,391","1,384,991","0","6,155,001","7,000,139","8,404,492","5,476,278","0","2,437,891","6,203,931","7,000,246"
"5111","期首棚卸高","788,334","778,949","805,164","749,499","829,978","781,659","726,400","616,014","613,333","612,507","889,807","929,502"
"5211","商品仕入高","1,834,405","2,332,801","423,379","61,409","1,982,654","2,209,487","2,579,352","1,751,660","-11,759","1,016,789","2,165,506","2,077,622"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","778,949","805,164","749,499","829,978","781,659","726,400","616,014","613,333","612,507","889,807","929,502","822,902"
,"当期売上原価","1,843,790","2,306,586","479,044","-19,070","2,030,973","2,264,746","2,689,738","1,754,341","-10,933","739,489","2,125,811","2,184,222"
,"売上総利益","3,933,464","4,780,805","905,947","19,070","4,124,028","4,735,393","5,714,754","3,721,937","10,933","1,698,402","4,078,120","4,816,024"
"6111","給与手当","617,900","811,500","644,267","65,868","875,500","727,500","932,500","749,443","232,129","457,500","650,000","590,000"
"6311","雑給","908,960","957,249","826,016","786,864","1,060,864","1,098,229","1,133,194","1,206,864","1,044,912","1,210,482","1,198,366","1,277,433"
"6112","旅費交通費","39,012","25,637","19,711","16,609","44,536","33,803","44,579","43,862","27,945","30,099","15,626","58,464"
"6113","広告宣伝費","368,104","447,772","150,995","76,439","416,166","378,621","508,324","420,374","69,818","337,697","311,718","445,172"
"6114","販売促進費","79,436","61,790","51,822","22,002","70,190","71,665","89,727","47,302","30,217","25,800","59,930","56,527"
"6115","荷造発送費","0","0","0","0","1,500","1,500","0","1,500","0","0","1,500","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","174,786","232,419","92,598","33,040","231,034","208,714","247,707","208,984","53,466","83,888","237,035","220,788"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","75,000","0","0","0","0","0","60,000","0","0","0","0","72,000"
"6312","法定福利費","101,857","96,552","96,552","158,722","161,127","161,127","168,732","161,127","164,109","191,871","191,542","121,424"
"6226","厚生費","37,811","33,190","0","0","33,967","20,000","106,865","110,128","40,636","9,500","70,050","94,733"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","252,126","252,126","252,126","260,713","226,988","226,988","226,988","226,988","226,988","226,988","226,988","226,988"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","536,364","536,364","636,364","636,364","636,364","636,364","636,364","636,364","636,364","636,364","636,364","636,364"
"6216","修繕／車両関係費","11,000","0","20,000","99,000","38,500","0","0","0","12,650","59,640","0","39,950"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","10,102","2,203","18,177","10,082","2,203","17,956","2,657","18,151","10,169","9,946","2,203","17,942"
"6219","水道光熱費","337,301","247,557","346,934","259,250","140,545","203,066","264,034","254,702","346,250","106,924","131,906","243,728"
"6221","租税公課","0","0","0","0","0","0","0","1,000","0","34,200","1,000","0"
"6222","寄付金","0","0","0","0","0","0","5,000","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","20,000","20,000","20,000","40,000","20,000","20,000","20,000","20,000","20,000","40,010","20,000","20,000"
"6225","備品消耗品費","175,924","178,761","53,472","530,350","99,449","113,185","184,771","79,508","35,238","135,562","153,293","187,662"
"6227","管理諸費","158,552","222,282","32,841","0","179,290","175,967","149,802","129,262","6,000","45,951","179,602","160,648"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","2,400","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","3,904,235","4,127,802","3,261,875","2,995,303","4,238,223","4,094,685","4,781,244","4,315,559","2,956,891","3,642,422","4,087,123","4,469,823"
,"営業利益（損失）","29,229","653,003","-2,355,928","-2,976,233","-114,195","640,708","933,510","-593,622","-2,945,958","-1,944,020","-9,003","346,201"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","6","0","0","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","6","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","29,229","652,997","-2,355,928","-2,976,233","-114,195","640,708","933,510","-593,622","-2,945,958","-1,944,020","-9,003","346,201"
