"ｺｰﾄﾞ","勘定科目名"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"
"4111","売上高","0","0","0","123,370","703,040","539,343","422,470","233,400","985,696","683,940","713,727","901,255"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","123,370","703,040","539,343","422,470","233,400","985,696","683,940","713,727","901,255"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","55,000","36,000","35,000"
"5211","商品仕入高","0","0","0","99,834","259,269","177,645","132,270","110,415","208,013","434,326","339,522","336,871"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","55,000","36,000","35,000","33,300"
,"当期売上原価","0","0","0","99,834","259,269","177,645","132,270","110,415","153,013","453,326","340,522","338,571"
,"売上総利益","0","0","0","23,536","443,771","361,698","290,200","122,985","832,683","230,614","373,205","562,684"
"6111","給与手当","0","0","0","0","0","0","0","0","0","0","174,800","158,491"
"6311","雑給","0","0","0","0","49,331","40,576","0","0","0","209,664","0","0"
"6112","旅費交通費","0","0","0","0","0","0","0","0","0","0","0","0"
"6113","広告宣伝費","0","0","0","0","0","0","0","162,905","121,941","95,478","-6,857","9,012"
"6114","販売促進費","0","0","0","0","0","0","0","0","0","0","0","0"
