"ｺｰﾄﾞ","勘定科目名"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"
"4111","売上高","539,343","422,470","233,400","985,696","683,940","713,727","901,255","349,844","818,669","772,426","331,135","524,682"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","539,343","422,470","233,400","985,696","683,940","713,727","901,255","349,844","818,669","772,426","331,135","524,682"
"5111","期首棚卸高","0","0","0","0","55,000","36,000","35,000","33,300","37,200","62,000","60,500","46,200"
"5211","商品仕入高","177,645","132,270","110,415","208,013","434,326","339,522","336,871","148,504","265,777","170,648","122,932","144,974"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","55,000","36,000","35,000","33,300","37,200","62,000","60,500","46,200","22,000"
,"当期売上原価","177,645","132,270","110,415","153,013","453,326","340,522","338,571","144,604","240,977","172,148","137,232","169,174"
,"売上総利益","361,698","290,200","122,985","832,683","230,614","373,205","562,684","205,240","577,692","600,278","193,903","355,508"
"6111","給与手当","0","0","0","0","0","174,800","158,491","152,792","163,726","175,277","204,005","187,208"
"6311","雑給","40,576","0","0","0","209,664","0","0","0","0","0","0","0"
"6112","旅費交通費","0","0","0","0","0","0","0","0","0","0","0","0"
"6113","広告宣伝費","0","0","162,905","121,941","95,478","-6,857","9,012","157,950","196,916","0","0","200,300"
"6114","販売促進費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","荷造発送費","14,500","10,100","9,900","12,550","9,140","8,610","7,660","7,300","4,400","11,590","9,550","12,400"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","28,388","35,313","24,723","68,527","66,013","63,526","46,033","26,985","73,844","43,531","18,463","17,964"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","0","0","0","0","0"
"6312","法定福利費","0","0","0","0","0","0","0","0","0","0","0","0"
"6226","厚生費","0","0","0","0","0","0","0","0","0","0","0","0"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","369,090","52,727","52,727","52,727","52,727","52,727","52,727","52,727","52,727","52,727"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","0","0","0","0","0","0","0","0","0"
"6216","修繕／車両関係費","0","5,000","0","0","0","0","0","0","0","0","0","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","0","0","0","0","0","0","0","0","0","0","0","0"
"6219","水道光熱費","0","0","0","0","0","0","0","0","0","0","0","0"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","0","0","0","0","0","0","0","0","0","0","0","0"
"6225","備品消耗品費","145,926","55,676","56,104","106,719","197,115","189,004","53,714","61,744","135,195","42,228","34,845","115,207"
"6227","管理諸費","0","0","0","0","0","0","0","0","0","0","0","0"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","229,390","106,089","622,722","362,464","630,137","481,810","327,637","459,498","626,808","325,353","319,590","585,806"
,"営業利益（損失）","132,308","184,111","-499,737","470,219","-399,523","-108,605","235,047","-254,258","-49,116","274,925","-125,687","-230,298"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
