"ｺｰﾄﾞ","勘定科目名"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"
"4111","売上高","3,259,797","3,748,667","4,214,569","899,291","0","3,956,221","4,095,655","5,366,974","3,011,446","2,025,655","3,711,473","3,959,563"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","3,259,797","3,748,667","4,214,569","899,291","0","3,956,221","4,095,655","5,366,974","3,011,446","2,025,655","3,711,473","3,959,563"
"5111","期首棚卸高","315,369","270,935","263,331","263,331","263,331","263,331","206,045","278,552","398,267","398,267","278,594","286,553"
"5211","商品仕入高","1,053,550","1,253,634","1,434,892","348,283","71,628","1,441,282","1,661,339","2,004,057","1,092,755","749,368","1,354,918","1,623,457"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","270,935","263,331","263,331","263,331","263,331","206,045","278,552","398,267","398,267","278,594","286,553","286,553"
,"当期売上原価","1,097,984","1,261,238","1,434,892","348,283","71,628","1,498,568","1,588,832","1,884,342","1,092,755","869,041","1,346,959","1,623,457"
,"売上総利益","2,161,813","2,487,429","2,779,677","551,008","-71,628","2,457,653","2,506,823","3,482,632","1,918,691","1,156,614","2,364,514","2,336,106"
"6111","給与手当","486,000","486,000","496,000","416,176","393,800","488,000","490,000","510,000","445,000","485,571","485,957","490,500"
"6311","雑給","463,133","512,773","555,990","449,622","417,460","500,469","565,273","628,914","484,663","464,730","458,591","537,447"
"6112","旅費交通費","27,381","20,500","21,111","10,272","2,386","24,982","18,499","38,181","26,334","20,280","25,360","25,909"
"6113","広告宣伝費","77,917","74,924","61,883","73,302","80,330","54,466","69,848","83,609","90,194","59,627","77,339","62,255"
"6114","販売促進費","55,269","53,622","54,467","40,187","19,955","34,596","39,561","40,682","5,898","14,467","8,500","18,781"
"6115","荷造発送費","111,708","87,505","150,210","26,691","8,360","142,310","93,700","146,250","91,720","58,530","104,400","100,630"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","255,115","259,265","304,132","104,337","56,850","312,501","325,381","343,940","297,977","172,218","248,430","336,162"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","20,000","0","0","0","0","0","0","0","0","0","0"
"6312","法定福利費","91,615","94,417","91,615","91,615","97,339","98,901","98,901","98,901","98,901","98,901","97,253","97,196"
"6226","厚生費","5,000","0","6,007","0","0","5,000","5,000","5,000","48,478","5,000","5,000","7,800"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","157,420","157,420","157,420","157,420","-640,234","140,942","140,942","140,942","140,942","140,942","140,942","140,942"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000"
"6216","修繕／車両関係費","0","0","44,545","0","0","0","0","0","28,000","0","0","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","6,785","7,801","6,794","6,813","6,785","4,715","10,984","9,729","13,888","13,833","14,019","13,798"
"6219","水道光熱費","210,338","160,813","218,284","183,989","163,404","143,681","145,893","181,091","254,489","100,080","149,644","202,831"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","25,000","25,000","25,000","25,000","50,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000"
"6225","備品消耗品費","133,342","142,443","146,194","42,451","6,500","71,404","132,952","83,721","77,456","131,736","99,499","131,417"
"6227","管理諸費","47,249","47,249","58,144","46,125","0","48,374","47,249","84,249","59,249","173,249","59,249","60,374"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","20,500","0","0","0","0","0","0","0","20,500","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","833","0","0","0","0","3,214","0","0","0","0"
,"販売費及び一般管理費計","2,473,772","2,449,732","2,698,629","1,974,000","962,935","2,395,341","2,509,183","2,723,423","2,508,689","2,264,164","2,299,183","2,551,042"
