"ｺｰﾄﾞ","勘定科目名"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"
"4111","売上高","899,291","0","3,956,221","4,095,655","5,366,974","3,011,446","2,025,655","3,711,473","3,959,563","4,476,009","4,050,872","3,786,192"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","899,291","0","3,956,221","4,095,655","5,366,974","3,011,446","2,025,655","3,711,473","3,959,563","4,476,009","4,050,872","3,786,192"
"5111","期首棚卸高","263,331","263,331","263,331","206,045","278,552","398,267","398,267","278,594","286,553","286,553","344,764","344,764"
"5211","商品仕入高","348,283","71,628","1,441,282","1,661,339","2,004,057","1,092,755","749,368","1,354,918","1,623,457","1,486,860","1,395,329","1,400,297"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","263,331","263,331","206,045","278,552","398,267","398,267","278,594","286,553","286,553","344,764","344,764","339,909"
,"当期売上原価","348,283","71,628","1,498,568","1,588,832","1,884,342","1,092,755","869,041","1,346,959","1,623,457","1,428,649","1,395,329","1,405,152"
,"売上総利益","551,008","-71,628","2,457,653","2,506,823","3,482,632","1,918,691","1,156,614","2,364,514","2,336,106","3,047,360","2,655,543","2,381,040"
"6111","給与手当","416,176","393,800","488,000","490,000","510,000","445,000","485,571","485,957","490,500","533,700","548,983","550,000"
"6311","雑給","449,622","417,460","500,469","565,273","628,914","484,663","464,730","458,591","537,447","613,349","511,650","430,652"
"6112","旅費交通費","10,272","2,386","24,982","18,499","38,181","26,334","20,280","25,360","25,909","25,555","27,210","20,118"
"6113","広告宣伝費","73,302","80,330","54,466","69,848","83,609","90,194","59,627","77,339","72,255","70,281","71,836","107,014"
"6114","販売促進費","40,187","19,955","34,596","39,561","40,682","5,898","14,467","8,500","18,781","12,547","13,239","9,699"
"6115","荷造発送費","26,691","8,360","142,310","93,700","146,250","91,720","58,530","104,400","100,630","102,610","113,120","106,590"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","104,337","56,850","312,501","325,381","343,940","297,977","172,218","248,430","336,162","427,578","303,394","261,207"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","0","0","85,000","80,250","80,250"
"6312","法定福利費","91,615","97,339","98,901","98,901","98,901","98,901","98,901","97,253","97,196","101,981","103,899","98,991"
"6226","厚生費","0","0","5,000","5,000","5,000","48,478","5,000","5,000","7,800","43,697","22,400","5,666"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","157,420","-640,234","140,942","140,942","140,942","140,942","140,942","140,942","140,942","140,942","140,942","140,942"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000"
"6216","修繕／車両関係費","0","0","0","0","0","28,000","0","0","0","0","0","0"
