"ｺｰﾄﾞ","勘定科目名"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年  9月"
"4111","売上高","4,235,983","4,005,203","5,039,008","3,999,285","3,802,856","5,110,705","4,345,307","4,142,099","4,002,625","4,384,709","4,228,791","3,660,700"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","4,235,983","4,005,203","5,039,008","3,999,285","3,802,856","5,110,705","4,345,307","4,142,099","4,002,625","4,384,709","4,228,791","3,660,700"
"5111","期首棚卸高","367,612","354,484","386,677","386,677","361,462","391,164","368,862","431,687","431,687","347,790","347,790","711,027"
"5211","商品仕入高","1,512,023","1,534,480","2,000,799","1,409,111","1,511,107","1,793,788","1,688,384","1,534,130","1,532,297","1,638,141","1,678,431","1,518,556"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","354,484","386,677","386,677","361,462","391,164","368,862","431,687","431,687","347,790","347,790","711,027","757,257"
,"当期売上原価","1,525,151","1,502,287","2,000,799","1,434,326","1,481,405","1,816,090","1,625,559","1,534,130","1,616,194","1,638,141","1,315,194","1,472,326"
,"売上総利益","2,710,832","2,502,916","3,038,209","2,564,959","2,321,451","3,294,615","2,719,748","2,607,969","2,386,431","2,746,568","2,913,597","2,188,374"
"6111","給与手当","592,000","590,000","603,000","590,000","605,500","607,000","590,000","591,000","592,000","617,000","591,000","591,000"
"6311","雑給","526,427","495,871","766,625","676,178","636,337","610,792","537,137","564,230","619,031","626,722","634,834","630,990"
"6112","旅費交通費","13,570","25,133","18,291","13,135","13,853","18,355","21,058","20,928","22,624","16,109","22,694","18,872"
"6113","広告宣伝費","80,093","97,835","87,436","98,198","88,910","135,069","61,425","159,626","70,047","42,822","82,280","67,100"
"6114","販売促進費","5,133","16,159","7,558","20,133","4,194","4,711","2,936","711","2,899","398","1,266","0"
"6115","荷造発送費","114,560","130,240","131,740","110,840","109,690","136,620","125,060","138,030","124,740","120,120","119,040","97,570"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","415,153","336,229","363,450","289,305","312,920","366,354","374,343","349,480","339,266","337,889","355,823","385,172"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","53,500","53,500","-207,500","53,500","53,500","53,500","53,500","53,500","53,500","53,500","53,500","53,500"
"6312","法定福利費","105,152","105,162","109,369","105,162","105,162","105,162","54,980","81,320","90,995","81,320","81,320","84,125"
"6226","厚生費","23,000","79,773","18,384","10,793","10,384","11,733","95,824","11,733","17,433","93,733","10,642","-6,853"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","133,143","133,143","133,143","133,143","133,143","133,143","133,143","133,143","133,143","133,143","133,143","-363,138"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000"
"6216","修繕／車両関係費","0","0","0","57,500","0","0","0","101,000","154,000","66,000","0","0"
"6217","事務用消耗品費","0","0","297","0","0","300","0","0","0","0","0","0"
"6218","通信交通費","14,166","14,167","14,179","14,693","13,847","14,267","14,232","13,784","14,164","14,211","13,785","14,115"
"6219","水道光熱費","155,115","165,608","130,363","189,959","117,736","162,406","125,321","164,618","114,768","174,380","133,026","156,127"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000"
"6225","備品消耗品費","93,369","120,775","105,208","104,935","106,459","454,755","116,867","88,757","81,820","133,943","89,321","96,804"
"6227","管理諸費","59,302","59,302","47,302","59,302","167,302","48,453","47,302","47,302","47,302","47,302","47,302","48,453"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","2,708,683","2,747,897","2,653,845","2,851,776","2,803,937","3,187,620","2,678,128","2,844,162","2,802,732","2,883,592","2,693,976","2,198,837"
,"営業利益（損失）","2,149","-244,981","384,364","-286,817","-482,486","106,995","41,620","-236,193","-416,301","-137,024","219,621","-10,463"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","500","0","0","-90","0","1,310","0","0","10"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","550,000"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","500","0","0","-90","0","1,310","0","0","550,010"
,"経常利益（損失）","2,149","-244,981","384,364","-287,317","-482,486","106,995","41,710","-236,193","-417,611","-137,024","219,621","-560,473"
