"ｺｰﾄﾞ","勘定科目名"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"
"4111","売上高","0","0","0","0","0","3,651,322","3,919,686","4,975,174","3,458,718","3,692,557","4,411,850","0"
"4112",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4114",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","0","0","3,651,322","3,919,686","4,975,174","3,458,718","3,692,557","4,411,850","0"
"5111","期首棚卸高","0","0","0","0","0","757,257","406,605","406,605","742,088","371,738","386,175","149,680"
"5311","期末棚卸高        (△)","0","0","0","0","0","406,605","406,605","742,088","371,738","386,175","149,680","0"
"5211","商品仕入高","0","0","0","0","0","1,371,075","1,605,367","1,927,677","1,486,802","1,241,481","1,242,225","-909"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","0","0","1,721,727","1,605,367","1,592,194","1,857,152","1,227,044","1,478,720","148,771"
,"売上総利益","0","0","0","0","0","1,929,595","2,314,319","3,382,980","1,601,566","2,465,513","2,933,130","-148,771"
"6111","給与手当","0","0","0","0","0","591,000","612,500","604,500","603,000","588,630","272,500","17,500"
"6311","雑給","0","0","0","0","0","463,634","445,600","774,666","583,485","744,827","868,123","0"
"6112","旅費交通費","0","0","0","0","0","17,363","10,466","23,690","15,836","22,751","21,418","10,227"
"6113","広告宣伝費","0","0","0","0","0","56,664","99,295","35,871","-27,990","84,645","59,861","40,400"
"6114","販売促進費","0","0","0","0","0","1,528","2,861","8,318","990","16,435","616","0"
"6115","荷造発送費","0","0","0","0","0","97,410","0","114,090","103,400","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","0","0","0","0","0","363,705","333,403","359,414","291,186","720,718","795,120","48,478"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","53,500","53,500","-162,500","53,500","53,500","53,500","0"
"6312","法定福利費","0","0","0","0","0","88,150","88,150","95,863","88,150","88,150","57,295","39,410"
"6226","厚生費","0","0","0","0","0","91,988","60,487","60,488","11,733","65,033","0","0"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","0","0","62,878","62,878","62,878","62,878","62,878","62,878","62,878"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","0","0","306,000","306,000","306,000","294,204","600,000","0","-160,000"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","28,560","0","0","218,631"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","0","0","0","0","0","14,128","13,817","14,071","13,710","13,696","13,876","13,755"
"6219","水道光熱費","0","0","0","0","0","194,862","147,307","193,448","239,810","105,726","148,789","90,930"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","4,408","0"
"6224","保険料","0","0","0","0","0","0","50,000","25,000","25,000","25,000","25,000","25,000"
"6225","備品消耗品費","0","0","0","0","0","101,391","85,705","146,364","77,078","97,749","50,382","37,000"
"6227","管理諸費","0","0","0","0","0","47,302","47,302","47,302","47,302","47,302","47,302","0"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","0","0","0","0","0","2,551,503","2,419,271","2,709,463","2,511,832","3,337,040","2,481,068","444,209"
,"営業利益（損失）","0","0","0","0","0","-621,908","-104,952","673,517","-910,266","-871,527","452,062","-592,980"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","5,195","0","0","0","0","0","20,000"
"7514",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","5,195","0","0","0","0","0","20,000"
,"経常利益（損失）","0","0","0","0","0","-627,103","-104,952","673,517","-910,266","-871,527","452,062","-612,980"
