"ｺｰﾄﾞ","勘定科目名","30年  2月","30年  3月","30年  4月","30年  5月","30年  6月","30年  7月","30年  8月","30年  9月","30年 10月","30年 11月","30年 12月","31年  1月"
"4111","売上高","0","0","0","0","0","0","0","0","0","4,351,695","6,226,741","4,201,822"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","0","0","0","0","0","0","4,351,695","6,226,741","4,201,822"
"5111","期首たな卸高","0","0","0","0","0","0","0","0","0","457,387","388,799","373,793"
"5211","商品仕入高","0","0","0","19,475","0","33,960","0","0","457,387","1,625,709","1,784,850","1,227,149"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","0","0","0","0","0","0","0","0","457,387","388,799","373,793","315,515"
,"当期売上原価","0","0","0","19,475","0","33,960","0","0","0","1,694,297","1,799,856","1,285,427"
,"売上総利益","0","0","0","-19,475","0","-33,960","0","0","0","2,657,398","4,426,885","2,916,395"
"6111","給与手当","0","0","0","0","0","0","0","378,000","528,000","448,000","743,500","563,000"
"6311","雑給","0","0","0","0","0","0","0","0","185,351","986,929","845,848","709,586"
"6112","旅費交通費","0","4,056","0","0","5,000","0","25,690","5,694","47,213","5,277","36,723","41,573"
"6113","広告宣伝費","0","10,000","0","0","115,000","0","0","0","16,240","0","81,598","57,600"
"6114","販売促進費","0","0","0","0","0","0","0","0","14,196","51,800","20,009","4,000"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","67,448","13,345"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","2,314","2,219","2,218","0","2,218","0","0","303,933","46,700","242,486","318,058","292,037"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","0","0","0","-168,000","56,000"
"6312","法定福利費","0","0","0","0","0","0","0","75,789","75,789","85,789","75,789","153,332"
"6226","厚生費","0","0","0","0","0","0","0","173,000","268,581","41,100","508,049","22,681"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","0","0","0","0","0","50,000","50,000","50,000","50,000"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","0","0","0","0","116,129","300,000","300,000","300,000","300,000"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","0","0","0","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","15,793","9,293","0","193"
"6218","通信交通費","0","0","0","0","0","0","0","0","0","30,826","8,394","7,538"
"6219","水道光熱費","0","0","0","0","0","0","0","0","3,728","53,614","128,313","154,284"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","1,000","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","30,000","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","0","0","0","0","0","0","0","0","0","24,000","24,000","24,000"
