"ｺｰﾄﾞ","勘定科目名"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"
"4111","売上高","3,929,697","4,365,009","3,467,588","5,193,995","7,870,893","7,475,884","5,882,164","2,728,743","2,506,200","5,113,189","4,089,070","3,353,369"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","3,929,697","4,365,009","3,467,588","5,193,995","7,870,893","7,475,884","5,882,164","2,728,743","2,506,200","5,113,189","4,089,070","3,353,369"
"5111","期首たな卸高","566,587","836,398","797,298","816,093","897,450","871,067","975,308","1,126,246","788,993","718,383","946,995","945,622"
"5211","商品仕入高","1,478,999","1,456,313","1,262,175","1,728,761","2,561,146","2,444,069","2,057,945","609,677","773,146","1,920,893","1,434,570","924,301"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","836,398","797,298","816,093","897,450","871,067","975,308","1,126,246","788,993","718,383","946,995","945,622","895,232"
,"当期売上原価","1,209,188","1,495,413","1,243,380","1,647,404","2,587,529","2,339,828","1,907,007","946,930","843,756","1,692,281","1,435,943","974,691"
,"売上総利益","2,720,509","2,869,596","2,224,208","3,546,591","5,283,364","5,136,056","3,975,157","1,781,813","1,662,444","3,420,908","2,653,127","2,378,678"
"6111","給与手当","1,546,400","1,514,320","1,369,087","1,321,864","1,307,500","1,280,000","1,240,000","1,204,678","1,185,207","1,028,985","1,128,400","1,188,900"
"6311","雑給","626,248","555,158","661,893","668,442","878,824","897,570","875,010","694,995","585,266","666,971","460,952","336,364"
"6112","旅費交通費","44,287","31,357","31,898","38,629","50,011","41,382","43,418","29,273","17,333","36,625","31,975","29,687"
"6113","広告宣伝費","215,678","196,336","188,634","213,536","535,948","307,929","321,585","162,886","168,477","282,737","203,183","189,282"
"6114","販売促進費","17,280","17,324","17,113","19,025","20,054","49,155","59,850","49,421","70,717","53,197","61,062","58,561"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","29,262","73,933","95,073","48,001","113,748","95,342","94,381","69,069","36,565","48,557","80,191","54,810"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","330,000","0","0","0","0","0"
"6312","法定福利費","264,159","228,122","234,015","300,804","219,550","219,550","260,761","240,011","230,482","230,445","230,445","230,445"
"6226","厚生費","0","5,000","29,531","43,000","80,600","73,250","5,000","0","0","7,682","6,750","0"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","43,740","43,740","43,740","43,796","43,740","43,740","43,740","43,740","43,740","43,740","43,740","43,740"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","423,182","577,273","577,273","577,273","587,273","587,273","587,273","587,273","587,273","587,273","587,273","587,273"
"6216","修繕／車両関係費","0","28,333","0","0","0","11,000","0","24,000","0","26,800","0","0"
"6217","事務用消耗品費","1,400","10,562","0","482","2,357","2,400","1,698","0","0","400","0","630"
"6218","通信交通費","3,351","2,777","3,584","2,777","2,814","3,351","2,203","2,777","2,777","3,876","2,778","2,778"
"6219","水道光熱費","191,494","333,206","337,744","392,501","339,658","307,510","307,743","311,169","291,686","250,642","277,633","274,347"
"6221","租税公課","0","0","0","1,000","1,000","1,000","0","0","0","900","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","1,580"
"6224","保険料","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000"
"6225","備品消耗品費","143,677","113,762","78,805","129,926","289,924","132,437","248,557","45,564","49,378","284,834","182,359","100,352"
"6227","管理諸費","39,416","35,208","33,808","33,808","33,808","35,208","33,808","35,808","33,808","35,208","33,808","33,808"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","3,000","0","0","0","0","0","0","20,000","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","8,000","0"
,"販売費及び一般管理費計","3,614,574","3,791,411","3,727,198","3,862,864","4,531,809","4,113,097","4,480,027","3,525,664","3,327,709","3,613,872","3,383,549","3,157,557"
,"営業利益（損失）","-894,065","-921,815","-1,502,990","-316,273","751,555","1,022,959","-504,870","-1,743,851","-1,665,265","-192,964","-730,422","-778,879"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","-894,065","-921,815","-1,502,990","-316,273","751,555","1,022,959","-504,870","-1,743,851","-1,665,265","-192,964","-730,422","-778,879"
