"ｺｰﾄﾞ","勘定科目名"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"
"4111","売上高","3,467,588","5,193,995","7,870,893","7,475,884","5,882,164","2,728,743","2,506,200","5,113,189","4,089,070","3,353,369","3,874,618","4,600,623"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","3,467,588","5,193,995","7,870,893","7,475,884","5,882,164","2,728,743","2,506,200","5,113,189","4,089,070","3,353,369","3,874,618","4,600,623"
"5111","期首たな卸高","797,298","816,093","897,450","871,067","975,308","1,126,246","788,993","718,383","946,995","945,622","895,232","902,085"
"5211","商品仕入高","1,262,175","1,728,761","2,561,146","2,444,069","2,057,945","609,677","773,146","1,920,893","1,434,570","924,301","1,265,437","1,473,331"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","816,093","897,450","871,067","975,308","1,126,246","788,993","718,383","946,995","945,622","895,232","902,085","911,104"
,"当期売上原価","1,243,380","1,647,404","2,587,529","2,339,828","1,907,007","946,930","843,756","1,692,281","1,435,943","974,691","1,258,584","1,464,312"
,"売上総利益","2,224,208","3,546,591","5,283,364","5,136,056","3,975,157","1,781,813","1,662,444","3,420,908","2,653,127","2,378,678","2,616,034","3,136,311"
"6111","給与手当","1,369,087","1,321,864","1,307,500","1,280,000","1,240,000","1,204,678","1,185,207","1,028,985","1,128,400","1,188,900","1,038,900","948,900"
"6311","雑給","661,893","668,442","878,824","897,570","875,010","694,995","585,266","666,971","460,952","336,364","473,103","608,927"
"6112","旅費交通費","31,898","38,629","50,011","41,382","43,418","29,273","17,333","36,625","31,975","29,687","26,749","31,362"
"6113","広告宣伝費","188,634","213,536","535,948","307,929","321,585","162,886","168,477","282,737","203,183","189,282","189,836","243,367"
"6114","販売促進費","17,113","19,025","20,054","49,155","59,850","49,421","70,717","53,197","61,062","58,561","61,698","54,450"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","95,073","48,001","113,748","95,342","94,381","69,069","36,565","48,557","80,191","54,810","50,617","64,854"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","330,000","0","0","0","0","0","67,000","0"
"6312","法定福利費","234,015","300,804","219,550","219,550","260,761","240,011","230,482","230,445","230,445","230,445","206,317","197,862"
"6226","厚生費","29,531","43,000","80,600","73,250","5,000","0","0","7,682","6,750","0","17,727","4,500"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","43,740","43,796","43,740","43,740","43,740","43,740","43,740","43,740","43,740","43,740","43,740","43,740"
