"ｺｰﾄﾞ","勘定科目名"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"
"4111","売上高","7,870,893","7,475,884","5,882,164","2,728,743","2,506,200","5,113,189","4,089,070","3,353,369","3,874,618","4,600,623","823,752","0"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","7,870,893","7,475,884","5,882,164","2,728,743","2,506,200","5,113,189","4,089,070","3,353,369","3,874,618","4,600,623","823,752","0"
"5111","期首棚卸高","897,450","871,067","975,308","1,126,246","788,993","718,383","946,995","945,622","895,232","902,085","911,104","749,336"
"5211","商品仕入高","2,561,146","2,444,069","2,057,945","609,677","773,146","1,920,893","1,434,570","924,301","1,265,437","1,473,331","159,470","144,418"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","871,067","975,308","1,126,246","788,993","718,383","946,995","945,622","895,232","902,085","911,104","749,336","943,650"
,"当期売上原価","2,587,529","2,339,828","1,907,007","946,930","843,756","1,692,281","1,435,943","974,691","1,258,584","1,464,312","321,238","-49,896"
,"売上総利益","5,283,364","5,136,056","3,975,157","1,781,813","1,662,444","3,420,908","2,653,127","2,378,678","2,616,034","3,136,311","502,514","49,896"
"6111","給与手当","1,307,500","1,280,000","1,240,000","1,204,678","1,185,207","1,028,985","1,128,400","1,188,900","1,038,900","948,900","902,161","948,614"
"6311","雑給","878,824","897,570","875,010","694,995","585,266","666,971","460,952","336,364","473,103","608,927","486,834","410,376"
"6112","旅費交通費","50,011","41,382","43,418","29,273","17,333","36,625","31,975","29,687","26,749","31,362","5,095","723"
"6113","広告宣伝費","535,948","307,929","321,585","162,886","168,477","282,737","203,183","189,282","189,836","243,367","93,774","60,075"
"6114","販売促進費","20,054","49,155","59,850","49,421","70,717","53,197","61,062","58,561","61,698","54,450","31,857","21,955"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","113,748","95,342","94,381","69,069","36,565","48,557","80,191","54,810","50,617","64,854","95,184","19,445"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","330,000","0","0","0","0","0","67,000","0","0","0"
"6312","法定福利費","219,550","219,550","260,761","240,011","230,482","230,445","230,445","230,445","206,317","197,862","197,862","195,696"
"6226","厚生費","80,600","73,250","5,000","0","0","7,682","6,750","0","17,727","4,500","0","0"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","43,740","43,740","43,740","43,740","43,740","43,740","43,740","43,740","43,740","43,740","43,740","43,795"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","587,273","587,273","587,273","587,273","587,273","587,273","587,273","587,273","587,273","587,273","537,273","537,273"
"6216","修繕／車両関係費","0","11,000","0","24,000","0","26,800","0","0","0","27,200","0","0"
"6217","事務用消耗品費","2,357","2,400","1,698","0","0","400","0","630","0","0","0","0"
"6218","通信交通費","2,814","3,351","2,203","2,777","2,777","3,876","2,778","2,778","2,869","2,684","3,353","2,778"
"6219","水道光熱費","339,658","307,510","307,743","311,169","291,686","250,642","277,633","274,347","270,584","280,369","334,799","226,424"
"6221","租税公課","1,000","1,000","0","0","0","900","0","0","900","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","1,580","0","0","0","0"
"6224","保険料","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","50,000"
"6225","備品消耗品費","289,924","132,437","248,557","45,564","49,378","284,834","182,359","100,352","90,342","56,847","21,618","11,650"
"6227","管理諸費","33,808","35,208","33,808","35,808","33,808","35,208","33,808","33,808","37,026","75,708","28,100","28,100"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","20,000","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","8,000","0","0","0","0","0"
,"販売費及び一般管理費計","4,531,809","4,113,097","4,480,027","3,525,664","3,327,709","3,613,872","3,383,549","3,157,557","3,189,681","3,253,043","2,806,650","2,556,904"
,"営業利益（損失）","751,555","1,022,959","-504,870","-1,743,851","-1,665,265","-192,964","-730,422","-778,879","-573,647","-116,732","-2,304,136","-2,507,008"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
