"ｺｰﾄﾞ","勘定科目名"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"
"4111","売上高","5,882,164","2,728,743","2,506,200","5,113,189","4,089,070","3,353,369","3,874,618","4,600,623","823,752","0","5,539,656","7,184,350"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","5,882,164","2,728,743","2,506,200","5,113,189","4,089,070","3,353,369","3,874,618","4,600,623","823,752","0","5,539,656","7,184,350"
"5111","期首棚卸高","975,308","1,126,246","788,993","718,383","946,995","945,622","895,232","902,085","911,104","749,336","943,652","957,643"
"5211","商品仕入高","2,057,945","609,677","773,146","1,920,893","1,434,570","924,301","1,265,437","1,473,331","159,470","144,418","1,777,241","2,358,459"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","1,126,246","788,993","718,383","946,995","945,622","895,232","902,085","911,104","749,336","943,650","957,643","1,027,823"
,"当期売上原価","1,907,007","946,930","843,756","1,692,281","1,435,943","974,691","1,258,584","1,464,312","321,238","-49,896","1,763,250","2,288,279"
,"売上総利益","3,975,157","1,781,813","1,662,444","3,420,908","2,653,127","2,378,678","2,616,034","3,136,311","502,514","49,896","3,776,406","4,896,071"
"6111","給与手当","1,240,000","1,204,678","1,185,207","1,028,985","1,128,400","1,188,900","1,038,900","948,900","902,161","948,614","1,043,900","1,131,421"
"6311","雑給","875,010","694,995","585,266","666,971","460,952","336,364","473,103","608,927","486,834","410,376","670,720","743,397"
"6112","旅費交通費","43,418","29,273","17,333","36,625","31,975","29,687","26,749","31,362","5,095","723","44,399","45,595"
"6113","広告宣伝費","321,585","162,886","168,477","282,737","203,183","189,282","189,836","243,367","93,774","60,075","260,915","223,875"
"6114","販売促進費","59,850","49,421","70,717","53,197","61,062","58,561","61,698","54,450","31,857","21,955","62,153","62,521"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","94,381","69,069","36,565","48,557","80,191","54,810","50,617","64,854","95,184","19,445","82,271","89,884"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","330,000","0","0","0","0","0","67,000","0","0","0","0","0"
"6312","法定福利費","260,761","240,011","230,482","230,445","230,445","230,445","206,317","197,862","197,862","195,696","199,063","199,063"
"6226","厚生費","5,000","0","0","7,682","6,750","0","17,727","4,500","0","0","5,000","10,500"
