"ｺｰﾄﾞ","勘定科目名"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"
"4111","売上高","3,353,369","3,874,618","4,600,623","823,752","0","5,539,656","7,184,350","9,342,486","4,659,569","0","2,159,187","6,879,777"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","3,353,369","3,874,618","4,600,623","823,752","0","5,539,656","7,184,350","9,342,486","4,659,569","0","2,159,187","6,879,777"
"5111","期首棚卸高","945,622","895,232","902,085","911,104","749,336","943,652","957,643","1,027,823","1,342,046","865,682","753,572","908,353"
"5211","商品仕入高","924,301","1,265,437","1,473,331","159,470","144,418","1,777,241","2,358,459","3,264,791","995,683","-4,444","937,785","2,181,308"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","895,232","902,085","911,104","749,336","943,650","957,643","1,027,823","1,342,046","865,682","753,572","908,353","993,509"
,"当期売上原価","974,691","1,258,584","1,464,312","321,238","-49,896","1,763,250","2,288,279","2,950,568","1,472,047","107,666","783,004","2,096,152"
,"売上総利益","2,378,678","2,616,034","3,136,311","502,514","49,896","3,776,406","4,896,071","6,391,918","3,187,522","-107,666","1,376,183","4,783,625"
"6111","給与手当","1,188,900","1,038,900","948,900","902,161","948,614","1,043,900","1,131,421","1,208,960","1,055,900","961,096","918,470","1,182,808"
"6311","雑給","336,364","473,103","608,927","486,834","410,376","670,720","743,397","1,021,907","699,843","344,480","403,766","632,594"
"6112","旅費交通費","29,687","26,749","31,362","5,095","723","44,399","45,595","60,111","23,621","1,486","15,193","34,289"
"6113","広告宣伝費","189,282","189,836","243,367","93,774","60,075","260,915","223,875","337,939","226,877","85,218","97,381","186,648"
"6114","販売促進費","58,561","61,698","54,450","31,857","21,955","62,153","62,521","59,759","26,139","30,182","22,168","35,172"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","54,810","50,617","64,854","95,184","19,445","82,271","89,884","108,768","110,624","46,100","19,145","106,074"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","67,000","0","0","0","0","0","112,500","0","0","0","0"
