"ｺｰﾄﾞ","勘定科目名"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"
"4111","売上高","0","5,539,656","7,184,350","9,342,486","4,659,569","0","2,159,187","6,879,777","7,754,786","7,065,504","7,026,136","6,545,816"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","5,539,656","7,184,350","9,342,486","4,659,569","0","2,159,187","6,879,777","7,754,786","7,065,504","7,026,136","6,545,816"
"5111","期首棚卸高","749,336","943,652","957,643","1,027,823","1,342,046","865,682","753,572","908,353","993,509","830,086","859,222","790,069"
"5211","商品仕入高","144,418","1,777,241","2,358,459","3,264,791","995,683","-4,444","937,785","2,181,308","2,308,310","2,220,712","2,132,876","2,133,819"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","943,650","957,643","1,027,823","1,342,046","865,682","753,572","908,353","993,509","830,086","859,222","790,069","847,888"
,"当期売上原価","-49,896","1,763,250","2,288,279","2,950,568","1,472,047","107,666","783,004","2,096,152","2,471,733","2,191,576","2,202,029","2,076,000"
,"売上総利益","49,896","3,776,406","4,896,071","6,391,918","3,187,522","-107,666","1,376,183","4,783,625","5,283,053","4,873,928","4,824,107","4,469,816"
"6111","給与手当","948,614","1,043,900","1,131,421","1,208,960","1,055,900","961,096","918,470","1,182,808","1,192,608","1,222,608","1,145,269","1,983,682"
"6311","雑給","410,376","670,720","743,397","1,021,907","699,843","344,480","403,766","632,594","727,104","749,129","774,471","823,531"
"6112","旅費交通費","723","44,399","45,595","60,111","23,621","1,486","15,193","34,289","45,925","44,953","43,791","30,275"
"6113","広告宣伝費","60,075","260,915","223,875","337,939","226,877","85,218","97,381","199,948","220,940","292,514","238,861","219,802"
