"ｺｰﾄﾞ","勘定科目名","31年  3月","31年  4月"," 1年  5月"," 1年  6月"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"
"4111","売上高","10,879,425","9,605,696","8,948,864","9,355,822","8,829,396","9,923,617","8,493,417","8,205,971","9,002,197","12,586,455","9,343,383","6,932,126"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","10,879,425","9,605,696","8,948,864","9,355,822","8,829,396","9,923,617","8,493,417","8,205,971","9,002,197","12,586,455","9,343,383","6,932,126"
"5111","期首たな卸高","1,027,711","1,108,448","969,642","984,468","935,158","974,419","994,802","1,026,536","1,047,751","1,110,080","1,428,471","1,070,703"
"5211","商品仕入高","3,431,446","3,103,963","2,807,656","2,809,443","2,726,613","3,100,500","2,685,278","2,537,437","2,860,872","3,988,722","2,534,699","2,108,754"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","1,108,448","969,642","984,468","935,158","974,419","994,802","1,026,536","1,047,751","1,110,080","1,428,471","1,070,703","1,039,408"
,"当期売上原価","3,350,709","3,242,769","2,792,830","2,858,753","2,687,352","3,080,117","2,653,544","2,516,222","2,798,543","3,670,331","2,892,467","2,140,049"
