"ｺｰﾄﾞ","勘定科目名"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"
"4111","売上高","3,317,193","0","0","3,127,184","4,459,690","7,061,917","2,612,035","892,885","1,819,426","4,703,273","4,959,566","4,850,034"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","3,317,193","0","0","3,127,184","4,459,690","7,061,917","2,612,035","892,885","1,819,426","4,703,273","4,959,566","4,850,034"
"5111","期首棚卸高","711,931","635,143","635,143","675,616","655,505","821,725","789,098","727,398","705,392","817,704","826,505","857,247"
"5211","商品仕入高","1,075,973","-6,481","54,498","1,120,093","1,727,052","2,571,536","829,176","454,533","788,137","1,764,618","1,702,737","1,694,345"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","635,143","635,143","675,616","655,505","821,725","789,098","727,398","705,392","817,704","826,505","857,247","839,520"
,"当期売上原価","1,152,761","-6,481","14,025","1,140,204","1,560,832","2,604,163","890,876","476,539","675,825","1,755,817","1,671,995","1,712,072"
,"売上総利益","2,164,432","6,481","-14,025","1,986,980","2,898,858","4,457,754","1,721,159","416,346","1,143,601","2,947,456","3,287,571","3,137,962"
"6111","給与手当","1,002,500","744,300","704,927","972,500","1,062,414","1,103,740","869,175","603,271","588,691","688,631","749,957","719,957"
"6311","雑給","270,656","218,120","209,760","252,260","271,172","710,213","483,165","335,205","329,680","464,480","609,110","685,953"
"6112","旅費交通費","32,789","2,209","164","34,931","40,358","43,969","31,409","20,562","22,466","41,082","47,124","47,735"
"6113","広告宣伝費","180,827","48,004","53,331","155,896","288,199","403,008","143,518","49,164","147,760","243,380","204,363","267,569"
"6114","販売促進費","52,356","31,689","21,955","51,252","60,050","57,061","22,417","30,355","21,494","34,842","27,909","21,113"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","20,158","0","0"
"6117","支払手数料","55,186","59,903","21,581","70,586","57,419","65,567","93,458","38,609","25,124","86,339","161,963","92,068"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","112,500","0","0","0","0","135,225","0"
"6312","法定福利費","206,268","206,268","206,257","209,508","209,508","232,323","209,508","209,508","205,160","205,192","206,449","209,584"
"6226","厚生費","4,500","0","0","5,000","6,000","31,750","120,478","95,400","113,650","216,695","62,528","81,400"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","19,636","19,636","19,662","19,636","19,636","19,636","19,636","19,636","19,636","19,636","19,636","19,636"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","477,262","477,262","477,262","477,262","477,262","477,262","477,262","477,262","477,262","477,262","477,262","477,262"
"6216","修繕／車両関係費","11,000","0","0","0","2,327","0","0","0","0","0","0","2,100"
"6217","事務用消耗品費","0","0","0","1,450","500","1,102","1,440","1,000","2,795","0","450","0"
"6218","通信交通費","12,595","12,643","13,112","12,451","9,339","9,998","9,385","9,458","9,431","7,789","35,286","9,357"
"6219","水道光熱費","396,882","381,741","228,640","181,719","357,305","332,609","484,908","339,781","278,734","243,548","396,037","372,185"
"6221","租税公課","0","0","0","0","0","0","1,000","0","0","0","1,000","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","25,000","25,000","50,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000"
"6225","備品消耗品費","35,539","7,170","7,178","140,446","176,792","220,522","109,118","23,137","52,770","91,792","110,286","107,093"
"6227","管理諸費","0","0","0","5,287","45,287","5,287","21,007","105,907","12,000","24,615","36,343","21,117"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","1,000","0","2,000","31,000","1,000","1,000","1,000","1,000","1,000","31,000","1,000","1,000"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","4,000","0","0"
,"販売費及び一般管理費計","2,783,996","2,233,945","2,015,829","2,646,184","3,109,568","3,852,547","3,122,884","2,384,255","2,332,653","2,925,441","3,306,928","3,160,129"
,"営業利益（損失）","-619,564","-2,227,464","-2,029,854","-659,204","-210,710","605,207","-1,401,725","-1,967,909","-1,189,052","22,015","-19,357","-22,167"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
