"ｺｰﾄﾞ","勘定科目名"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"
"4111","売上高","892,885","1,819,426","4,703,273","4,959,566","4,850,034","5,614,381","5,187,227","5,029,413","5,787,916","6,285,789","7,725,647","5,270,975"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","892,885","1,819,426","4,703,273","4,959,566","4,850,034","5,614,381","5,187,227","5,029,413","5,787,916","6,285,789","7,725,647","5,270,975"
"5111","期首棚卸高","727,398","705,392","817,704","826,505","857,247","839,520","888,202","906,598","894,315","895,710","996,860","1,250,101"
"5211","商品仕入高","454,533","788,137","1,764,618","1,702,737","1,694,345","2,084,340","1,899,476","2,059,800","2,038,266","2,333,331","3,281,991","1,609,300"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","705,392","817,704","826,505","857,247","839,520","888,202","906,598","894,315","895,710","996,860","1,250,101","1,053,981"
,"当期売上原価","476,539","675,825","1,755,817","1,671,995","1,712,072","2,035,658","1,881,080","2,072,083","2,036,871","2,232,181","3,028,750","1,805,420"
,"売上総利益","416,346","1,143,601","2,947,456","3,287,571","3,137,962","3,578,723","3,306,147","2,957,330","3,751,045","4,053,608","4,696,897","3,465,555"
"6111","給与手当","603,271","588,691","688,631","749,957","719,957","1,094,814","883,900","879,357","977,814","887,357","938,475","842,357"
"6311","雑給","335,205","329,680","464,480","609,110","685,953","764,116","756,878","737,212","804,803","894,306","945,142","634,910"
"6112","旅費交通費","20,562","22,466","41,082","47,124","47,735","65,517","41,670","56,793","42,523","61,353","67,473","48,124"
"6113","広告宣伝費","49,164","147,760","243,380","204,363","267,569","257,467","123,754","123,359","255,055","279,010","389,130","305,471"
"6114","販売促進費","30,355","21,494","34,842","27,909","21,113","21,308","30,100","41,125","22,327","30,786","29,666","38,951"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","20,158","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","38,609","25,124","86,339","161,963","92,068","107,938","107,128","151,142","159,525","132,402","167,892","112,566"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","135,225","93,750","93,750","93,750","93,750","62,499","62,499","-282,501","62,499"
"6312","法定福利費","209,508","205,160","205,192","206,449","209,584","202,946","202,946","213,173","213,173","255,216","273,030","217,630"
