"ｺｰﾄﾞ","勘定科目名"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"
"4111","売上高","5,614,381","5,187,227","5,029,413","5,787,916","6,285,789","7,725,647","5,270,975","5,902,202","7,970,856","7,187,016","7,514,033","7,017,264"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","5,614,381","5,187,227","5,029,413","5,787,916","6,285,789","7,725,647","5,270,975","5,902,202","7,970,856","7,187,016","7,514,033","7,017,264"
"5111","期首棚卸高","839,520","888,202","906,598","894,315","895,710","996,860","1,250,101","1,053,981","1,052,910","1,206,329","1,288,412","1,416,757"
"5211","商品仕入高","2,084,340","1,899,476","2,059,800","2,038,266","2,333,331","3,281,991","1,609,300","2,217,219","3,250,893","2,663,718","2,877,491","2,753,933"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","888,202","906,598","894,315","895,710","996,860","1,250,101","1,053,981","1,052,910","1,206,329","1,288,412","1,416,757","1,354,147"
,"当期売上原価","2,035,658","1,881,080","2,072,083","2,036,871","2,232,181","3,028,750","1,805,420","2,218,290","3,097,474","2,581,635","2,749,146","2,816,543"
,"売上総利益","3,578,723","3,306,147","2,957,330","3,751,045","4,053,608","4,696,897","3,465,555","3,683,912","4,873,382","4,605,381","4,764,887","4,200,721"
"6111","給与手当","1,094,814","883,900","879,357","977,814","887,357","938,475","842,357","932,814","971,767","1,010,334","1,183,182","1,156,582"
"6311","雑給","764,116","756,878","737,212","804,803","894,306","945,142","634,910","718,358","986,241","967,773","989,366","914,122"
"6112","旅費交通費","65,517","41,670","56,793","42,523","61,353","67,473","48,124","61,512","59,788","64,456","58,390","54,140"
"6113","広告宣伝費","257,467","123,754","123,359","255,055","279,010","389,130","305,471","364,518","441,308","296,195","329,138","398,376"
"6114","販売促進費","21,308","30,100","41,125","22,327","30,786","29,666","38,951","18,275","17,095","18,950","18,296","21,273"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","107,938","107,128","151,142","159,525","132,402","167,892","112,566","160,609","106,869","192,355","189,525","172,714"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","93,750","93,750","93,750","62,499","62,499","-282,501","62,499","62,499","62,499","62,499","62,499","62,499"
"6312","法定福利費","202,946","202,946","213,173","213,173","255,216","273,030","217,630","198,837","217,630","199,422","266,741","337,844"
"6226","厚生費","241,431","122,021","4,878","104,140","71,437","29,594","3,427","10,384","11,733","54,088","11,733","54,933"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","19,636","19,636","344,229","97,862","97,862","97,862","97,862","97,862","97,862","97,862","97,862","97,862"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","477,262","477,262","477,262","477,262","477,262","477,262","477,262","477,262","477,262","477,262","477,262","477,262"
"6216","修繕／車両関係費","0","3,536","0","0","3,536","0","2,300","0","0","3,773","293,800","38,500"
"6217","事務用消耗品費","100","1,500","0","457","1,002","2,015","350","200","0","0","600","703"
"6218","通信交通費","9,719","9,207","9,243","9,171","9,211","9,290","9,183","9,694","9,175","9,175","9,186","9,193"
"6219","水道光熱費","533,871","550,781","682,178","491,048","542,973","432,849","646,178","520,270","535,738","460,835","521,643","398,625"
"6221","租税公課","0","0","1,000","0","1,000","1,000","1,000","0","1,000","1,000","2,000","2,000"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000"
"6225","備品消耗品費","83,383","106,616","231,522","68,528","158,937","162,427","59,586","173,104","190,450","253,649","117,726","246,930"
"6227","管理諸費","18,564","177,564","86,564","18,564","18,564","6,564","18,564","100,164","13,127","23,577","6,564","6,564"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
