"ｺｰﾄﾞ","勘定科目名","31年  2月","31年  3月","31年  4月"," 1年  5月"," 1年  6月"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"
"4111","売上高","6,357,251","9,549,158","7,502,341","7,672,399","7,381,167","7,798,333","7,374,486","7,164,610","7,782,532","7,944,176","10,199,918","7,134,535"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","6,357,251","9,549,158","7,502,341","7,672,399","7,381,167","7,798,333","7,374,486","7,164,610","7,782,532","7,944,176","10,199,918","7,134,535"
"5111","期首たな卸高","873,862","861,855","900,293","976,144","892,588","909,116","777,438","823,914","893,260","876,924","865,662","1,319,562"
"5211","商品仕入高","1,987,083","3,031,967","2,454,496","2,362,894","2,356,847","2,262,729","2,490,309","2,483,412","2,468,199","2,342,608","3,631,071","1,825,175"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","861,855","900,293","976,144","892,588","909,116","777,438","823,914","893,260","876,924","865,662","1,319,562","974,311"
,"当期売上原価","1,999,090","2,993,529","2,378,645","2,446,450","2,340,319","2,394,407","2,443,833","2,414,066","2,484,535","2,353,870","3,177,171","2,170,426"
,"売上総利益","4,358,161","6,555,629","5,123,696","5,225,949","5,040,848","5,403,926","4,930,653","4,750,544","5,297,997","5,590,306","7,022,747","4,964,109"
