"ｺｰﾄﾞ","勘定科目名"," 1年  5月"," 1年  6月"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"
"4111","売上高","15,071,721","13,059,955","12,572,590","15,435,877","13,085,589","10,483,327","11,961,869","12,435,224","12,230,770","9,859,696","7,126,584","1,252,245"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","15,071,721","13,059,955","12,572,590","15,435,877","13,085,589","10,483,327","11,961,869","12,435,224","12,230,770","9,859,696","7,126,584","1,252,245"
"5111","期首たな卸高","1,715,668","1,972,315","1,672,641","1,645,203","1,799,829","1,575,067","1,748,135","1,829,180","2,988,543","1,749,486","1,886,676","1,672,018"
"5211","商品仕入高","5,794,398","4,673,920","4,766,439","5,849,182","4,621,268","4,138,677","4,565,848","5,750,529","3,583,790","4,078,227","3,109,283","529,850"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","1,972,315","1,672,641","1,645,203","1,799,829","1,575,067","1,748,135","1,829,180","2,988,543","1,749,486","1,886,676","1,672,018","1,080,196"
,"当期売上原価","5,537,751","4,973,594","4,793,877","5,694,556","4,846,030","3,965,609","4,484,803","4,591,166","4,822,847","3,941,037","3,323,941","1,121,672"
,"売上総利益","9,533,970","8,086,361","7,778,713","9,741,321","8,239,559","6,517,718","7,477,066","7,844,058","7,407,923","5,918,659","3,802,643","130,573"
"6111","給与手当","1,368,674","1,364,507","1,373,674","1,373,674","1,318,507","1,404,000","1,586,000","1,646,000","1,646,000","1,656,000","1,338,500","1,215,789"
"6311","雑給","2,171,100","1,994,025","2,067,604","2,230,247","2,169,307","1,937,774","2,065,119","2,213,175","2,125,013","1,869,464","1,471,335","1,137,387"
"6112","旅費交通費","71,500","67,896","70,379","76,764","67,230","59,335","61,460","66,088","51,827","41,214","41,185","20,001"
"6113","広告宣伝費","944,831","722,888","824,085","773,321","754,049","654,389","886,874","837,828","824,390","657,494","656,423","190,980"
"6114","販売促進費","163,046","79,962","45,053","68,744","44,204","68,584","70,156","150,647","72,815","81,568","58,640","24,897"
"6115","荷造発送費","0","0","0","0","0","2,700","4,500","3,600","2,900","18,414","990","827"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","128,256","101,152","116,056","122,569","155,348","141,757","123,321","121,027","125,794","174,021","127,311","91,700"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","160,000","-393,250","160,000","160,000","160,000","160,000","160,000","263,817","160,000","160,000","160,000","0"
"6312","法定福利費","270,058","329,308","272,826","272,826","267,043","251,543","300,130","421,185","300,130","293,994","252,570","252,570"
"6226","厚生費","103,610","111,612","147,537","210,101","234,230","111,990","118,824","275,601","194,980","112,540","141,667","0"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
