"ｺｰﾄﾞ","勘定科目名"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"
"4111","売上高","15,435,877","13,085,589","10,483,327","11,961,869","12,435,224","12,230,770","9,859,696","7,126,584","1,252,245","82,594","4,696,711","6,216,990"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","15,435,877","13,085,589","10,483,327","11,961,869","12,435,224","12,230,770","9,859,696","7,126,584","1,252,245","82,594","4,696,711","6,216,990"
"5111","期首たな卸高","1,645,203","1,799,829","1,575,067","1,748,135","1,829,180","2,988,543","1,749,486","1,886,676","1,672,018","1,080,196","1,132,896","1,383,183"
"5211","商品仕入高","5,849,182","4,621,268","4,138,677","4,565,848","5,750,529","3,583,790","4,078,227","3,109,283","529,850","72,254","2,155,247","2,223,615"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","1,799,829","1,575,067","1,748,135","1,829,180","2,988,543","1,749,486","1,886,676","1,672,018","1,080,196","1,132,896","1,383,183","1,250,362"
,"当期売上原価","5,694,556","4,846,030","3,965,609","4,484,803","4,591,166","4,822,847","3,941,037","3,323,941","1,121,672","19,554","1,904,960","2,356,436"
,"売上総利益","9,741,321","8,239,559","6,517,718","7,477,066","7,844,058","7,407,923","5,918,659","3,802,643","130,573","63,040","2,791,751","3,860,554"
"6111","給与手当","1,373,674","1,318,507","1,404,000","1,586,000","1,646,000","1,646,000","1,656,000","1,338,500","1,215,789","1,089,856","1,340,500","663,500"
"6311","雑給","2,230,247","2,169,307","1,937,774","2,065,119","2,213,175","2,125,013","1,869,464","1,471,335","1,137,387","1,145,780","1,333,531","1,524,990"
"6112","旅費交通費","76,764","67,230","59,335","61,460","66,088","51,827","41,214","41,185","20,001","589","26,662","34,219"
"6113","広告宣伝費","773,321","754,049","654,389","886,874","837,828","824,390","657,494","656,423","190,980","37,182","286,795","325,375"
"6114","販売促進費","68,744","44,204","68,584","70,156","150,647","72,815","81,568","58,640","24,897","13,255","26,099","175,688"
"6115","荷造発送費","0","0","2,700","4,500","3,600","2,900","18,414","990","827","0","0","11,000"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","122,569","155,348","141,757","123,321","121,027","125,794","174,021","127,311","91,700","72,865","76,533","117,368"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","160,000","160,000","160,000","160,000","263,817","160,000","160,000","160,000","0","0","0","0"
"6312","法定福利費","272,826","267,043","251,543","300,130","421,185","300,130","293,994","252,570","252,570","252,570","226,909","125,474"
"6226","厚生費","210,101","234,230","111,990","118,824","275,601","194,980","112,540","141,667","0","0","9,840","3,200"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","282,749","-41,380","210,293","210,293","210,293","210,293","210,293","210,293","210,293","210,293","210,293","210,293"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","1,283,333","1,254,629","1,231,818","1,231,818","1,231,818","1,231,818","1,231,818","1,231,818","1,231,818","1,231,818","1,150,000","1,150,000"
"6216","修繕／車両関係費","386,840","282,820","33,000","51,000","44,000","85,800","77,000","22,000","0","0","60,000","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","2,142","3,173","0","0","0"
"6218","通信交通費","4,455","30,344","13,245","4,662","14,718","23,839","4,261","22,843","13,992","4,261","22,455","13,453"
"6219","水道光熱費","1,015,492","921,311","1,001,122","538,301","726,947","553,052","775,300","475,777","611,580","186,268","198,695","465,049"
"6221","租税公課","0","0","0","1,000","0","0","0","0","0","0","0","0"
"6222","寄付金","3,000","0","0","0","0","0","0","20,000","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","12,000","12,000","17,560","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000"
"6225","備品消耗品費","270,777","491,048","283,591","379,406","509,485","212,791","127,648","186,524","84,784","27,805","230,045","165,674"
"6227","管理諸費","196,204","226,732","215,096","210,534","202,749","194,934","362,367","164,591","86,247","4,800","94,001","69,438"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","24,000","0","2,000","0","12,000","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","8,000","0","0","0","0","0","0"
,"販売費及び一般管理費計","8,743,096","8,347,422","7,797,797","8,018,398","8,953,978","8,063,376","7,868,396","6,601,609","5,191,038","4,304,342","5,307,358","5,069,721"
,"営業利益（損失）","998,225","-107,863","-1,280,079","-541,332","-1,109,920","-655,453","-1,949,737","-2,798,966","-5,060,465","-4,241,302","-2,515,607","-1,209,167"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","2,029","3,427","5,544","4,116","3,356","4,081","5,471","3,880","3,720","3,091","3,344","6,309"
