"ｺｰﾄﾞ","勘定科目名","31年  3月","31年  4月"," 1年  5月"," 1年  6月"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"
"4111","売上高","15,851,314","12,885,186","15,071,721","13,059,955","12,572,590","15,435,877","13,085,589","10,483,327","11,961,869","12,435,224","12,230,770","9,859,696"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","15,851,314","12,885,186","15,071,721","13,059,955","12,572,590","15,435,877","13,085,589","10,483,327","11,961,869","12,435,224","12,230,770","9,859,696"
"5111","期首たな卸高","1,503,792","1,657,361","1,715,668","1,972,315","1,672,641","1,645,203","1,799,829","1,575,067","1,748,135","1,829,180","2,988,543","1,749,486"
"5211","商品仕入高","6,108,275","4,898,455","5,794,398","4,673,920","4,766,439","5,849,182","4,621,268","4,138,677","4,565,848","5,750,529","3,583,790","4,078,227"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","1,657,361","1,715,668","1,972,315","1,672,641","1,645,203","1,799,829","1,575,067","1,748,135","1,829,180","2,988,543","1,749,486","1,886,676"
,"当期売上原価","5,954,706","4,840,148","5,537,751","4,973,594","4,793,877","5,694,556","4,846,030","3,965,609","4,484,803","4,591,166","4,822,847","3,941,037"
,"売上総利益","9,896,608","8,045,038","9,533,970","8,086,361","7,778,713","9,741,321","8,239,559","6,517,718","7,477,066","7,844,058","7,407,923","5,918,659"
"6111","給与手当","1,175,500","1,177,500","1,368,674","1,364,507","1,373,674","1,373,674","1,318,507","1,404,000","1,586,000","1,646,000","1,646,000","1,656,000"
"6311","雑給","2,381,969","2,137,212","2,171,100","1,994,025","2,067,604","2,230,247","2,169,307","1,937,774","2,065,119","2,213,175","2,125,013","1,869,464"
