"ｺｰﾄﾞ","勘定科目名"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"
"4111","売上高","5,268,955","5,224,312","6,151,631","5,805,132","4,758,503","3,387,017","3,778,076","5,094,564","4,668,680","4,738,761","4,481,866","4,596,281"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","5,268,955","5,224,312","6,151,631","5,805,132","4,758,503","3,387,017","3,778,076","5,094,564","4,668,680","4,738,761","4,481,866","4,596,281"
"5111","期首たな卸高","429,179","457,088","432,625","472,400","473,264","527,451","414,813","383,601","450,517","461,421","411,230","385,478"
"5211","商品仕入高","1,610,611","1,663,115","1,901,324","1,715,390","1,589,976","965,844","1,176,712","1,679,441","1,497,136","1,424,903","1,389,242","1,424,499"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","457,088","432,625","472,400","473,264","527,451","414,813","383,601","450,517","461,421","411,230","385,478","383,204"
,"当期売上原価","1,582,702","1,687,578","1,861,549","1,714,526","1,535,789","1,078,482","1,207,924","1,612,525","1,486,232","1,475,094","1,414,994","1,426,773"
,"売上総利益","3,686,253","3,536,734","4,290,082","4,090,606","3,222,714","2,308,535","2,570,152","3,482,039","3,182,448","3,263,667","3,066,872","3,169,508"
"6111","給与手当","697,500","877,500","712,500","670,875","660,000","627,026","690,000","660,000","660,000","681,500","661,500","661,500"
"6311","雑給","829,291","762,518","798,839","800,518","921,515","580,777","559,485","744,312","795,246","590,639","675,557","753,137"
"6112","旅費交通費","46,668","31,763","24,627","38,009","33,364","30,764","21,609","28,972","22,536","21,950","21,568","21,686"
"6113","広告宣伝費","127,318","88,791","150,409","172,019","149,179","124,218","140,747","141,353","165,217","92,313","95,836","89,044"
"6114","販売促進費","16,000","16,012","16,000","32,132","52,196","32,489","53,350","44,284","37,369","35,876","47,206","41,658"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","57,217","52,832","92,908","61,428","52,804","55,690","45,826","44,774","54,514","37,168","49,522","62,354"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","210,000","0","0","0","0","0","46,000","0"
"6312","法定福利費","90,184","92,484","92,484","92,484","114,908","90,101","92,484","92,456","92,456","92,456","97,659","92,456"
"6226","厚生費","44,128","15,850","5,000","90,769","5,000","4,500","4,500","27,177","29,745","17,380","17,727","8,441"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","4,562,645","286,798","286,798","286,798","286,798","286,798","286,798","286,798","286,798","286,798","286,798"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","450,951","450,951","450,951","450,951","450,951","450,951","450,951","450,951","450,951","450,951","450,951","450,951"
"6216","修繕／車両関係費","0","76,000","0","0","0","24,800","0","0","68,000","40,000","0","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","9,119","8,555","0","8,631","0","16,584","8,555","15,670","7,244","7,607","7,330","0"
"6219","水道光熱費","246,615","278,601","217,437","124,411","198,875","127,508","176,282","118,222","167,612","117,409","182,662","134,717"
