"ｺｰﾄﾞ","勘定科目名"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"
"4111","売上高","4,738,761","4,481,866","4,596,281","0","0","5,252,814","5,399,872","6,609,246","4,158,044","1,428,123","2,922,589","5,600,259"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","4,738,761","4,481,866","4,596,281","0","0","5,252,814","5,399,872","6,609,246","4,158,044","1,428,123","2,922,589","5,600,259"
"5111","期首棚卸高","461,421","411,230","385,478","383,204","360,896","443,875","427,372","443,714","495,292","371,147","354,471","396,409"
"5211","商品仕入高","1,424,903","1,389,242","1,424,499","-10,562","132,493","1,546,264","1,666,625","1,995,222","1,092,172","504,197","951,146","1,690,062"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","411,230","385,478","383,204","360,896","443,875","427,372","443,714","495,292","371,147","354,471","396,409","365,533"
,"当期売上原価","1,475,094","1,414,994","1,426,773","11,746","49,514","1,562,767","1,650,283","1,943,644","1,216,317","520,873","909,208","1,720,938"
,"売上総利益","3,263,667","3,066,872","3,169,508","-11,746","-49,514","3,690,047","3,749,589","4,665,602","2,941,727","907,250","2,013,381","3,879,321"
"6111","給与手当","681,500","661,500","661,500","551,700","561,681","676,500","690,196","732,892","677,500","662,500","662,500","687,892"
"6311","雑給","590,639","675,557","753,137","468,160","557,441","692,091","647,935","709,145","662,533","408,965","544,724","636,353"
"6112","旅費交通費","21,950","21,568","21,686","636","3,137","22,659","20,663","26,109","22,023","19,922","23,090","37,388"
"6113","広告宣伝費","92,313","95,836","89,044","48,500","55,782","86,073","92,635","65,429","80,613","52,715","118,191","143,042"
"6114","販売促進費","35,876","47,206","41,658","31,665","21,955","42,575","46,797","37,826","21,889","30,762","21,298","33,816"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","37,168","49,522","62,354","27,770","21,245","83,047","52,930","78,438","63,776","44,534","41,454","64,558"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","46,000","0","0","0","0","0","62,500","0","0","0","0"
