"ｺｰﾄﾞ","勘定科目名"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"
"4111","売上高","0","0","5,252,814","5,399,872","6,609,246","4,158,044","1,428,123","2,922,589","5,600,259","6,069,403","5,177,254","5,536,414"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","5,252,814","5,399,872","6,609,246","4,158,044","1,428,123","2,922,589","5,600,259","6,069,403","5,177,254","5,536,414"
"5111","期首棚卸高","383,204","360,896","443,875","427,372","443,714","495,292","371,147","354,471","396,409","365,533","406,833","415,648"
"5211","商品仕入高","-10,562","132,493","1,546,264","1,666,625","1,995,222","1,092,172","504,197","951,146","1,690,062","1,906,759","1,622,385","1,729,227"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","360,896","443,875","427,372","443,714","495,292","371,147","354,471","396,409","365,533","406,833","415,648","399,917"
,"当期売上原価","11,746","49,514","1,562,767","1,650,283","1,943,644","1,216,317","520,873","909,208","1,720,938","1,865,459","1,613,570","1,744,958"
,"売上総利益","-11,746","-49,514","3,690,047","3,749,589","4,665,602","2,941,727","907,250","2,013,381","3,879,321","4,203,944","3,563,684","3,791,456"
"6111","給与手当","551,700","561,681","676,500","690,196","732,892","677,500","662,500","662,500","687,892","478,588","690,588","685,284"
"6311","雑給","468,160","557,441","692,091","647,935","709,145","662,533","408,965","544,724","636,353","870,148","844,291","1,097,375"
"6112","旅費交通費","636","3,137","22,659","20,663","26,109","22,023","19,922","23,090","37,388","37,376","35,059","41,174"
"6113","広告宣伝費","48,500","55,782","86,073","92,635","65,429","80,613","52,715","118,191","153,392","125,966","118,288","126,910"
"6114","販売促進費","31,665","21,955","42,575","46,797","37,826","21,889","30,762","21,298","33,816","27,406","20,269","20,392"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","27,770","21,245","83,047","52,930","78,438","63,776","44,534","41,454","64,558","173,998","92,535","69,554"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
