"ｺｰﾄﾞ","勘定科目名"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"
"4111","売上高","5,139,825","5,769,220","6,281,322","7,077,805","5,359,749","5,539,785","6,753,749","6,541,654","7,018,882","6,002,607","7,335,515","7,000,761"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","5,139,825","5,769,220","6,281,322","7,077,805","5,359,749","5,539,785","6,753,749","6,541,654","7,018,882","6,002,607","7,335,515","7,000,761"
"5111","期首棚卸高","388,971","445,498","454,913","459,791","444,847","468,365","459,629","484,341","514,243","468,174","481,362","457,197"
"5211","商品仕入高","1,673,838","1,867,489","2,058,367","2,370,906","1,751,150","1,850,809","2,268,337","2,203,302","2,176,696","1,956,683","2,358,203","2,212,906"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","445,498","454,913","459,791","444,847","468,365","459,629","484,341","514,243","468,174","481,362","457,197","444,522"
,"当期売上原価","1,617,311","1,858,074","2,053,489","2,385,850","1,727,632","1,859,545","2,243,625","2,173,400","2,222,765","1,943,495","2,382,368","2,225,581"
,"売上総利益","3,522,514","3,911,146","4,227,833","4,691,955","3,632,117","3,680,240","4,510,124","4,368,254","4,796,117","4,059,112","4,953,147","4,775,180"
"6111","給与手当","498,588","465,892","453,196","528,588","455,892","478,588","528,980","453,196","470,544","444,700","470,544","444,700"
"6311","雑給","773,860","905,760","1,060,541","1,016,024","744,484","764,214","1,015,862","1,038,826","1,038,949","888,275","1,039,059","953,137"
"6112","旅費交通費","33,624","29,940","23,509","38,183","38,881","34,451","36,782","43,154","33,846","39,299","32,793","31,010"
"6113","広告宣伝費","112,051","107,530","111,550","167,845","103,859","126,093","164,055","142,258","156,870","135,488","153,622","110,657"
"6114","販売促進費","21,264","20,096","28,324","16,277","20,190","16,116","16,252","16,076","16,645","16,102","16,256","16,032"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","700"
"6116","外注費","0","0","0","0","12,823","0","0","0","0","0","0","0"
"6117","支払手数料","118,195","158,632","98,934","104,933","90,251","100,093","99,493","144,292","105,993","127,466","97,394","100,072"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","90,750","60,500","60,500","-172,500","60,500","60,500","60,500","60,500","60,500","60,500","60,500","60,500"
"6312","法定福利費","64,490","64,490","64,490","78,515","64,490","64,490","64,490","64,490","102,076","156,437","84,405","84,405"
"6226","厚生費","47,696","81,500","47,959","14,615","70,384","10,384","62,454","64,951","23,466","63,446","23,466","133,466"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","462,595","191,042","191,042","191,042","191,042","191,042","191,042","191,042","191,042","191,042","191,042","191,042"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","450,951","450,951","450,951","450,951","450,951","450,951","450,951","450,951","450,951","450,951","450,951","450,951"
"6216","修繕／車両関係費","0","0","40,480","0","11,500","0","0","0","0","0","104,200","110,400"
"6217","事務用消耗品費","147","0","0","1,865","386","720","0","0","262","200","1,498","455"
"6218","通信交通費","16,014","15,885","15,913","15,707","16,140","7,189","7,205","0","23,202","7,676","7,192","16,004"
"6219","水道光熱費","247,716","299,909","161,402","265,297","234,101","262,516","175,321","237,293","171,024","215,511","163,087","235,580"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","530","0","4,214","0","0","0","0","12,273"
"6224","保険料","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000"
"6225","備品消耗品費","56,611","57,878","96,534","110,086","36,401","81,148","71,977","60,466","101,311","89,416","95,350","236,528"
"6227","管理諸費","44,490","44,490","50,190","126,090","44,490","32,490","32,490","32,490","38,975","43,690","33,265","80,490"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","7,800","7,800","7,800","4,300","7,800","7,800","7,800","7,800","7,800","7,800","7,800","7,800"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","957","0","0","0","0","4,840","0","0","0","0","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","3,062,799","2,977,295","2,978,315","2,972,818","2,670,095","2,708,625","3,004,868","3,022,785","3,008,456","2,952,999","3,047,424","3,291,202"
,"営業利益（損失）","459,715","933,851","1,249,518","1,719,137","962,022","971,615","1,505,256","1,345,469","1,787,661","1,106,113","1,905,723","1,483,978"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","5","0","0","0","-5","0","3,056","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","5","0","0","0","-5","0","3,056","0","0","0"
,"経常利益（損失）","459,715","933,851","1,249,513","1,719,137","962,022","971,615","1,505,261","1,345,469","1,784,605","1,106,113","1,905,723","1,483,978"
