"ｺｰﾄﾞ","勘定科目名"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"
"4111","売上高","7,474,573","6,852,941","6,328,274","5,580,878","2,087,411","2,839,692","5,475,475","6,047,200","5,268,955","5,224,312","6,151,631","5,805,132"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","7,474,573","6,852,941","6,328,274","5,580,878","2,087,411","2,839,692","5,475,475","6,047,200","5,268,955","5,224,312","6,151,631","5,805,132"
"5111","期首たな卸高","528,654","609,683","542,935","512,669","468,445","482,034","347,698","499,826","429,179","457,088","432,625","472,400"
"5211","商品仕入高","2,329,273","1,814,375","1,908,504","1,624,621","666,313","819,284","1,704,460","1,804,683","1,610,611","1,663,115","1,901,324","1,715,390"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","609,683","542,935","512,669","468,445","482,034","347,698","499,826","429,179","457,088","432,625","472,400","473,264"
,"当期売上原価","2,248,244","1,881,123","1,938,770","1,668,845","652,724","953,620","1,552,332","1,875,330","1,582,702","1,687,578","1,861,549","1,714,526"
,"売上総利益","5,226,329","4,971,818","4,389,504","3,912,033","1,434,687","1,886,072","3,923,143","4,171,870","3,686,253","3,536,734","4,290,082","4,090,606"
"6111","給与手当","954,500","966,500","957,500","937,500","859,030","809,562","945,201","962,500","697,500","877,500","712,500","670,875"
"6311","雑給","701,494","595,926","777,473","713,470","480,169","397,459","606,042","717,529","829,291","762,518","798,839","800,518"
"6112","旅費交通費","47,011","40,093","35,128","37,309","22,534","14,538","34,711","43,995","46,668","31,763","24,627","38,009"
"6113","広告宣伝費","144,353","136,770","84,292","110,956","46,851","60,954","61,326","101,746","127,318","88,791","150,409","172,019"
"6114","販売促進費","26,000","16,035","21,000","16,002","16,012","16,000","16,012","20,004","16,000","16,012","16,000","32,132"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","105,364","48,592","58,791","49,773","45,004","42,473","45,897","68,206","57,217","52,832","92,908","61,428"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","0","0","0","0","0"
"6312","法定福利費","128,954","128,954","126,430","128,950","128,950","127,950","126,508","125,953","90,184","92,484","92,484","92,484"
"6226","厚生費","526,580","291,920","77,121","39,067","0","0","0","5,000","44,128","15,850","5,000","90,769"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","0","0","0","0","0","0","4,562,645","286,798","286,798"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","450,951","450,951","450,951","450,951","450,951","240,951","240,951","450,951","450,951","450,951","450,951","450,951"
"6216","修繕／車両関係費","0","0","38,256","0","0","0","0","0","0","76,000","0","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","19,484","9,457","0","18,203","8,623","0","17,064","8,545","9,119","8,555","0","8,631"
"6219","水道光熱費","245,484","191,096","292,636","158,646","202,360","85,519","142,126","159,129","246,615","278,601","217,437","124,411"
"6221","租税公課","1,000","0","0","0","0","0","1,000","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000"
"6225","備品消耗品費","265,444","263,250","124,917","720,879","97,870","69,250","137,331","73,556","95,423","722,930","140,411","135,510"
"6227","管理諸費","13,420","128,112","8,310","8,310","3,200","5,110","3,200","11,510","8,310","747,670","10,994","8,180"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","14,300","4,300","4,300","4,300","4,300","4,300","4,300","4,300","4,300","4,300","4,300","4,300"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","3,659,339","3,286,956","3,072,105","3,409,316","2,380,854","1,889,066","2,396,669","2,767,924","2,738,024","8,804,402","3,018,658","2,992,015"
,"営業利益（損失）","1,566,990","1,684,862","1,317,399","502,717","-946,167","-2,994","1,526,474","1,403,946","948,229","-5,267,668","1,271,424","1,098,591"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","3","0","0","-4","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","3","0","0","-4","0","0","0"
,"経常利益（損失）","1,566,990","1,684,862","1,317,399","502,717","-946,167","-2,997","1,526,474","1,403,946","948,233","-5,267,668","1,271,424","1,098,591"
