"ｺｰﾄﾞ","勘定科目名"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"
"4111","売上高","4,117,557","5,736,728","5,116,697","5,206,225","5,121,366","5,789,741","2,233,033","0","5,569,344","6,336,782","7,049,768","5,539,671"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","4,117,557","5,736,728","5,116,697","5,206,225","5,121,366","5,789,741","2,233,033","0","5,569,344","6,336,782","7,049,768","5,539,671"
"5111","期首棚卸高","554,294","386,756","578,559","629,868","575,192","613,076","656,962","560,499","543,753","525,768","1,010,383","1,268,376"
"5211","商品仕入高","1,541,716","2,156,042","2,167,725","3,427,780","619,034","2,339,560","830,299","73,513","2,031,636","2,821,651","2,839,339","1,815,274"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","386,756","578,559","629,868","575,192","613,076","656,962","560,499","543,755","525,768","1,010,383","1,268,376","733,889"
,"当期売上原価","1,709,254","1,964,239","2,116,416","3,482,456","581,150","2,295,674","926,762","90,257","2,049,621","2,337,036","2,581,346","2,349,761"
,"売上総利益","2,408,303","3,772,489","3,000,281","1,723,769","4,540,216","3,494,067","1,306,271","-90,257","3,519,723","3,999,746","4,468,422","3,189,910"
"6111","給与手当","642,500","642,500","642,500","643,500","643,500","734,000","578,956","499,090","585,000","597,457","637,022","587,000"
"6311","雑給","801,549","797,243","759,343","765,736","902,259","806,753","692,555","957,040","660,411","755,124","812,050","684,069"
"6112","旅費交通費","69,468","78,105","89,851","82,133","83,959","95,511","99,546","31,600","101,327","96,791","131,488","123,492"
"6113","広告宣伝費","399,609","32,000","201,357","10,895","18,909","48,543","35,359","18,000","56,661","60,136","102,284","69,655"
"6114","販売促進費","36,075","28,370","30,928","29,280","30,513","36,441","43,555","5,955","36,240","33,614","34,659","5,365"
"6115","荷造発送費","0","527","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","24,474","76,901","128,063","140,078","129,096","154,349","118,016","79,284","155,976","234,574","220,865","227,597"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","20,000","0","0","0","0","0","12,500","0"
"6312","法定福利費","115,833","92,456","121,415","121,415","125,217","155,039","155,039","120,825","122,816","122,816","122,816","122,816"
"6226","厚生費","0","5,000","22,340","23,700","5,000","58,730","0","13,600","5,000","56,958","81,137","203,242"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","0","0","0","0","5,259,669","392,693","392,693","392,693","392,693"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","430,000","557,687","503,865","510,590","504,367","562,417","430,000","365,500","543,076","610,811","674,930","541,687"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","0","0","24,600","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","0","8,545","8,638","8,561","8,565","0","17,124","0","0","0","0","0"
"6219","水道光熱費","171,883","155,387","142,775","144,185","154,878","170,629","206,131","179,930","58,368","134,328","160,118","171,766"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","3,200","0","0","0","2,727","0","0","0","991","0"
"6224","保険料","15,000","15,000","15,000","15,000","15,000","15,000","15,000","30,000","15,000","15,000","15,000","15,000"
"6225","備品消耗品費","157,442","1,399,947","321,801","197,164","158,384","119,376","112,414","523,467","66,098","214,893","320,951","91,842"
"6227","管理諸費","2,455","2,455","3,682","2,455","2,455","2,455","5,728","4,256","3,682","2,455","2,455","14,455"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","2,866,288","3,892,123","2,994,758","2,694,692","2,802,102","2,959,243","2,512,150","8,088,216","2,802,348","3,327,650","3,746,559","3,250,679"
,"営業利益（損失）","-457,985","-119,634","5,523","-970,923","1,738,114","534,824","-1,205,879","-8,178,473","717,375","672,096","721,863","-60,769"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
